Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Nippon India Floating Rate Fund - GrowthFloater Fund,3,14206.55,0.09%,0.75%,1.81%,2.10%,0.99%,8.34%,9.06%,8.62%,7.78%,8.40%,0.43%,1.09%,0.59%,-0.51%,-0.28%,0.29%,1.20%,1.57%,-0.25%,-0.17%,1.63%,1.93%,0.77%,0.52%,2.29%,1.82%,2.93%,1.61%,1.88%,2.26%,1.84%,2.13%,2.19%,1.62%,0.71%,9.40%,8.34%,6.52%,6.76%,8.84%,8.04%,9.21%,9.19%,9.66%,9.15%,5.63%,6/10,3/10,4/9,8/9,2/10,6/8,2/7,1/6,1/6,3/6,,,,,,-,-,-,95.23%,15.0,-,4.77%,-,10.1092,0.01%,12-May-21,10.1092,12-May-21,10.0,18-Feb-21,2.60%,6.06%,10.07%,18.29%,-
Aditya Birla Sun Life Floating Rate Fund - Regular Plan - GrowthFloater Fund,5,15238.89,0.09%,0.64%,1.59%,1.94%,0.88%,6.81%,7.65%,7.88%,7.77%,8.65%,0.44%,1.12%,0.62%,-0.48%,-0.25%,0.32%,1.23%,1.60%,-0.22%,-0.14%,1.67%,1.96%,0.80%,0.58%,2.35%,1.88%,2.97%,1.65%,1.92%,2.30%,1.88%,2.17%,2.23%,1.66%,0.98%,10.20%,9.22%,7.31%,7.65%,9.81%,9.02%,9.96%,9.45%,-,-,-,9/10,9/10,5/8,8/8,7/10,6/7,6/7,0/0,0/0,0/0,,,,,,-,-,-,83.15%,17.0,-,16.86%,-0.01%,10.0981,0%,12-May-21,10.0981,12-May-21,9.9988,16-Mar-21,2.74%,7.13%,-,-,-
DSP Floater Fund - Regular Plan - GrowthFloater Fund,-,0.0,0.09%,0.69%,-,-,0.99%,-,-,-,-,-,0.25%,0.29%,-0.12%,0.13%,0.18%,0.76%,0.83%,0.80%,0.25%,0.54%,1.11%,1.36%,0.65%,-,-,-,-,-,-,-,-,-,-,-,1.16%,11.23%,9.00%,5.73%,5.95%,8.99%,8.56%,9.68%,7.86%,9.70%,9.21%,5.44%,8/10,9/10,6/8,7/8,8/10,6/7,7/7,5/5,5/5,5/5,,,,,,-,-,-,89.13%,41.0,-,10.87%,-,10.2475,0%,12-May-21,10.2475,12-May-21,10.0,27-Oct-20,2.26%,5.34%,9.00%,16.41%,37.98%
DSP Floater Fund - Regular Plan - GrowthFloater Fund,-,1320.56,0.09%,0.69%,-,-,0.99%,-,-,-,-,-,0.28%,0.35%,-0.06%,0.18%,0.23%,0.82%,0.89%,0.86%,0.30%,0.60%,1.17%,1.41%,0.71%,-,-,-,-,-,-,-,-,-,-,-,1.28%,11.64%,9.48%,6.21%,6.43%,9.48%,9.03%,10.30%,8.38%,-,-,-,6/10,3/10,4/9,8/9,2/10,6/8,2/7,1/6,1/6,3/6,,,,,,-,-,-,95.94%,205.0,-,4.05%,-,10.2589,0%,12-May-21,10.2589,12-May-21,10.0,27-Oct-20,2.24%,6.08%,-,-,-
HDFC Floating Rate Debt Fund - Direct Plan - GrowthFloater Fund,3,17285.86,0.08%,0.59%,1.35%,2.52%,0.81%,8.11%,8.19%,8.19%,7.91%,-,0.24%,0.76%,0.74%,-0.11%,-0.32%,0.43%,0.98%,1.19%,0.07%,-,1.05%,1.74%,0.48%,0.29%,-,-,-,-,-,-,-,-,-,-,0.80%,1.53%,-,-,-,-,-,-,-,-,-,-,7/10,8/10,6/8,6/8,9/10,7/7,7/7,5/5,5/5,0/0,,,,,,-,-,-,95.23%,15.0,-,4.77%,-,31.5401,-0%,12-May-21,31.5406,11-May-21,29.9534,18-May-20,,,,,
HDFC Floating Rate Debt Fund -GrowthFloater Fund,3,17285.86,0.07%,0.57%,1.29%,2.39%,0.78%,7.85%,7.98%,7.99%,7.74%,8.49%,0.25%,0.78%,0.77%,-0.08%,-0.29%,0.46%,1.01%,1.21%,0.10%,0.03%,1.07%,1.76%,0.50%,0.34%,-,-,-,-,-,-,-,-,-,-,0.87%,1.56%,-,-,-,-,-,-,-,-,-,-,9/10,10/10,5/8,8/8,9/10,7/7,6/7,0/0,0/0,0/0,,,,,,-,-,-,82.41%,141.0,-,17.59%,-,38.597,-0%,12-May-21,38.5977,11-May-21,35.7951,18-May-20,,,,,
Franklin India Floating Rate Fund - GrowthFloater Fund,1,310.9,0.07%,0.42%,0.82%,1.89%,0.56%,5.46%,6.00%,6.32%,6.20%,6.51%,0.15%,0.33%,-0.01%,-0.02%,0.36%,1.01%,0.56%,-,-,-,-,-,1.00%,0.17%,2.60%,1.45%,4.32%,2.21%,1.99%,2.24%,1.84%,2.54%,2.50%,1.32%,-,-,8.02%,6.69%,5.90%,6.32%,6.01%,6.80%,7.10%,7.31%,6.70%,3.64%,,,,,,,,,,,,,,,,-,-,-,94.78%,126.0,-,5.22%,0.00%,38.204,-0%,12-May-21,38.205,11-May-21,35.5151,18-May-20,,,,,
UTI Floater Fund - Direct Plan - GrowthFloater Fund,-,2628.57,0.04%,0.47%,1.33%,1.97%,0.65%,6.32%,7.73%,-,-,-,0.16%,0.34%,-,-0.01%,0.38%,1.03%,0.58%,-,-,-,-,-,1.03%,0.25%,2.69%,1.53%,4.41%,2.31%,2.11%,2.35%,1.95%,2.65%,2.61%,1.44%,1.20%,5.87%,7.47%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,97.41%,102.0,-,2.59%,-,346.4313,-0.01%,12-May-21,346.481,11-May-21,318.6068,18-May-20,,,,,
IDFC Floating Rate Fund - Direct Plan - GrowthFloater Fund,-,621.17,0.03%,0.49%,-,-,0.68%,-,-,-,-,-,-,-,-,-,-,-,0.23%,0.51%,0.52%,0.26%,0.57%,0.89%,0.87%,0.29%,1.80%,1.53%,3.19%,1.71%,1.85%,2.27%,1.80%,2.26%,2.36%,1.70%,1.43%,6.63%,8.02%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,69.70%,4.0,-,30.30%,-,326.0966,-0.02%,12-May-21,326.1498,11-May-21,302.038,18-May-20,,,,,
UTI Floater Fund - GrowthFloater Fund,-,2628.57,0.02%,0.40%,1.11%,1.52%,0.55%,5.36%,6.72%,-,-,-,0.15%,0.39%,0.30%,0.08%,0.18%,0.44%,-,-,-,-,-,-,0.89%,0.33%,1.84%,1.58%,3.24%,1.76%,1.90%,2.32%,1.85%,2.31%,2.42%,1.76%,-,-,7.47%,7.26%,6.50%,7.08%,7.12%,7.82%,7.72%,-,-,-,,,,,,,,,,,,,,,,-,-,-,94.78%,126.0,-,5.22%,0.00%,1175.1881,-0.02%,12-May-21,1175.376,11-May-21,1073.869,18-May-20,,,,,
IDFC Floating Rate Fund - Regular Plan - GrowthFloater Fund,-,621.17,0.02%,0.44%,-,-,0.62%,-,-,-,-,-,0.17%,0.44%,0.35%,0.12%,0.22%,0.49%,-,-,-,-,-,-,1.10%,-,-,-,-,-,-,-,-,-,-,-,1.03%,7.44%,8.27%,1.00%,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,94.53%,3.0,-,5.47%,-,1167.3296,-0.02%,12-May-21,1167.529,11-May-21,1070.8993,18-May-20,,,,,
,,,,,,,,,,,,,-,-,-,-,-,-,0.21%,0.46%,0.46%,0.20%,0.51%,0.82%,1.14%,-,-,-,-,-,-,-,-,-,-,-,1.35%,8.45%,9.35%,1.18%,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,92.88%,43.0,-,7.12%,-,,,,,,,,,,,,
,,,,,,,,,,,,,0.12%,0.44%,0.48%,0.09%,-0.05%,0.27%,0.43%,0.59%,0.19%,-0.03%,0.60%,1.16%,0.57%,0.48%,1.29%,1.01%,3.20%,1.63%,1.40%,2.52%,1.51%,2.52%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.15%,0.51%,0.55%,0.15%,0.02%,0.34%,0.50%,0.66%,0.27%,0.05%,0.68%,1.24%,0.67%,0.70%,1.52%,1.24%,3.45%,1.87%,1.64%,2.76%,1.78%,2.78%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
