Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Nippon India Equity Savings Fund - Segregated Portfolio 1 - GrowthEquity Savings,-,25.81,-,-,-,-,-,-,-,-,-,-,1.17%,-0.92%,0.06%,2.01%,-0.90%,2.52%,4.51%,0.82%,-1.50%,1.72%,1.18%,2.55%,0.23%,3.50%,8.81%,1.51%,9.28%,-21.98%,1.61%,-8.21%,-1.97%,2.12%,-0.18%,-0.05%,4.27%,-6.32%,-6.38%,-0.81%,17.64%,4.21%,2.97%,-,-,-,-,-,24/24,8/24,3/24,13/24,3/24,17/24,19/22,11/16,11/15,2/6,,,,,,-,66.65%,25,20.76%,13,0.02%,64.01%,-,11.8043,0.7%,17-May-21,11.9801,15-Feb-21,9.9515,20-May-20,8.35%,12.15%,15.18%,20.54%,44.92%
Axis Equity Saver Fund - Direct Plan - GrowthEquity Savings,-,728.54,-,0.98%,-0.61%,7.47%,0.61%,27.24%,10.65%,9.49%,10.01%,-,1.20%,-0.86%,0.12%,2.07%,-0.83%,2.59%,4.58%,0.88%,-1.43%,1.79%,1.25%,2.62%,0.34%,3.71%,9.03%,1.72%,9.50%,-21.79%,1.77%,-8.04%,-1.76%,2.35%,0.04%,0.17%,4.59%,-5.52%,-5.64%,0.21%,19.11%,5.37%,3.59%,-,-,-,-,-,8/24,17/24,11/24,19/24,15/24,17/24,12/22,7/16,8/15,0/0,,,,,,-,66.65%,25,20.76%,13,0.02%,64.01%,-,15.9767,0.49%,17-May-21,16.0077,15-Feb-21,12.2041,20-May-20,8.25%,13.58%,17.48%,27.22%,-
Axis Equity Saver Fund - GrowthEquity Savings,-,728.54,-,0.86%,-0.97%,6.69%,0.46%,25.46%,9.23%,8.16%,8.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17/24,21/24,19/24,22/24,18/24,18/24,14/22,0/0,0/0,0/0,,,,,,534.00%,66.65%,47,19.24%,3,8.66%,5.45%,-,12.1978,0.61%,17-May-21,12.1978,17-May-21,10.1973,26-May-20,8.18%,13.87%,17.79%,26.90%,-
Sundaram Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,101.43,-0.04%,0.64%,-0.77%,5.59%,0.48%,20.53%,9.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/24,20/24,19/24,20/24,18/24,18/24,11/22,0/0,0/0,0/0,,,,,,534.00%,66.65%,47,19.24%,3,8.66%,5.45%,-,12.4732,0.58%,17-May-21,12.4844,10-May-21,9.7937,20-May-20,7.90%,12.87%,15.94%,22.35%,-
Sundaram Equity Savings Fund - GrowthEquity Savings,-,101.43,-0.07%,0.49%,-1.18%,4.71%,0.26%,18.59%,7.13%,-,-,-,0.75%,0.25%,-0.14%,0.94%,-0.84%,3.39%,5.40%,1.47%,-0.80%,1.84%,3.05%,2.93%,1.01%,2.40%,11.08%,4.60%,11.63%,-13.30%,3.62%,0.89%,0.93%,3.40%,0.37%,-0.44%,3.86%,11.73%,9.67%,-0.26%,14.62%,6.04%,3.26%,-,-,-,-,-,23/24,18/24,18/24,18/24,16/24,19/24,16/22,14/16,13/15,5/6,,,,,,-,66.59%,56,27.02%,15,-,6.39%,-,12.1568,0.58%,17-May-21,12.1697,10-May-21,9.6232,26-May-20,7.72%,11.99%,-,-,-
Union Equity Savings Fund - GrowthEquity Savings,-,173.99,-0.08%,0.57%,-0.48%,4.97%,0.57%,20.85%,9.29%,-,-,-,0.79%,0.31%,-0.08%,0.99%,-0.78%,3.45%,5.45%,1.52%,-0.74%,1.90%,3.11%,2.98%,1.10%,2.58%,11.27%,4.78%,11.81%,-13.16%,3.76%,1.06%,1.07%,3.56%,0.81%,0.05%,4.13%,12.48%,10.35%,1.60%,16.39%,7.62%,4.41%,-,-,-,-,-,24/24,18/24,18/24,18/24,16/24,19/24,17/22,14/16,14/15,0/0,,,,,,-,66.59%,56,27.02%,15,-,6.39%,-,11.7259,0.6%,17-May-21,11.7322,16-Feb-21,9.9688,26-May-20,7.69%,12.90%,-,-,-
UTI Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,182.24,-0.09%,2.01%,0.81%,10.42%,2.08%,27.19%,10.74%,-,-,-,0.65%,-0.77%,-0.14%,0.79%,-1.10%,2.30%,3.39%,0.89%,-0.52%,0.70%,2.79%,1.89%,-0.13%,1.71%,7.13%,3.32%,9.12%,-10.72%,2.69%,0.18%,1.59%,2.54%,-,-,1.97%,7.26%,7.44%,0.44%,-,-,-,-,-,-,-,-,11/24,13/24,17/24,15/24,12/24,20/24,5/22,3/16,4/15,0/0,,,,,,-,66.48%,44,17.67%,8,-,29.78%,-,16.144,0.42%,17-May-21,16.144,17-May-21,12.256,22-May-20,7.68%,12.44%,15.81%,24.39%,-
SBI Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,1355.02,-0.10%,1.62%,0.24%,9.62%,1.52%,31.12%,12.15%,9.28%,9.72%,-,0.73%,-0.64%,-,0.91%,-0.97%,2.43%,3.52%,1.01%,-0.40%,0.83%,2.92%,2.01%,0.09%,2.14%,7.55%,3.72%,9.49%,-10.26%,3.23%,0.61%,2.01%,3.02%,-,-,2.63%,9.03%,9.44%,0.57%,-,-,-,-,-,-,-,-,11/24,13/24,17/24,15/24,12/24,20/24,5/22,3/16,2/15,0/0,,,,,,-,66.48%,44,17.67%,8,-,29.78%,-,14.98,0.4%,17-May-21,14.98,17-May-21,11.549,22-May-20,7.35%,12.28%,-,-,-
UTI Equity Savings Fund - GrowthEquity Savings,-,182.24,-0.11%,1.93%,0.61%,9.96%,1.97%,26.14%,9.85%,-,-,-,0.64%,-0.55%,0.05%,0.93%,-0.64%,2.39%,3.72%,1.24%,-0.59%,1.59%,2.42%,1.74%,0.08%,2.66%,8.01%,3.72%,7.78%,-9.11%,2.90%,-0.46%,1.85%,3.20%,1.69%,-0.27%,3.07%,8.97%,7.67%,1.71%,7.27%,8.16%,1.96%,15.78%,5.09%,12.85%,2.27%,3.02%,18/24,21/24,23/24,22/24,22/24,21/24,21/22,0/0,0/0,0/0,,,,,,424.00%,66.40%,21,8.21%,2,-,25.39%,-,12.67,0.39%,17-May-21,12.74,15-Feb-21,10.41,20-May-20,7.30%,11.64%,14.08%,19.14%,40.85%
SBI Equity Savings Fund - Regular Plan - GrowthEquity Savings,-,1355.02,-0.11%,1.56%,0.07%,9.24%,1.43%,30.22%,11.41%,8.29%,8.49%,-,0.69%,-0.47%,0.14%,1.01%,-0.55%,2.49%,3.81%,1.33%,-0.50%,1.69%,2.51%,1.84%,0.21%,2.95%,8.31%,4.01%,8.07%,-8.87%,3.18%,-0.19%,2.11%,3.45%,1.93%,-0.03%,3.49%,10.18%,8.81%,2.75%,8.37%,9.38%,2.73%,16.84%,5.48%,-,-,-,19/24,20/24,23/24,21/24,21/24,21/24,19/22,0/0,0/0,0/0,,,,,,424.00%,66.40%,21,8.21%,2,-,25.39%,-,12.46,0.32%,17-May-21,12.54,15-Feb-21,10.29,20-May-20,7.26%,12.16%,-,-,-
Aditya Birla Sun Life Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,486.67,-0.12%,0.23%,-0.52%,9.17%,0.06%,27.31%,11.50%,8.18%,9.74%,-,1.12%,-0.35%,-0.52%,1.81%,-0.28%,2.33%,5.83%,1.47%,-2.19%,2.81%,2.13%,2.67%,0.77%,2.50%,10.59%,3.02%,9.52%,-12.70%,2.17%,-1.10%,0.93%,-,-,-,3.70%,8.47%,4.27%,-,-,-,-,-,-,-,-,-,8/24,16/24,13/24,21/24,14/24,22/24,18/22,0/0,0/0,0/0,,,,,,-,66.33%,30,10.69%,5,-,22.98%,-,16.94,0.18%,17-May-21,16.94,17-May-21,13.63,20-May-20,6.73%,10.02%,-,-,-
Aditya Birla Sun Life Equity Savings Fund - Regular Plan - GrowthEquity Savings,-,486.67,-0.19%,0.12%,-0.80%,8.63%,-0.12%,26.09%,10.42%,7.10%,8.58%,-,1.19%,-0.24%,-0.41%,1.91%,-0.17%,2.44%,5.93%,1.57%,-2.10%,2.91%,2.23%,2.81%,0.94%,2.85%,10.95%,3.33%,10.03%,-12.29%,2.67%,-0.68%,1.35%,-,-,-,4.24%,10.19%,6.17%,-,-,-,-,-,-,-,-,-,7/24,15/24,10/24,20/24,13/24,22/24,15/22,0/0,0/0,0/0,,,,,,-,66.33%,30,10.69%,5,-,22.98%,-,11.97,0.17%,17-May-21,11.97,17-May-21,10.24,22-May-20,6.24%,10.09%,-,-,-
PGIM India Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,40.81,-0.23%,1.59%,1.58%,8.70%,1.96%,22.70%,8.99%,8.18%,8.46%,-,0.57%,-0.32%,0.08%,0.57%,-0.65%,2.26%,3.84%,1.06%,-0.62%,1.07%,2.76%,2.07%,0.24%,1.39%,7.76%,3.58%,10.26%,-9.35%,3.09%,0.47%,2.02%,2.06%,1.40%,-,1.96%,10.90%,8.35%,1.70%,-,-,-,-,-,-,-,-,10/24,22/24,8/24,23/24,17/24,23/24,0/0,0/0,0/0,0/0,,,,,,-,65.37%,80,0.89%,1,16.16%,16.17%,1.41%,11.74,0.17%,17-May-21,11.74,17-May-21,10.15,22-May-20,5.56%,-,-,-,-
IDFC Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,53.13,-0.24%,0.86%,-0.16%,6.51%,0.73%,21.24%,9.48%,7.55%,7.12%,-,0.64%,-0.32%,0.08%,0.56%,-0.65%,2.31%,3.87%,1.13%,-0.52%,1.15%,2.81%,2.14%,0.32%,1.53%,7.92%,3.72%,10.35%,-9.35%,3.25%,0.75%,2.30%,2.25%,1.59%,-,2.18%,11.42%,9.11%,2.00%,-,-,-,-,-,-,-,-,14/24,22/24,6/24,23/24,17/24,23/24,0/0,0/0,0/0,0/0,,,,,,-,65.37%,80,0.89%,1,16.16%,16.17%,1.41%,16.12,0.12%,17-May-21,16.12,17-May-21,13.05,20-May-20,4.93%,-,-,-,-
IDFC Equity Savings Fund - Regular Plan - GrowthEquity Savings,-,53.13,-0.26%,0.74%,-0.39%,5.98%,0.61%,20.01%,8.37%,6.39%,6.11%,6.91%,1.14%,0.27%,-0.16%,1.53%,0.04%,2.48%,5.12%,1.04%,-1.44%,1.77%,2.59%,1.96%,1.42%,3.97%,9.54%,3.17%,8.74%,-10.26%,2.57%,-0.72%,0.73%,1.88%,0.70%,-,6.02%,9.95%,4.40%,-0.37%,-,-,-,-,-,-,-,-,18/24,24/24,16/24,24/24,24/24,24/24,0/0,0/0,0/0,0/0,,,,,,-,-,-,92.69%,1,-,7.31%,-,0.3021,-,17-May-21,0.3021,21-May-20,0.3021,21-May-20,-,-,-,-,-
PGIM India Equity Savings Fund - GrowthEquity Savings,3,40.81,-0.26%,1.46%,1.22%,7.93%,1.77%,21.08%,7.72%,6.98%,7.17%,8.28%,1.18%,0.34%,-0.09%,1.58%,0.10%,2.55%,5.18%,1.11%,-1.37%,1.85%,2.66%,2.02%,1.52%,4.18%,9.78%,3.39%,8.95%,-10.10%,2.75%,-0.54%,1.00%,2.23%,1.05%,-,6.35%,10.83%,5.42%,0.10%,-,-,-,-,-,-,-,-,17/24,24/24,14/24,24/24,23/24,24/24,0/0,0/0,0/0,0/0,,,,,,-,-,-,92.69%,1,-,7.31%,-,0.2885,-,17-May-21,0.2885,21-May-20,0.2885,21-May-20,-,-,-,-,-
