Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
UTI Regular Savings Fund - Direct Plan,3,1627.47,-0.03,0.75,0.82,5.81,0.96,22.43,7.38,6.46,7.99,0.0,0.72,0.64,0.22,0.54,-0.17,1.58,2.66,0.9,0.13,1.41,2.15,1.58,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,6.79,8.64,5.04,9.43,9.66,8.41,14.27,8.5,0.0,0.0,0.0,7/23,9/23,3/22,5/22,4/23,17/22,21/21,21/21,21/21,20/20,0.0,0.0,0.0,0.0,0.0,0,15.43,30,71.09,62,0.0,13.48,0.0,24.79,0.35,17-May-21,24.89,15-Feb-21,21.87,26-May-20,4.78,8.55,12.25,18.51,51.16,"Regular', 'Direct",Conservative Hybrid Fund
UTI Regular Savings Fund,3,1627.47,-0.04,0.7,0.67,5.48,0.88,21.66,6.68,5.76,7.27,8.69,0.55,0.62,-0.06,0.51,-0.29,1.42,2.29,1.06,-0.88,0.13,1.73,1.89,1.47,2.06,4.9,1.99,1.92,-16.53,1.34,0.53,-1.52,2.32,2.12,1.58,3.28,13.42,8.16,-0.28,8.49,12.27,8.12,17.97,3.65,15.43,1.13,7.43,8/23,21/23,22/22,19/22,23/23,19/22,18/21,16/21,18/21,0/0,0.0,0.0,0.0,0.0,0.0,0,10.69,50,81.54,27,0.0,7.42,0.35,48.63,0.16,17-May-21,48.64,11-May-21,39.31,20-May-20,3.68,9.47,15.88,24.44,55.37,Regular,Conservative Hybrid Fund
SBI Debt Hybrid Fund - Regular Plan,3,1358.37,0.07,1.2,1.15,7.73,1.34,23.27,11.44,8.66,8.4,9.2,0.65,-0.37,-0.57,1.74,-0.09,1.49,4.37,1.21,-1.17,0.77,0.15,0.93,2.41,2.97,9.09,2.94,4.51,-6.75,3.35,-0.77,1.71,2.85,3.35,1.11,5.45,10.36,6.9,1.19,11.49,13.29,4.27,25.32,3.54,0.0,0.0,0.0,9/23,4/23,8/22,7/22,7/23,10/22,11/21,9/21,15/21,0/0,0.0,0.0,0.0,0.0,0.0,0,21.61,15,76.47,6,0.0,1.91,0.0,40.65,0.34,17-May-21,40.72,10-May-21,35.76,20-May-20,6.67,3.13,1.62,3.8,29.15,Regular,Conservative Hybrid Fund
SBI Debt Hybrid Fund - Direct Plan,3,1358.37,0.08,1.25,1.29,8.04,1.41,24.01,12.11,9.39,9.26,0.0,0.39,0.49,0.81,0.03,-0.71,2.21,4.69,1.89,0.31,0.5,2.74,2.29,2.36,2.87,8.98,2.83,4.4,-6.84,3.23,-0.87,1.61,2.74,3.22,0.96,5.3,9.91,6.44,0.57,10.81,12.65,3.78,24.79,3.1,15.59,-0.79,10.74,9/23,4/23,7/22,6/22,6/23,10/22,10/21,8/21,14/21,7/20,0.0,0.0,0.0,0.0,0.0,0,21.61,15,76.47,6,0.0,1.91,0.0,42.98,0.35,17-May-21,43.05,10-May-21,37.6,20-May-20,6.96,12.56,17.62,24.63,0.0,Direct,Conservative Hybrid Fund
IDFC Regular Savings Fund - Direct Plan,3,177.63,-0.02,0.73,0.0,3.83,0.64,14.3,8.7,7.79,8.34,0.0,0.39,-0.43,0.14,0.49,0.28,1.39,2.24,0.65,-0.29,0.58,1.62,1.57,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2/23,8/23,21/22,12/22,21/23,16/22,16/21,15/21,6/21,3/23,0.0,0.0,0.0,0.0,0.0,0,18.47,20,48.06,8,0.0,28.2,5.27,41.51,0.21,17-May-21,41.51,17-May-21,36.37,20-May-20,5.31,9.62,13.87,21.35,0.0,"Regular', 'Direct",Conservative Hybrid Fund
ICICI Prudential Regular Savings Fund - Direct Plan,3,3204.81,0.32,1.25,1.01,5.44,1.36,18.96,10.95,9.87,10.79,0.0,0.63,0.61,0.61,0.51,-1.13,1.81,3.52,1.53,-0.48,0.61,2.06,2.38,1.25,1.09,7.29,2.81,6.29,-3.69,2.33,1.57,-3.98,2.02,2.16,-0.14,1.85,13.17,2.02,3.32,12.1,4.05,6.15,20.65,5.45,13.08,-0.32,3.52,1/23,1/23,2/22,2/22,2/23,2/22,5/21,5/21,4/21,5/20,5.62,1.12,0.81,-2.84,0.04,0,24.39,24,61.21,11,0.0,14.4,0.0,57.52,0.4,17-May-21,57.52,17-May-21,45.62,22-May-20,10.02,15.95,20.54,27.58,0.0,"Regular', 'Direct",Conservative Hybrid Fund
ICICI Prudential Regular Savings Fund,3,3204.81,0.31,1.17,0.79,4.97,1.24,17.97,10.15,9.1,9.95,10.27,0.79,0.68,0.95,-0.25,-0.51,1.42,2.08,0.23,1.1,0.92,3.79,1.48,1.47,0.52,3.9,6.46,3.14,-2.49,2.97,0.0,-11.68,2.25,1.32,-1.61,1.69,12.04,-6.85,-1.96,15.06,8.96,7.52,16.01,5.58,0.0,0.0,0.0,5/23,2/23,5/22,3/22,2/23,3/22,1/21,2/21,1/21,0/0,4.48,0.85,0.76,-2.19,0.04,0,24.38,47,52.25,51,0.0,21.64,1.71,55.07,0.39,17-May-21,55.07,17-May-21,46.29,20-May-20,8.51,12.28,13.45,19.26,53.55,Regular,Conservative Hybrid Fund
Franklin India Debt Hybrid Fund - Direct,3,188.82,0.13,1.56,1.44,5.98,1.53,18.23,9.4,8.25,8.06,0.0,0.57,1.0,1.34,0.67,-0.27,0.93,3.36,1.22,0.47,0.43,1.85,2.85,1.38,1.48,5.79,3.33,6.87,-3.37,3.07,1.64,2.23,3.21,2.69,0.35,2.88,13.68,10.66,3.3,8.95,5.78,5.8,19.54,6.08,12.24,3.44,8.89,15/23,7/23,8/22,8/22,8/23,7/22,2/21,1/21,3/21,6/20,4.36,0.92,0.8,-2.63,0.04,0,23.41,30,66.52,9,0.0,10.07,0.0,63.42,0.28,17-May-21,63.93,13-Jan-21,57.17,20-May-20,7.46,10.78,14.27,20.3,53.83,Direct,Conservative Hybrid Fund
Franklin India Debt Hybrid Fund,3,188.82,0.12,1.5,1.27,5.6,1.45,17.31,8.54,7.44,7.26,8.86,0.66,0.47,0.18,-0.48,-0.79,2.13,2.92,1.49,-0.6,-0.16,1.62,2.15,1.36,1.73,5.41,3.03,7.55,-6.95,2.26,0.66,1.08,2.71,-0.42,-2.92,3.11,9.16,6.73,-5.23,10.97,10.44,4.72,18.51,4.73,15.25,2.48,5.23,4/23,11/23,13/22,11/22,12/23,9/22,6/21,4/21,1/21,1/20,0.0,0.0,0.0,0.0,0.0,0,23.33,31,37.71,30,0.0,38.96,0.0,33.29,0.49,17-May-21,33.3,15-Feb-21,29.32,20-May-20,7.03,3.81,2.67,5.82,0.0,Regular,Conservative Hybrid Fund
Axis Regular Saver Fund - Direct Plan,3,231.68,-0.06,1.25,1.22,5.92,1.39,19.75,8.9,7.88,8.35,0.0,0.68,0.58,0.56,0.68,-0.07,1.19,3.66,1.3,-0.41,0.23,1.77,2.28,1.41,2.05,9.16,3.23,6.98,-5.97,2.01,1.88,0.75,3.81,3.03,-1.22,2.82,8.29,1.87,0.45,13.1,10.38,8.71,22.54,-0.77,0.0,0.0,0.0,14/23,20/23,20/22,20/22,18/23,21/22,4/21,3/21,8/21,12/20,0.0,0.0,0.0,0.0,0.0,0,0.0,-,0.0,-,96.86,3.14,0.0,10.29,0.66,17-May-21,10.66,27-Apr-21,9.9,25-Mar-21,-13.85,0.0,0.0,0.0,0.0,"Regular', 'Direct",Conservative Hybrid Fund
Axis Regular Saver Fund,3,231.68,-0.08,1.15,0.95,5.33,1.25,18.44,7.78,6.81,7.14,8.12,0.42,0.54,0.86,0.07,-0.67,2.26,4.74,1.94,0.36,0.56,2.79,2.34,1.17,1.41,5.05,1.4,6.0,-5.57,3.45,-0.59,-3.89,2.29,2.32,-0.43,3.41,7.01,8.5,2.17,9.16,9.28,5.77,22.36,5.59,14.19,2.32,5.7,15/23,20/23,20/22,20/22,18/23,21/22,5/21,3/21,8/21,0/0,0.0,0.0,0.0,0.0,0.0,0,0.0,-,97.12,1,0.0,2.88,0.0,10.29,0.66,17-May-21,10.66,27-Apr-21,9.9,25-Mar-21,-14.0,0.0,0.0,0.0,0.0,Regular,Conservative Hybrid Fund
Aditya Birla Sun Life Regular Savings Fund- Regular Plan,3,1200.49,-0.11,0.45,0.86,10.46,0.58,28.26,9.55,6.59,8.57,10.03,0.52,0.93,0.93,0.78,-23.65,0.68,0.67,0.65,0.68,0.73,0.71,0.69,1.18,1.93,6.26,1.91,5.62,-6.51,2.71,1.42,1.53,2.58,1.85,0.71,1.93,10.65,3.59,4.25,13.36,9.55,7.7,21.62,6.9,0.0,0.0,0.0,6/23,16/23,1/22,22/22,9/23,22/22,0/0,0/0,0/0,0/0,0.0,0.0,0.0,0.0,0.0,0,0.0,-,97.12,1,0.0,2.88,0.0,10.28,0.66,17-May-21,10.65,27-Apr-21,9.89,25-Mar-21,0.0,0.0,0.0,0.0,0.0,"Regular', 'Regular",Conservative Hybrid Fund
IDFC Regular Savings Fund - Regular Plan,2,177.63,-0.04,0.65,-0.22,3.35,0.52,13.24,7.71,6.86,7.39,8.69,0.45,0.96,0.41,0.96,-0.19,2.44,4.15,1.92,-0.47,0.92,1.86,2.89,1.36,1.58,5.56,4.4,4.91,-4.0,3.67,1.5,1.69,2.9,3.39,0.68,3.8,-8.03,3.66,5.09,10.27,10.09,7.13,24.34,3.76,0.0,0.0,0.0,20/23,23/23,18/22,21/22,22/23,19/22,13/21,11/21,16/21,18/20,0.0,0.0,0.0,0.0,0.0,0,10.69,50,81.54,27,0.0,7.42,0.35,29.14,0.27,17-May-21,29.38,08-Jan-21,26.42,20-May-20,3.78,8.15,12.35,18.56,43.38,"Regular', 'Regular",Conservative Hybrid Fund
HDFC Hybrid Debt Fund - Direct Plan,2,2430.69,0.46,2.37,2.51,9.76,2.41,25.14,10.88,9.36,9.4,0.0,0.75,0.23,-0.01,0.26,-0.3,1.94,2.43,0.74,-0.68,-0.14,1.85,1.67,0.98,0.94,5.47,1.56,4.5,-3.44,2.28,1.38,1.84,2.45,2.04,0.3,1.93,8.68,8.28,2.48,10.58,8.79,5.17,17.43,6.16,13.57,4.12,1.94,22/23,21/23,12/22,1/22,19/23,1/22,7/21,14/21,5/21,2/20,4.91,0.99,0.7,-3.09,0.03,0,24.55,39,66.67,54,0.0,8.78,0.0,77.13,0.47,17-May-21,77.15,11-May-21,64.45,20-May-20,11.34,15.71,19.6,26.23,0.0,Direct,Conservative Hybrid Fund
HDFC Hybrid Debt Fund,2,2430.69,0.45,2.34,2.42,9.54,2.36,24.63,10.43,8.87,8.84,9.1,0.83,0.37,0.12,0.38,-0.2,2.06,2.55,0.85,-0.56,-0.01,1.98,1.79,1.2,1.32,5.85,1.94,4.89,-3.1,2.68,1.87,2.25,2.83,2.54,0.83,2.54,10.29,10.02,4.63,13.13,11.32,7.31,18.19,6.28,0.0,0.0,0.0,22/23,21/23,12/22,1/22,19/23,1/22,7/21,14/21,5/21,2/20,4.34,0.86,1.19,-0.53,0.06,0,24.55,39,66.67,54,0.0,8.78,0.0,70.67,0.46,17-May-21,70.7,11-May-21,59.76,20-May-20,11.09,15.21,18.81,24.66,60.71,Regular,Conservative Hybrid Fund
