Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
DSP Regular Savings Fund - Regular Plan,2,187.09,0.02,0.93,2.06,5.58,1.36,18.03,8.7,4.84,6.75,8.09,1.22,1.23,0.4,0.72,0.3,2.31,3.98,1.19,-0.05,1.14,2.14,2.04,0.88,0.81,9.3,4.32,6.13,-9.59,2.09,0.52,-2.34,2.75,1.57,0.05,1.7,9.93,2.9,3.56,12.53,8.75,7.08,21.03,6.35,15.13,-0.64,7.18,3/23,17/23,6/22,17/22,8/23,12/22,20/21,20/21,20/21,0/0,0.0,0.0,0.0,0.0,0.0,0,20.73,22,44.42,9,0.0,34.86,0.0,22.69,0.5,17-May-21,22.71,10-May-21,19.16,20-May-20,6.35,10.72,9.07,11.19,0.0,"Regular', 'Regular",Conservative Hybrid Fund
DSP Regular Savings Fund - Direct Plan,2,187.09,0.05,1.07,2.49,6.49,1.58,20.04,10.49,6.6,8.15,0.0,0.74,-0.23,-0.43,1.89,0.07,1.63,4.52,1.34,-1.03,0.92,0.3,1.07,1.14,0.05,6.92,1.76,6.62,-5.31,2.55,0.86,1.93,2.82,3.13,0.1,1.2,10.79,8.43,0.41,9.88,8.62,4.28,21.65,3.75,17.74,-1.98,6.81,3/23,16/23,6/22,17/22,7/23,11/22,20/21,20/21,20/21,19/20,0.0,0.0,0.0,0.0,0.0,0,21.32,25,67.02,13,0.0,11.67,0.0,25.13,0.51,17-May-21,25.14,10-May-21,20.99,20-May-20,6.4,11.32,16.25,26.11,0.0,"Regular', 'Direct",Conservative Hybrid Fund
Aditya Birla Sun Life Regular Savings Fund- Direct Plan,2,1200.49,-0.1,0.52,1.07,10.92,0.68,29.37,10.46,7.45,9.65,0.0,0.52,0.93,0.93,0.78,-23.84,0.68,0.66,0.65,0.68,0.73,0.71,0.69,1.29,1.51,5.23,1.61,6.17,-5.24,3.69,-0.45,-3.75,2.54,2.64,-0.03,3.68,7.92,9.27,2.89,9.95,10.25,6.76,23.08,6.25,0.0,0.0,0.0,6/23,13/23,1/22,22/22,5/23,22/22,5/24,3/24,2/24,4/23,0.0,0.0,0.0,0.0,0.0,0,0.0,-,0.0,-,96.86,3.14,0.0,10.28,0.66,17-May-21,10.65,27-Apr-21,9.89,25-Mar-21,0.0,0.0,0.0,0.0,0.0,"Regular', 'Direct",Conservative Hybrid Fund
Sundaram Debt Oriented Hybrid Fund - Direct Plan,1,33.12,-0.03,0.96,0.52,4.63,1.29,15.19,5.17,4.71,6.89,0.0,0.68,0.56,0.14,0.48,-0.24,1.51,2.59,0.83,0.07,1.34,2.08,1.52,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,5.05,7.18,3.12,7.7,7.68,6.63,12.97,7.69,11.54,4.15,2.58,17/23,19/23,19/22,18/22,20/23,16/22,15/21,14/21,12/21,0/0,0.0,0.0,0.0,0.0,0.0,0,18.47,20,48.06,8,0.0,28.2,5.27,31.28,0.28,17-May-21,31.44,08-Jan-21,28.11,20-May-20,4.95,8.45,12.14,19.74,0.0,Direct,Conservative Hybrid Fund
Sundaram Debt Oriented Hybrid Fund,1,33.12,-0.05,0.88,0.37,4.3,1.17,14.39,4.35,3.73,5.87,7.43,0.59,0.69,-0.04,0.54,-0.25,1.49,2.33,1.12,-0.81,0.2,1.8,1.96,1.56,2.21,5.07,2.15,2.06,-16.38,1.52,0.72,-1.32,2.54,2.35,1.84,3.49,14.11,8.81,0.77,9.47,13.5,9.22,18.66,3.64,0.0,0.0,0.0,8/23,22/23,22/22,19/22,23/23,20/22,18/21,17/21,18/21,17/20,0.0,0.0,0.0,0.0,0.0,0,10.32,3,18.34,1,13.68,57.66,0.0,22.55,0.33,17-May-21,22.56,10-May-21,19.57,20-May-20,1.68,7.57,16.61,35.9,0.0,Regular,Conservative Hybrid Fund
Nippon India Hybrid Bond Fund - Direct Plan,1,780.4,0.18,1.26,2.29,5.94,1.55,14.07,-0.74,1.46,4.33,0.0,0.42,0.65,0.39,0.48,-0.77,1.54,2.18,1.02,-0.14,0.32,1.14,2.1,0.68,-0.61,4.94,2.13,4.64,0.34,1.69,1.0,5.54,2.0,4.69,0.25,0.07,13.19,10.88,3.86,7.07,8.79,5.83,15.88,5.91,12.32,-0.72,7.45,12/23,13/23,3/22,5/22,4/23,6/22,8/21,17/21,13/21,0/0,4.44,0.9,0.75,-2.58,0.04,0,23.99,46,72.26,26,0.0,3.09,0.66,38.02,0.5,17-May-21,38.02,17-May-21,32.98,20-May-20,7.53,11.37,15.25,26.95,0.0,Direct,Conservative Hybrid Fund
Nippon India Hybrid Bond Fund,1,780.4,0.17,1.21,2.13,5.61,1.47,13.37,-1.4,0.71,3.5,6.64,0.44,0.7,0.44,0.52,-0.73,1.59,2.23,1.06,-0.1,0.37,1.19,2.14,0.79,-0.39,5.18,2.36,4.85,0.52,1.9,1.24,5.74,2.19,4.89,0.43,0.39,14.13,11.79,4.87,7.96,9.58,6.96,16.87,6.51,0.0,0.0,0.0,21/23,12/23,11/22,10/22,11/23,6/22,14/21,13/21,15/21,13/20,6.08,1.1,0.34,-5.17,0.02,0,23.99,46,72.26,26,0.0,3.09,0.66,49.29,0.38,17-May-21,49.3,10-May-21,40.25,20-May-20,7.53,13.14,15.28,21.43,51.18,Regular,Conservative Hybrid Fund
Navi Regular Savings Fund,1,31.53,0.12,0.39,-1.33,2.85,-0.29,10.91,5.67,5.38,5.95,7.35,1.7,0.65,0.34,1.38,0.04,2.64,4.33,1.51,-1.57,1.55,2.38,2.8,1.07,0.93,5.02,1.9,5.88,-4.78,1.76,1.43,2.44,2.5,2.67,0.7,2.02,8.49,8.46,2.48,8.53,7.92,4.16,18.58,1.74,11.81,1.39,5.53,14/23,7/23,7/22,6/22,6/23,8/22,2/21,1/21,3/21,0/0,4.89,0.99,1.15,-0.87,0.06,0,23.38,56,69.06,39,0.0,7.56,0.0,46.68,0.38,17-May-21,46.7,10-May-21,38.36,20-May-20,7.41,11.54,13.7,17.15,45.66,Regular,Conservative Hybrid Fund
L&T Conservative Hybrid Fund,1,36.94,-0.17,0.93,0.99,4.38,1.07,13.47,8.37,7.36,7.37,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,9.47,4.49,6.3,-9.43,2.26,0.69,-2.17,2.92,1.74,0.22,-21.06,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0.0,0.0,0.92,0.09,17-May-21,1.17,25-Jan-21,0.89,27-Jan-21,0.0,0.0,0.0,0.0,0.0,Regular,Conservative Hybrid Fund
BOI AXA Conservative Hybrid - Regular Plan,1,56.37,0.32,0.89,1.7,3.65,1.4,15.49,2.65,0.9,4.42,6.65,0.78,0.62,0.89,-0.3,-0.57,1.37,2.02,0.18,1.05,0.87,3.73,1.43,1.4,0.35,3.73,6.29,2.98,-2.63,2.83,0.08,-11.79,2.11,1.18,-1.76,1.76,11.36,-7.36,-2.55,14.35,8.39,7.09,15.66,5.12,12.26,1.82,1.37,11/23,10/23,9/22,4/22,10/23,3/22,3/21,6/21,7/21,4/20,5.79,1.09,0.49,-4.33,0.03,0,24.38,47,52.25,51,0.0,21.64,1.71,46.37,0.47,17-May-21,46.37,17-May-21,39.43,20-May-20,8.89,13.04,14.61,21.36,0.0,Regular,Conservative Hybrid Fund
BOI AXA Conservative Hybrid - Direct Plan,1,56.37,0.33,0.93,1.86,3.99,1.48,16.23,3.28,1.51,5.05,0.0,0.48,0.16,0.33,0.02,-0.56,1.74,1.93,1.15,-0.18,0.4,2.17,1.78,0.64,0.7,5.3,2.97,5.97,-5.46,2.31,2.03,1.62,2.95,2.53,1.04,1.34,9.31,9.26,2.61,10.79,9.61,8.49,20.74,4.33,0.0,0.0,0.0,22/23,22/23,12/22,1/22,19/23,1/22,9/21,15/21,5/21,0/0,6.28,1.22,0.69,-3.71,0.04,0,24.42,42,62.74,15,0.0,12.84,0.0,65.1,0.44,17-May-21,65.1,17-May-21,55.52,20-May-20,10.04,16.57,21.89,29.46,67.5,Direct,Conservative Hybrid Fund
UTI Regular Saving Fund (Segregated - 17022020) - Regular Plan,0,42.97,0.22,0.95,2.78,-20.44,1.45,-16.82,0.0,0.0,0.0,0.0,0.31,1.23,0.41,1.15,-0.55,1.76,2.91,1.17,-0.16,1.14,2.1,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,-0.94,17.01,14.05,6.19,28.43,5.99,0.0,0.0,0.0,18/23,18/23,14/22,9/22,17/23,5/22,17/21,16/21,13/21,8/20,5.68,1.03,0.19,-5.68,0.01,0,24.03,35,64.83,27,0.0,11.14,0.0,51.71,0.38,17-May-21,51.71,17-May-21,43.83,20-May-20,8.12,15.29,21.68,31.64,0.0,"Regular', 'Regular",Conservative Hybrid Fund
UTI Regular Saving Fund (Segregated - 17022020) - Direct Plan,0,42.97,0.22,0.96,2.78,-20.24,1.46,-16.62,0.0,0.0,0.0,0.0,0.26,1.12,0.3,1.06,-0.65,1.66,2.81,1.08,-0.25,1.04,2.01,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19/23,18/23,14/22,11/22,17/23,5/22,17/21,18/21,16/21,0/0,5.07,1.03,1.26,-0.46,0.06,0,24.03,35,64.83,27,0.0,11.14,0.0,67.65,0.29,17-May-21,68.0,13-Jan-21,60.44,20-May-20,7.91,11.71,15.68,22.75,0.0,"Regular', 'Direct",Conservative Hybrid Fund
Navi Regular Savings Fund - Direct Plan,0,31.53,0.16,0.55,-0.87,3.79,-0.05,12.97,7.24,7.1,7.7,0.0,0.49,0.86,1.2,0.55,-0.4,0.79,3.22,1.09,0.34,0.29,1.72,2.71,1.54,1.81,6.1,3.62,7.11,-3.11,3.35,1.9,2.43,3.48,2.98,0.57,3.38,14.91,11.77,4.36,10.21,6.97,7.02,20.64,6.75,0.0,0.0,0.0,21/23,11/23,10/22,9/22,11/23,7/22,14/21,13/21,11/21,0/0,6.58,1.04,0.03,-6.72,0.0,0,23.41,30,66.52,9,0.0,10.07,0.0,39.47,0.47,17-May-21,39.47,17-May-21,32.02,20-May-20,7.5,13.1,18.31,29.23,0.0,"Regular', 'Direct",Conservative Hybrid Fund
Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative - Direct Plan,0,33.6,-0.02,1.56,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.83,1.57,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.38,5.57,1.4,4.93,-1.95,2.31,2.1,1.99,3.22,1.23,1.48,0.62,10.63,10.27,1.94,7.53,11.11,4.71,11.91,8.68,0.0,0.0,0.0,18/23,15/23,17/22,16/22,14/23,15/22,19/21,19/21,19/21,0/0,0.0,0.0,0.0,0.0,0.0,0,19.79,15,64.7,15,0.0,15.51,0.0,16.76,0.54,17-May-21,16.9,24-Feb-21,14.43,22-May-20,5.66,9.42,13.43,19.83,46.73,Direct,Conservative Hybrid Fund
Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative - Direct Plan,0,0.0,-0.02,1.56,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.3,-0.59,-0.01,0.36,0.13,1.22,2.08,0.48,-0.41,0.41,1.48,1.43,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23/23,15/23,10/22,14/22,15/23,15/22,12/21,9/21,12/21,15/20,0.0,0.0,0.0,0.0,0.0,0,19.79,15,64.7,15,0.0,15.51,0.0,21.64,0.41,17-May-21,21.64,17-May-21,18.72,20-May-20,5.5,9.52,13.39,20.38,51.85,Direct,Conservative Hybrid Fund
Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative,0,33.6,-0.03,1.51,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.73,0.74,0.78,0.49,0.16,1.29,2.02,1.34,-0.1,0.59,1.29,1.37,-0.29,1.6,4.01,1.73,5.35,-6.31,2.14,1.41,1.06,2.29,2.08,0.23,2.61,10.66,9.54,5.14,12.92,10.66,6.45,22.48,5.27,17.27,-0.55,9.01,23/23,14/23,11/22,15/22,16/23,17/22,13/21,12/21,14/21,0/0,0.0,0.0,0.0,0.0,0.0,0,15.43,30,71.09,62,0.0,13.48,0.0,51.99,0.17,17-May-21,52.0,11-May-21,41.78,20-May-20,4.25,9.15,13.93,21.34,0.0,Regular,Conservative Hybrid Fund
Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative,0,0.0,-0.03,1.51,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.76,0.79,0.83,0.53,0.21,1.34,2.07,1.38,-0.05,0.64,1.34,1.42,-0.05,2.02,4.54,2.17,5.79,-6.06,2.43,1.55,1.51,2.78,2.58,0.7,2.96,11.57,10.23,5.93,13.9,11.47,7.37,23.31,5.62,0.0,0.0,0.0,7/23,9/23,4/22,8/22,5/23,18/22,21/21,21/21,21/21,0/0,0.0,0.0,0.0,0.0,0.0,0,15.18,28,68.99,23,6.05,9.78,0.0,21.16,0.4,17-May-21,21.47,15-Feb-21,19.04,20-May-20,4.18,10.48,17.48,27.35,0.0,Regular,Conservative Hybrid Fund
L&T Conservative Hybrid Fund - Direct Plan,0,36.94,-0.16,0.98,1.14,4.68,1.15,14.1,8.97,8.02,8.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,2.11,6.47,2.12,5.85,-6.31,2.93,1.59,1.69,2.74,2.02,0.9,-21.25,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0.0,0.0,0.96,0.09,17-May-21,1.22,25-Jan-21,0.93,27-Jan-21,0.0,0.0,0.0,0.0,0.0,Direct,Conservative Hybrid Fund
Indiabulls Savings Income Fund - Direct Plan,0,11.5,0.36,1.36,-0.46,5.83,0.51,15.53,8.64,8.03,10.15,0.0,0.44,0.08,0.25,-0.05,-0.63,1.66,1.85,1.08,-0.25,0.32,2.09,1.7,0.52,0.47,5.05,2.73,5.73,-5.67,2.08,1.82,1.41,2.78,2.33,0.83,0.99,8.3,8.36,1.73,9.83,8.79,7.15,20.1,3.48,18.95,0.53,7.44,22/23,22/23,12/22,1/22,19/23,1/22,9/21,15/21,5/21,0/0,5.97,1.23,1.0,-2.15,0.05,0,24.42,42,62.74,15,0.0,12.84,0.0,69.33,0.45,17-May-21,69.33,17-May-21,58.67,20-May-20,10.76,18.04,24.18,33.69,0.0,Direct,Conservative Hybrid Fund
Indiabulls Savings Income Fund,0,11.5,0.32,1.21,-0.88,4.78,0.28,13.37,6.79,6.35,8.48,0.0,0.68,0.7,0.71,0.59,-1.05,1.9,3.62,1.61,-0.39,0.7,2.15,2.46,1.39,1.38,7.59,3.09,6.48,-3.47,2.58,1.85,-3.71,2.1,2.45,0.15,2.79,14.78,2.93,4.49,13.58,5.62,7.64,22.85,5.66,0.0,0.0,0.0,1/23,1/23,2/22,2/22,3/23,2/22,7/21,6/21,7/21,0/0,6.6,0.52,-0.43,-6.27,-0.06,0,24.39,24,61.21,11,0.0,14.4,0.0,55.21,0.4,17-May-21,55.21,17-May-21,43.97,22-May-20,9.66,15.2,19.38,25.22,60.52,Regular,Conservative Hybrid Fund
Baroda Conservative Hybrid Fund - Plan B (Direct),0,36.65,0.0,0.64,-0.23,3.24,0.79,11.47,11.39,10.65,9.26,0.0,0.81,1.52,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,1.86,7.72,4.03,7.67,-6.63,3.64,1.86,1.69,3.44,2.31,-0.31,4.21,13.52,11.17,-0.05,10.18,12.66,5.42,19.68,4.56,15.25,0.86,6.59,19/23,17/23,15/22,15/22,13/23,13/22,19/21,19/21,19/21,16/20,0.0,0.0,0.0,0.0,0.0,0,20.24,47,64.12,7,0.0,15.64,0.0,44.46,0.22,17-May-21,44.46,17-May-21,38.72,20-May-20,5.99,10.51,14.68,20.47,51.67,Direct,Conservative Hybrid Fund
Baroda Conservative Hybrid Fund - Plan A,0,36.65,-0.01,0.57,-0.44,2.78,0.68,10.49,10.45,9.76,8.34,8.13,0.81,1.52,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.14,8.05,4.34,7.97,-6.37,3.93,2.14,1.97,3.73,2.6,0.01,4.66,14.7,12.43,1.28,11.56,14.16,6.35,20.52,4.38,0.0,0.0,0.0,10/23,5/23,17/22,13/22,16/23,14/22,11/21,10/21,9/21,10/20,0.0,0.0,0.0,0.0,0.0,0,19.8,47,66.67,6,0.0,13.53,0.0,26.68,0.36,17-May-21,26.73,15-Feb-21,23.32,26-May-20,5.98,9.98,8.05,9.45,33.51,Regular,Conservative Hybrid Fund
,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,-22.38,2.11,2.15,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,Regular,[]
,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,-22.19,2.1,2.15,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,Regular,[]
