Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Mirae Asset Large Cap Fund - Regular - GrowthLarge Cap Fund,3,23993.39,1.72%,0.49%,-1.22%,17.30%,7.42%,59.25%,15.60%,12.06%,15.74%,15.02%,2.04%,-1.24%,0.24%,1.70%,-2.20%,6.89%,10.36%,2.08%,-1.17%,2.84%,5.49%,4.30%,1.55%,6.03%,22.07%,6.36%,24.53%,-28.66%,6.11%,-2.56%,1.89%,3.74%,-0.64%,2.25%,7.33%,24.38%,17.35%,5.26%,32.77%,2.41%,0.46%,36.80%,4.13%,-,-,-,6/35,9/35,10/35,26/34,25/35,26/32,29/32,30/31,30/30,26/27,,,,,,-,95.40%,34,-,-,-,4.60%,-,34.3805,0.62%,10-May-21,35.7195,15-Feb-21,22.3906,18-May-20,18.90%,25.49%,31.54%,42.73%,107.84%
HSBC Large Cap Equity Fund - Direct Plan - GrowthLarge Cap Fund,3,689.71,1.70%,-0.70%,-4.04%,15.06%,4.07%,55.11%,16.46%,10.89%,14.29%,-,1.72%,-1.05%,-0.18%,0.07%,-4.10%,6.88%,11.83%,2.17%,-2.42%,2.13%,4.32%,4.55%,1.62%,6.18%,22.24%,6.55%,24.72%,-28.56%,6.27%,-2.39%,2.03%,3.96%,-0.42%,2.50%,3.20%,13.74%,15.76%,1.33%,26.77%,1.76%,-2.66%,39.77%,6.46%,28.28%,-26.89%,17.48%,29/35,24/35,31/35,28/34,29/35,27/32,5/32,4/31,16/30,4/27,,,,,,-,95.40%,34,-,-,-,4.60%,-,29.2304,0.64%,10-May-21,29.9041,16-Feb-21,17.8719,18-May-20,18.89%,24.52%,28.02%,38.43%,88.72%
Navi Large Cap Equity Fund - GrowthLarge Cap Fund,3,95.55,1.69%,1.36%,-0.66%,19.99%,7.67%,56.01%,14.35%,9.33%,12.01%,-,1.76%,-0.92%,-0.05%,0.18%,-4.00%,6.98%,11.93%,2.25%,-2.34%,2.22%,4.41%,4.63%,0.81%,7.67%,24.77%,4.87%,19.56%,-32.28%,7.53%,-6.04%,0.63%,5.93%,1.82%,3.22%,3.77%,14.95%,16.93%,2.50%,28.34%,2.65%,-1.83%,40.75%,6.50%,-,-,-,22/32,16/32,24/32,28/31,31/32,27/29,3/29,2/28,2/27,0/0,,,,,,66.00%,95.03%,49,-,-,2.85%,2.12%,-,20.18,0.89%,10-May-21,20.64,03-Mar-21,12.42,18-May-20,18.67%,25.37%,32.39%,52.32%,123.35%
HSBC Large Cap Equity Fund - GrowthLarge Cap Fund,3,689.71,1.69%,-0.78%,-4.26%,14.52%,3.72%,53.65%,15.37%,9.92%,13.37%,10.29%,1.72%,-1.36%,-0.62%,2.64%,-1.58%,6.00%,9.86%,0.91%,-1.46%,3.98%,6.45%,5.04%,0.91%,7.87%,25.02%,5.10%,19.83%,-32.11%,7.74%,-5.85%,0.80%,6.19%,2.07%,3.48%,7.04%,13.53%,12.87%,0.22%,38.58%,7.65%,3.86%,52.50%,7.90%,33.28%,-19.64%,23.12%,32/35,19/35,30/35,30/34,33/35,28/32,14/32,11/31,22/30,21/27,,,,,,66.00%,95.03%,49,-,-,2.85%,2.12%,-,19.02,0.84%,10-May-21,19.49,03-Mar-21,11.8,18-May-20,18.61%,23.11%,27.63%,37.73%,86.94%
BNP Paribas Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3,1029.84,1.57%,0.76%,-1.73%,16.77%,5.76%,51.49%,19.43%,13.78%,14.08%,-,1.75%,-1.27%,-0.53%,2.72%,-1.50%,6.10%,9.96%,1.00%,-1.37%,4.07%,6.54%,5.13%,-0.21%,6.63%,24.64%,7.25%,23.58%,-28.47%,5.05%,-1.96%,2.95%,5.08%,1.15%,-2.42%,7.46%,14.78%,14.09%,1.08%,39.57%,8.49%,4.73%,54.01%,8.05%,-,-,-,31/32,29/32,29/32,31/31,32/32,28/29,27/29,27/28,23/27,0/0,,,,,,57.00%,93.95%,33,-,-,-,4.20%,-,28.42,0.49%,10-May-21,29.41,15-Feb-21,18.22,19-May-20,18.53%,23.88%,26.53%,36.41%,93.31%
BNP Paribas Large Cap Fund - GrowthLarge Cap Fund,3,1029.84,1.55%,0.66%,-2.02%,16.07%,5.30%,49.69%,18.08%,12.43%,12.67%,13.53%,1.98%,-1.18%,0.90%,1.64%,-2.64%,6.72%,11.62%,1.75%,-1.70%,3.79%,5.23%,4.07%,-0.12%,6.83%,24.86%,7.43%,23.84%,-28.32%,5.25%,-1.76%,3.10%,5.27%,1.36%,-2.17%,7.34%,18.36%,10.85%,0.34%,29.57%,3.23%,-0.49%,43.11%,5.28%,25.07%,-19.72%,18.47%,27/32,20/32,17/32,30/31,28/32,29/29,25/29,21/28,26/27,0/0,,,,,,57.00%,93.95%,33,-,-,-,4.20%,-,14.1569,0.93%,10-May-21,14.1569,10-May-21,8.2886,18-May-20,18.30%,25.11%,28.03%,38.37%,83.17%
JM Large Cap Fund - (Direct) - GrowthLarge Cap Fund,4,54.2,1.55%,0.81%,-0.57%,12.23%,4.73%,38.67%,14.13%,10.47%,11.36%,-,2.01%,-1.10%,0.98%,1.70%,-2.57%,6.79%,11.69%,1.83%,-1.58%,3.87%,5.31%,4.14%,0.66%,5.46%,16.11%,-,-,-,-,-,-,-,-,-,7.69%,19.48%,11.70%,1.24%,30.52%,3.80%,-0.02%,43.66%,5.11%,-,-,-,31/35,8/35,6/35,29/34,24/35,29/32,26/32,24/31,23/30,14/27,,,,,,-,92.86%,34,-,-,-,4.44%,2.70%,13.87,0.94%,10-May-21,14.27,15-Feb-21,8.48,18-May-20,17.29%,20.52%,23.41%,34.96%,-
Invesco India Largecap Fund - Direct Plan - GrowthLarge Cap Fund,2,290.74,1.54%,1.79%,0.64%,16.77%,6.75%,50.12%,15.80%,11.13%,13.93%,-,2.07%,-1.05%,-0.05%,0.55%,-5.08%,7.33%,10.89%,2.60%,-1.25%,1.62%,4.89%,3.87%,0.88%,5.97%,16.63%,-,-,-,-,-,-,-,-,-,2.86%,19.58%,19.12%,7.43%,38.03%,-3.97%,-1.29%,40.64%,12.56%,31.73%,-22.55%,18.40%,24/35,18/35,27/35,31/34,34/35,30/32,3/32,2/31,2/30,2/27,,,,,,-,92.86%,34,-,-,-,4.44%,2.70%,14.26,0.91%,10-May-21,14.66,15-Feb-21,8.66,18-May-20,16.27%,18.61%,20.56%,29.55%,-
JM Large Cap Fund - GrowthLarge Cap Fund,4,54.2,1.53%,0.71%,-0.83%,11.62%,4.32%,37.15%,12.97%,9.34%,10.13%,9.18%,2.08%,-0.95%,0.05%,0.62%,-5.00%,7.44%,10.96%,2.70%,-1.18%,1.73%,4.99%,3.98%,1.73%,9.26%,21.35%,6.24%,20.62%,-28.87%,5.79%,-3.63%,4.95%,6.29%,1.41%,-0.69%,3.29%,21.06%,20.47%,8.98%,39.81%,-3.03%,-0.30%,42.57%,12.79%,-,-,-,34/35,32/35,32/35,34/34,35/35,31/32,31/32,31/31,27/30,0/0,,,,,,-,92.11%,26,-,-,-,7.89%,-,13.5857,0.92%,10-May-21,13.5857,10-May-21,8.0916,18-May-20,14.75%,22.04%,25.61%,35.11%,-
Invesco India Largecap Fund - GrowthLarge Cap Fund,2,290.74,1.51%,1.68%,0.30%,15.98%,6.22%,48.20%,14.31%,9.54%,12.15%,11.56%,2.22%,-1.53%,-0.24%,2.19%,-2.25%,6.05%,9.79%,-1.14%,-,-,-,-,1.65%,9.06%,21.11%,6.03%,20.38%,-29.02%,5.58%,-3.89%,4.73%,6.04%,1.16%,-1.12%,7.48%,16.01%,-,-,-,-,-,-,-,-,-,-,30/35,22/35,20/35,33/34,31/35,32/32,28/32,25/31,29/30,25/27,,,,,,-,92.11%,26,-,-,-,7.89%,-,25.07,0.44%,10-May-21,26.03,15-Feb-21,16.32,19-May-20,14.04%,20.64%,23.54%,31.37%,73.41%
LIC MF Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2,506.24,1.51%,0.92%,-1.62%,16.18%,3.91%,50.72%,17.54%,12.51%,13.39%,-,2.28%,-1.37%,-0.07%,2.33%,-2.10%,6.22%,9.95%,-1.02%,-,-,-,-,2.10%,2.60%,18.33%,8.31%,19.60%,-26.91%,5.14%,-1.96%,1.14%,3.72%,-2.09%,2.46%,8.24%,16.52%,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,88.63%,62,2.94%,4,-,7.19%,1.24%,12.6589,0.86%,10-May-21,12.8597,15-Feb-21,9.8984,30-Oct-20,,,,,
LIC MF Large Cap Fund - GrowthLarge Cap Fund,2,506.24,1.48%,0.78%,-2.01%,15.35%,3.33%,48.86%,16.29%,11.29%,12.16%,10.44%,2.16%,-1.39%,-0.74%,2.56%,-3.15%,6.51%,9.92%,1.56%,-0.98%,2.04%,6.80%,3.86%,2.10%,2.57%,18.30%,8.29%,19.55%,-26.97%,5.05%,-2.03%,1.10%,3.67%,-2.29%,2.29%,6.28%,13.05%,14.13%,-0.38%,30.49%,0.95%,0.40%,45.33%,7.35%,-,-,-,,,,,,,,,,,,,,,,-,88.63%,62,2.94%,4,-,7.19%,1.24%,12.5134,0.84%,10-May-21,12.7706,15-Feb-21,9.8861,30-Oct-20,,,,,
DSP Top 100 Equity Fund - Direct Plan - GrowthLarge Cap Fund,1,2624.69,1.44%,0.35%,-0.62%,18.30%,6.30%,55.57%,14.27%,9.13%,12.04%,-,2.59%,-1.33%,-1.54%,3.11%,-3.04%,6.43%,11.25%,1.79%,-2.73%,1.53%,6.22%,3.63%,2.63%,11.34%,26.98%,0.84%,25.19%,-28.34%,7.77%,-5.02%,-1.22%,5.54%,-1.03%,0.49%,7.09%,14.88%,12.65%,-3.12%,22.96%,3.13%,-3.23%,51.20%,-6.26%,17.51%,-35.69%,4.80%,,,,,,,,,,,,,,,,-,82.43%,45,0.06%,1,-,5.35%,-,12.58,0.79%,10-May-21,12.72,15-Feb-21,9.86,30-Oct-20,,,,,
Indiabulls Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,1,112.18,1.43%,0.25%,-1.80%,12.07%,3.23%,48.40%,12.10%,8.75%,13.18%,-,2.59%,-1.26%,-1.50%,3.15%,-2.93%,6.48%,11.43%,1.83%,-2.65%,1.59%,6.25%,3.74%,0.51%,4.20%,21.94%,6.66%,23.24%,-27.29%,6.17%,-2.17%,1.76%,5.80%,-2.03%,-0.10%,7.45%,16.16%,13.46%,-2.47%,24.20%,3.78%,-2.75%,52.44%,-7.36%,-,-,-,,,,,,,,,,,,,,,,-,82.43%,45,0.06%,1,-,5.35%,-,10.9395,0.87%,10-May-21,11.3041,03-Mar-21,10.0,24-Dec-20,,,,,
DSP Top 100 Equity Fund - Regular Plan - GrowthLarge Cap Fund,1,2624.69,1.42%,0.28%,-0.81%,17.84%,6.00%,54.39%,13.42%,8.35%,11.24%,10.00%,1.70%,-0.41%,-1.23%,3.00%,-2.08%,6.25%,10.66%,1.78%,-1.34%,0.69%,6.43%,4.64%,0.56%,4.32%,22.15%,6.80%,23.37%,-27.18%,6.34%,-2.31%,1.91%,5.81%,-1.91%,-,7.36%,11.98%,12.00%,-5.46%,33.80%,2.55%,5.14%,29.79%,3.38%,29.62%,-9.38%,-,,,,,,,,,,,,,,,,-,81.51%,50,0.15%,1,-,18.34%,-,10.9395,0.87%,10-May-21,11.3041,03-Mar-21,10.0,24-Dec-20,,,,,
Indiabulls Bluechip Fund - Regular Plan - GrowthLarge Cap Fund,1,112.18,1.37%,0.08%,-2.15%,11.27%,2.70%,46.13%,10.46%,7.14%,11.43%,-,1.77%,-0.23%,-1.04%,3.17%,-1.91%,6.43%,10.82%,1.92%,-1.23%,0.82%,6.58%,4.81%,0.78%,5.56%,22.51%,8.24%,22.28%,-25.72%,6.79%,-1.56%,-0.24%,5.08%,-0.50%,0.01%,8.20%,13.92%,13.86%,-4.31%,35.50%,3.98%,6.86%,31.34%,3.51%,-,-,-,,,,,,,,,,,,,,,,-,81.51%,50,0.15%,1,-,18.34%,-,10.8384,0.85%,10-May-21,11.2563,03-Mar-21,10.0,24-Dec-20,,,,,
Kotak Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,5,2411.04,1.37%,-0.10%,-0.36%,19.58%,8.07%,62.47%,19.61%,13.61%,14.72%,-,3.21%,-3.64%,-1.18%,3.17%,-1.39%,1.21%,-,-,-,-,-,-,0.88%,5.80%,22.78%,8.53%,22.59%,-25.57%,6.99%,-0.95%,-0.04%,5.31%,-0.27%,0.23%,-,0.08%,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,29.29%,26,-,-,-,70.71%,-,10.8384,0.85%,10-May-21,11.2563,03-Mar-21,10.0,24-Dec-20,,,,,
Kotak Bluechip Fund - GrowthLarge Cap Fund,5,2411.04,1.35%,-0.20%,-0.65%,18.87%,7.60%,60.58%,18.27%,12.35%,13.35%,12.07%,3.28%,-3.38%,-0.99%,3.33%,-1.22%,0.64%,-,-,-,-,-,-,1.43%,7.87%,23.80%,3.24%,21.33%,-31.29%,6.22%,-7.65%,2.31%,7.59%,0.19%,4.96%,-,0.09%,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,29.29%,26,-,-,-,70.71%,-,12.43,0.72%,10-May-21,12.63,15-Feb-21,9.86,30-Oct-20,,,,,
