Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
ICICI Prudential Credit Risk Fund - Direct Plan - GrowthCredit Risk Fund,3,7227.5,0.18%,0.90%,1.97%,3.50%,1.15%,10.63%,9.92%,9.31%,9.18%,-,0.18%,0.68%,0.89%,0.79%,0.83%,1.05%,1.11%,1.07%,0.46%,0.08%,-0.36%,0.65%,0.86%,2.58%,3.36%,0.48%,-1.03%,-5.02%,1.52%,3.09%,-3.59%,1.92%,1.94%,1.08%,1.46%,9.69%,6.43%,6.08%,6.89%,10.42%,9.59%,10.59%,10.05%,9.80%,9.45%,5.61%,5/19,8/19,11/19,8/19,9/19,6/19,2/16,2/16,1/15,2/6,,,,,,-,-,-,85.29%,26,-,14.71%,-,21.2216,0.01%,12-May-21,21.2216,12-May-21,18.223,21-May-20,5.11%,2.63%,2.24%,6.48%,-
ICICI Prudential Credit Risk Fund - GrowthCredit Risk Fund,3,7227.5,0.17%,0.84%,1.80%,3.14%,1.07%,9.89%,9.25%,8.54%,8.32%,8.72%,0.22%,0.77%,0.99%,0.88%,0.92%,1.15%,1.20%,1.15%,0.54%,0.20%,-0.21%,0.74%,0.99%,2.88%,3.65%,0.84%,-0.76%,-4.78%,1.77%,3.31%,-3.35%,2.19%,2.17%,1.32%,1.69%,10.37%,7.12%,7.01%,7.72%,11.26%,10.09%,11.03%,10.38%,-,-,-,17/18,4/18,9/18,8/18,5/18,6/18,4/16,3/16,3/15,0/0,,,,,,-,-,-,97.13%,1,-,2.87%,-,16.6865,0.01%,12-May-21,16.6865,12-May-21,14.2159,19-May-20,4.71%,9.24%,12.99%,21.47%,-
Nippon India Credit Risk Fund - Segregated Portfolio 1 - GrowthCredit Risk Fund,-,21.94,0.17%,0.94%,2.87%,-20.76%,1.37%,-20.66%,-,-,-,-,0.32%,0.36%,0.38%,0.27%,0.23%,0.28%,0.39%,0.42%,1.70%,0.40%,0.62%,0.61%,0.68%,0.94%,1.13%,2.75%,-1.33%,2.11%,1.87%,0.22%,-0.39%,2.46%,-3.45%,-1.20%,2.95%,-5.39%,2.54%,6.88%,8.00%,10.95%,9.62%,12.00%,8.65%,-,-,-,6/18,8/18,11/18,9/18,9/18,7/18,2/16,2/16,1/15,0/0,,,,,,-,-,-,70.94%,7,-,29.06%,-,15.6577,0.01%,12-May-21,15.6577,12-May-21,13.4338,19-May-20,4.59%,2.39%,0.32%,2.39%,-
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct - GrowthCredit Risk Fund,-,21.94,0.17%,0.94%,2.87%,-20.76%,1.37%,-20.66%,-,-,-,-,0.35%,0.43%,0.45%,0.32%,0.29%,0.35%,0.45%,0.48%,1.76%,0.47%,0.69%,0.68%,0.77%,1.13%,1.33%,2.97%,-1.13%,2.25%,2.08%,0.55%,-0.15%,2.67%,-3.26%,-1.06%,2.72%,-5.98%,1.93%,5.97%,7.03%,9.96%,8.70%,10.92%,7.94%,9.62%,8.43%,4.65%,17/19,7/19,9/19,10/19,7/19,7/19,4/16,4/16,4/15,3/6,,,,,,-,-,-,80.50%,36,-,19.50%,-,13.7002,0.01%,12-May-21,13.7002,12-May-21,12.6115,18-May-20,4.43%,1.95%,1.26%,4.53%,27.45%
Nippon India Credit Risk Fund - Segregated Portfolio 1 - GrowthCredit Risk Fund,-,28.11,0.17%,0.94%,2.87%,-20.76%,1.37%,-20.66%,-,-,-,-,0.49%,0.93%,0.67%,0.15%,0.45%,0.61%,1.12%,1.99%,0.51%,0.16%,1.45%,2.12%,1.43%,1.15%,3.82%,2.31%,1.62%,2.53%,2.21%,2.19%,1.70%,2.19%,2.39%,1.19%,-21.66%,-,-,-,-,-,-,-,-,-,-,-,7/19,10/19,12/19,11/19,10/19,8/19,3/16,3/16,3/15,1/6,,,,,,-,-,-,89.30%,97,-,9.26%,1.44%,4.2435,0.02%,12-May-21,4.2435,12-May-21,3.705,18-May-20,4.68%,9.98%,15.43%,25.79%,-
SBI Credit Risk Fund - Direct Plan - GrowthCredit Risk Fund,3,3496.77,0.13%,0.80%,1.89%,2.81%,1.09%,10.18%,8.77%,8.16%,8.25%,-,0.51%,0.97%,0.72%,0.19%,0.50%,0.65%,1.16%,2.03%,0.55%,0.20%,1.49%,2.16%,1.48%,1.29%,3.94%,2.43%,1.74%,2.64%,2.32%,2.29%,1.81%,2.31%,2.54%,1.38%,-21.66%,-,-,-,-,-,-,-,-,-,-,-,10/18,9/18,8/18,7/18,8/18,8/18,6/16,6/16,5/15,0/0,,,,,,-,-,-,96.97%,2,-,3.03%,-,4.1943,0.02%,12-May-21,4.1943,12-May-21,3.6721,18-May-20,4.22%,8.18%,12.97%,22.30%,-
Nippon India Credit Risk - Direct Plan- GrowthCredit Risk Fund,3,1032.44,0.13%,0.78%,2.12%,4.33%,1.04%,9.33%,-0.01%,1.65%,4.36%,-,1.02%,0.30%,-0.07%,0.04%,0.81%,0.65%,1.11%,1.36%,0.62%,0.40%,1.43%,1.89%,1.32%,0.53%,3.12%,2.69%,2.43%,-11.24%,-2.76%,1.25%,-5.90%,2.06%,2.30%,0.80%,-21.66%,-,-,-,-,-,-,-,-,-,-,-,10/19,9/19,8/19,7/19,8/19,9/19,6/16,6/16,6/15,0/0,,,,,,-,-,-,81.24%,17,-,18.76%,-,13.1369,0%,12-May-21,13.1376,06-May-21,12.2105,18-May-20,4.22%,1.71%,-0.67%,0.39%,-
SBI Credit Risk Fund - Regular Plan - GrowthCredit Risk Fund,3,3496.77,0.12%,0.75%,1.74%,2.49%,1.01%,9.49%,8.10%,7.44%,7.47%,8.75%,1.04%,0.36%,-0.01%,0.09%,0.86%,0.71%,1.16%,1.41%,0.68%,0.45%,1.49%,1.93%,1.41%,0.71%,3.29%,2.86%,2.57%,-11.12%,-2.61%,1.43%,-5.74%,2.27%,2.50%,1.02%,-24.45%,-,-,-,-,-,-,-,-,-,-,-,7/18,10/18,12/18,12/18,10/18,9/18,3/16,5/16,4/15,0/0,,,,,,-,-,-,91.93%,1,-,8.07%,-,0.5753,0.03%,12-May-21,1.4344,11-Jun-20,0.5577,01-Feb-21,4.13%,8.01%,11.05%,17.76%,-
Nippon India Credit Risk- GrowthCredit Risk Fund,3,1032.44,0.11%,0.73%,1.96%,4.01%,0.97%,8.66%,-0.63%,0.96%,3.56%,6.41%,0.16%,1.10%,0.58%,-0.06%,0.27%,0.67%,0.73%,0.61%,0.53%,0.59%,1.32%,1.44%,1.26%,0.62%,2.03%,2.69%,0.71%,1.00%,2.37%,2.52%,1.59%,1.99%,2.13%,1.30%,0.75%,7.92%,-4.54%,3.98%,7.09%,10.86%,9.01%,3.77%,-,-,-,-,16/19,17/19,14/19,15/19,17/19,10/19,11/16,9/16,8/15,4/6,,,,,,-,-,-,97.13%,1,-,2.87%,-,0.6314,0.03%,12-May-21,1.5571,11-Jun-20,0.6121,01-Feb-21,4.29%,9.22%,14.23%,23.32%,55.28%
BOI AXA Credit Risk - Direct Plan - GrowthCredit Risk Fund,1,71.93,0.11%,1.58%,5.45%,6.52%,1.93%,14.74%,-41.58%,-31.95%,-17.55%,-,0.20%,1.19%,0.67%,0.02%,0.35%,0.75%,0.82%,0.69%,0.61%,0.68%,1.40%,1.51%,1.39%,0.88%,2.30%,2.96%,0.95%,1.23%,2.61%,2.76%,1.83%,2.24%,2.36%,1.50%,1.17%,9.24%,-3.61%,4.76%,7.89%,11.69%,9.83%,4.03%,-,-,-,-,16/18,17/18,14/18,15/18,17/18,10/18,11/16,9/16,8/15,0/0,,,,,,-,-,-,50.43%,6,-,49.57%,-,0.1182,-,12-May-21,0.1538,15-Sep-20,0.1145,27-Jan-21,4.30%,9.02%,13.42%,22.32%,-
