Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
Navi 3 in 1 Fund - Direct Plan,0,16.93,-0.09,2.71,-0.5,9.82,3.13,39.15,13.68,10.24,9.19,0,4.44,0.39,-1.81,7.14,-1.11,6.99,9.68,-0.37,-6.77,3.65,3.31,3.23,4.85,8.38,18.73,1,22.69,-23.94,7.12,-3.48,1.82,4.19,0.26,2.92,15.35,10.42,7.97,-0.86,29.37,12.77,-0.75,37.83,16.1,0,0,0,7/10,4/10,10/10,7/10,5/10,6/8,6/7,6/7,6/7,0/0,0,0,0,0,0,0,66.32,61,9.47,6,0,1.68,15.45,34.34,0.66,17-May-21,34.34,17-May-21,27.78,27-May-20,13.38,18.65,21.64,27.31,52.4,Direct,Multi Asset Allocation
Navi 3 in 1 Fund,0,16.93,-0.13,2.55,-0.96,8.79,2.88,36.91,12,8.73,7.74,8.09,0.41,1.15,-0.74,1.16,-1.37,4.37,0,0,0,0,0,0,1.56,2.18,0,0,0,0,0,0,0,0,0,0,4.97,10.12,0,0,0,0,0,0,0,0,0,0,5/10,8/10,9/10,9/10,10/10,7/8,7/7,7/7,7/7,0/0,0,0,0,0,0,0,65.43,64,15.61,11,11.48,5.16,2.32,67.09,0.08,17-May-21,67.26,11-May-21,34.01,20-May-20,10.66,18,23.51,32.82,0,Regular,Multi Asset Allocation
Motilal Oswal Multi Asset Fund - Direct Plan,0,222.76,-0.08,0.37,1.24,2.38,1.88,0,0,0,0,0,4.41,0.34,-1.86,7.1,-1.15,6.94,9.63,-0.42,-6.81,3.6,3.25,3.17,4.77,8.22,18.56,0.83,22.49,-24.07,6.96,-3.63,1.65,3.95,0.02,2.67,15.09,9.69,7.21,-1.93,28.15,11.9,-1.63,36.8,15.38,30.58,-20.32,21.26,7/10,4/10,10/10,8/10,5/10,6/8,6/7,6/7,7/7,6/7,0,0,0,0,0,0,66.32,61,9.47,6,0,1.68,15.45,36.68,0.67,17-May-21,36.68,17-May-21,29.47,27-May-20,14.5,20.65,24.57,32.03,0,Direct,Multi Asset Allocation
Motilal Oswal Multi Asset Fund,0,222.76,-0.11,0.22,0.86,1.61,1.67,0,0,0,0,0,0,0,0,0,0,0,6.28,0.65,-2.44,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,5/10,8/10,9/10,9/10,10/10,7/8,7/7,7/7,6/7,7/7,0,0,0,0,0,0,65.43,64,15.61,11,11.48,5.16,2.32,67.5,0.1,17-May-21,67.65,11-May-21,33.92,20-May-20,10.72,16.72,18.98,25.59,0,Regular,Multi Asset Allocation
HDFC Multi-Asset Fund - Direct Plan,0,761.75,0.45,2.38,2.05,13,3.35,46.13,17.43,11.58,10.87,0,9.68,10.76,1.4,4.67,-1.74,3.88,1.67,3.05,1.5,3.92,18.06,5.35,21.48,6.36,9.46,24.93,15.76,-22.42,3.36,3.65,1.26,1.74,3.49,1.4,31.95,27.12,10.99,4.56,1.99,12.72,7.39,7.38,6.63,8.2,6.14,5.93,4/10,2/10,2/10,2/10,2/10,2/8,4/7,3/7,2/7,0/0,13.63,,1.22,,0.25,0,72.02,40,15.19,18,10.24,2.01,0,44.81,1.01,17-May-21,44.81,17-May-21,30.3,26-May-20,26.04,31.61,34.4,45.25,0,Direct,Multi Asset Allocation
HDFC Multi-Asset Fund,0,761.75,0.42,2.23,1.65,12.23,3.12,44.4,16.25,10.63,10.05,9.85,1.87,0.62,0.08,0.93,-2.49,7.39,5.54,0.29,-0.97,2.29,7.17,5.6,2.5,1.47,14.31,9.08,19.68,-18.28,5.68,-0.95,0.12,4.79,0.04,-0.21,4.87,21.58,9.42,-1.32,12.46,9.33,5.17,21.1,7.05,0,0,0,2/10,6/10,4/10,4/10,4/10,3/8,3/7,4/7,4/7,0/0,0,0,0,0,0,0,69.34,48,12.43,6,10.53,7.7,0,24.53,1.42,17-May-21,24.84,15-Feb-21,17.47,20-May-20,17.5,26.06,32.89,44.65,0,Regular,Multi Asset Allocation
Axis Triple Advantage Fund - Direct Plan,0,965.82,-0.22,2.6,0.7,12.13,3.08,44.77,19.24,13.79,12.3,0,0.34,1,-0.89,1.03,-1.5,4.51,0,0,0,0,0,0,1.34,1.73,0,0,0,0,0,0,0,0,0,0,5.28,10.7,0,0,0,0,0,0,0,0,0,0,2/10,3/10,3/10,7/10,3/10,8/8,5/7,5/7,5/7,5/7,0,0,0,0,0,0,50.76,37,14.72,6,3.13,11.96,0,10.6,0.41,17-May-21,10.61,10-May-21,9.9,24-Sep-20,10.23,15.75,17.48,22.76,47.84,Direct,Multi Asset Allocation
Axis Triple Advantage Fund,0,965.82,-0.26,2.45,0.29,11.24,2.86,42.54,17.59,12.33,10.9,9.84,0,0,0,0,0,0,6.22,0.53,-2.56,0,0,0,0,0,12.86,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,3/10,3/10,3/10,8/10,3/10,8/8,5/7,5/7,5/7,0/0,0,0,0,0,0,0,50.76,37,14.72,6,3.13,11.96,0,10.48,0.4,17-May-21,10.49,10-May-21,9.87,24-Sep-20,10.21,17.13,22.17,29.98,68.18,Regular,Multi Asset Allocation
,0,,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0.43,3.35,-0.81,5.24,6.39,0.63,0.46,1.94,4.09,3.71,0.8,6.13,14.33,7.26,15.43,0,0,0,0,0,0,0,7.91,27.02,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,8.79,22,62.96,7,22.62,5.63,0,,0,,,,,,0,0,0,0,0,Regular,[]
,0,,0,0,0,0,0,0,0,0,0,0,1.05,-0.26,-0.13,0.95,-1.22,3.23,3.89,1.3,-1,0.8,5.97,4.26,0.79,1.47,9.2,6.22,18.07,-16.15,3.39,0.17,-0.23,0.93,-0.15,0.59,2.7,13.07,3.93,-0.4,17.09,7.03,-3.7,22.72,-4.02,24.91,-7.71,16.74,,,,,,,,,,,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,,,0,0,0,0,0,Regular,[]
,0,,0,0,0,0,0,0,0,0,0,0,1.08,-0.2,-0.06,1.01,-1.16,3.29,3.95,1.36,-0.94,0.87,6.04,4.32,0.89,1.67,9.41,6.43,18.28,-15.98,3.58,0.38,0,1.16,0.08,0.83,3,13.94,4.83,0.63,18.24,7.71,-3.16,23.43,-3.8,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,,,0,0,0,0,0,Regular,[]
