Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
LIC MF Liquid Fund - Direct Plan - GrowthLiquid Fund,3,7243.84,0.06%,0.26%,0.81%,1.61%,0.39%,3.45%,4.76%,5.68%,6.22%,-,0.10%,0.25%,0.27%,0.23%,0.23%,0.25%,0.22%,0.24%,0.25%,0.27%,0.24%,0.30%,0.37%,0.78%,0.77%,0.78%,0.98%,1.49%,1.35%,1.51%,1.73%,1.78%,1.90%,1.81%,1.13%,4.31%,6.84%,7.45%,6.70%,7.64%,8.51%,9.19%,9.35%,9.69%,9.04%,5.50%,12/44,2/43,2/43,2/43,2/43,6/42,4/38,5/35,21/33,0/0,,,,,,-,-,-,51.82%,3,-,48.18%,-,3178.9935,0.01%,13-May-21,3178.9935,13-May-21,3076.6599,17-May-20,1.66%,4.03%,7.29%,14.86%,-
Union Liquid Fund - Direct Plan - GrowthLiquid Fund,1,1028.37,0.06%,0.26%,0.82%,1.59%,0.39%,3.41%,4.72%,4.38%,5.38%,-,0.10%,0.25%,0.28%,0.24%,0.24%,0.25%,0.22%,0.25%,0.26%,0.27%,0.24%,0.31%,0.38%,0.80%,0.79%,0.80%,1.01%,1.52%,1.37%,1.54%,1.75%,1.80%,1.92%,1.83%,1.16%,4.39%,6.89%,7.51%,6.76%,7.71%,8.58%,9.25%,9.40%,-,-,-,15/39,8/38,10/38,15/38,4/38,6/38,9/38,7/35,6/32,7/29,,,,,,-,-,-,95.35%,22,-,4.65%,-,3233.4834,0.01%,13-May-21,3233.4834,13-May-21,3130.0167,17-May-20,1.65%,4.02%,7.29%,14.94%,-
TRUSTMF Liquid Fund - Direct Plan - GrowthLiquid Fund,-,376.36,0.06%,-,-,-,-,-,-,-,-,-,0.11%,0.38%,-,-,-,-,-,-,-,-,-,-,0.35%,0.75%,0.75%,0.78%,0.84%,1.23%,1.28%,1.42%,1.67%,1.76%,1.83%,1.78%,0.16%,-,-,-,-,-,-,-,-,-,-,-,27/39,29/38,28/38,25/38,30/38,7/38,10/38,11/35,11/32,11/29,,,,,,-,-,-,88.47%,5,-,11.53%,-,3259.7625,0.01%,13-May-21,3259.7625,13-May-21,3154.9212,17-May-20,1.65%,4.08%,6.76%,12.74%,-
TRUSTMF Liquid Fund - Direct Plan - GrowthLiquid Fund,-,0.0,0.06%,-,-,-,-,-,-,-,-,-,0.10%,0.31%,-,-,-,-,-,-,-,-,-,-,0.36%,0.76%,0.76%,0.78%,0.85%,1.23%,1.28%,1.43%,1.68%,1.77%,1.84%,1.80%,0.15%,-,-,-,-,-,-,-,-,-,-,-,9/44,11/43,11/43,12/43,10/43,7/42,10/38,11/35,8/33,0/0,,,,,,-,-,-,82.08%,103,-,17.92%,-,3214.5884,0.01%,13-May-21,3214.5884,13-May-21,3114.1869,17-May-20,1.77%,4.25%,7.60%,15.29%,-
Edelweiss Liquid Fund - Direct Plan - GrowthLiquid Fund,4,1137.6,0.06%,0.28%,0.84%,1.66%,0.41%,3.45%,4.83%,5.75%,6.15%,-,0.10%,0.25%,0.28%,0.25%,0.24%,0.24%,0.25%,0.26%,0.26%,0.28%,0.27%,0.33%,0.35%,0.75%,0.77%,0.79%,1.12%,1.42%,1.33%,1.47%,1.71%,1.78%,1.87%,1.79%,1.17%,4.36%,6.63%,7.45%,6.65%,7.68%,8.39%,9.15%,9.31%,-,-,-,9/39,12/38,4/38,10/38,11/38,8/38,13/38,34/35,31/32,0/0,,,,,,-,-,-,67.60%,20,-,32.40%,-,3152.9576,0.01%,13-May-21,3152.9576,13-May-21,3054.4871,17-May-20,1.64%,4.07%,7.38%,15.04%,-
IDBI Liquid Fund - GrowthLiquid Fund,1,1208.64,0.06%,0.26%,0.81%,1.61%,0.39%,3.52%,4.82%,5.72%,6.18%,7.56%,0.09%,0.24%,0.27%,0.24%,0.23%,0.23%,0.24%,0.25%,0.25%,0.27%,0.26%,0.32%,0.36%,0.76%,0.78%,0.80%,1.13%,1.43%,1.34%,1.48%,1.73%,1.79%,1.88%,1.80%,1.12%,4.25%,6.54%,7.38%,6.60%,7.64%,8.31%,9.09%,9.26%,9.65%,8.95%,5.49%,24/44,22/43,22/43,19/43,24/43,8/42,11/38,14/35,12/33,0/0,,,,,,-,-,-,91.96%,45,-,8.04%,-,3103.3144,0.01%,13-May-21,3103.3144,13-May-21,3004.602,17-May-20,1.77%,4.23%,7.54%,15.16%,-
DSP Liquidity Fund - Direct Plan - GrowthLiquid Fund,4,12853.47,0.06%,0.26%,0.80%,1.57%,0.39%,3.31%,4.64%,5.62%,6.17%,-,0.10%,0.24%,0.26%,0.23%,0.24%,0.23%,0.22%,0.23%,0.25%,0.26%,0.25%,0.26%,0.37%,0.75%,0.76%,0.79%,1.20%,1.31%,1.35%,1.52%,1.79%,1.82%,1.89%,1.80%,1.12%,3.74%,6.13%,-1.83%,6.72%,7.66%,8.40%,9.05%,9.15%,9.65%,8.92%,5.36%,4/39,10/38,7/38,8/38,13/38,9/38,15/38,13/35,14/32,14/29,,,,,,-,-,-,84.74%,72,-,15.26%,-,3236.3905,0.01%,13-May-21,3236.3905,13-May-21,3135.87,17-May-20,1.63%,4.02%,7.28%,-,-
HSBC Cash Fund - Direct Plan - GrowthLiquid Fund,4,3553.23,0.06%,0.26%,0.79%,1.57%,0.38%,3.34%,4.63%,5.61%,6.16%,-,0.10%,0.25%,0.27%,0.24%,0.24%,0.24%,0.23%,0.23%,0.25%,0.26%,0.26%,0.27%,0.38%,0.79%,0.80%,0.83%,1.26%,1.36%,1.39%,1.51%,1.80%,1.83%,1.90%,1.82%,1.15%,3.83%,6.16%,-1.75%,6.79%,7.73%,8.48%,9.14%,9.26%,-,-,-,5/44,4/43,10/43,3/43,7/43,9/42,15/38,17/35,22/33,0/0,,,,,,-,-,-,51.82%,3,-,48.18%,-,2664.243,0.01%,13-May-21,2664.243,13-May-21,2576.7556,17-May-20,1.76%,4.17%,7.47%,15.10%,-
Sundaram Money Fund - Regular Plan - GrowthLiquid Fund,3,3662.94,0.06%,0.26%,0.79%,1.55%,0.37%,3.30%,4.59%,5.57%,6.09%,7.56%,0.11%,0.27%,0.29%,0.24%,0.23%,0.24%,0.24%,0.25%,0.25%,0.28%,0.26%,0.31%,0.36%,0.76%,0.76%,0.78%,1.06%,1.45%,1.29%,1.47%,1.70%,1.76%,1.87%,1.80%,1.16%,4.16%,6.48%,7.40%,6.67%,7.64%,8.36%,9.12%,9.28%,-,-,-,12/39,15/38,16/38,12/38,16/38,10/38,12/38,18/35,17/32,23/29,,,,,,-,-,-,88.83%,72,-,11.17%,-,2952.3178,0.01%,13-May-21,2952.3178,13-May-21,2859.0283,17-May-20,1.76%,4.11%,7.34%,14.81%,39.62%
Mirae Asset Cash Management Fund - GrowthLiquid Fund,3,4044.98,0.06%,0.26%,0.79%,1.59%,0.38%,3.33%,4.59%,5.55%,6.04%,7.03%,0.10%,0.25%,0.28%,0.23%,0.22%,0.23%,0.23%,0.25%,0.25%,0.28%,0.25%,0.30%,0.37%,0.78%,0.78%,0.80%,1.08%,1.47%,1.31%,1.53%,1.73%,1.79%,1.90%,1.83%,1.12%,4.10%,6.44%,7.35%,6.62%,7.58%,8.31%,9.07%,9.22%,9.63%,8.98%,5.50%,30/44,21/43,12/43,17/43,19/43,10/42,8/38,7/35,4/33,0/0,,,,,,-,-,-,92.17%,36,-,7.83%,-,3087.0821,0.01%,13-May-21,3087.0821,13-May-21,2991.2934,17-May-20,1.76%,4.20%,7.51%,15.18%,-
JM Liquid Fund - GrowthLiquid Fund,2,1280.11,0.06%,0.26%,0.79%,1.55%,0.38%,3.23%,4.48%,5.50%,6.09%,7.57%,0.10%,0.26%,0.28%,0.24%,0.23%,0.25%,0.23%,0.26%,0.26%,0.29%,0.27%,0.32%,0.52%,0.99%,1.07%,1.16%,1.13%,1.44%,1.53%,1.72%,1.73%,1.86%,1.88%,1.79%,1.15%,4.26%,6.70%,7.37%,6.65%,3.41%,-,-,-,-,-,-,24/39,21/38,15/38,16/38,15/38,11/38,7/38,8/35,4/32,8/29,,,,,,-,-,-,62.22%,5,-,37.78%,-,2930.4279,0.01%,13-May-21,2930.4279,13-May-21,2840.0567,17-May-20,1.63%,3.89%,7.09%,14.63%,-
Mahindra Manulife Liquid Fund - Regular Plan - GrowthLiquid Fund,3,1638.97,0.06%,0.26%,0.80%,1.56%,0.38%,3.38%,4.69%,5.64%,-,-,0.10%,0.27%,0.29%,0.25%,0.24%,0.26%,0.24%,0.27%,0.26%,0.30%,0.27%,0.32%,0.56%,1.08%,1.16%,1.24%,1.22%,1.53%,1.61%,1.79%,1.79%,1.92%,1.94%,1.85%,1.19%,4.37%,6.81%,7.51%,6.81%,3.48%,-,-,-,-,-,-,10/44,12/43,6/43,16/43,9/43,11/42,13/38,34/35,32/33,0/0,,,,,,-,-,-,84.32%,47,-,15.68%,-,2829.2352,0.01%,13-May-21,2829.2352,13-May-21,2739.83,17-May-20,1.63%,4.07%,7.36%,14.98%,-
BOI AXA Liquid Fund - Direct Plan - GrowthLiquid Fund,4,242.02,0.06%,0.26%,0.80%,1.56%,0.38%,3.34%,4.57%,5.56%,6.16%,-,0.09%,0.24%,0.26%,0.24%,0.22%,0.23%,0.23%,0.25%,0.24%,0.26%,0.25%,0.28%,0.34%,0.73%,0.75%,0.77%,1.11%,1.36%,1.30%,1.47%,1.73%,1.76%,1.85%,1.73%,1.10%,4.08%,6.47%,7.21%,6.49%,7.57%,8.33%,9.08%,9.25%,9.50%,8.80%,5.14%,3/44,10/43,9/43,13/43,14/43,12/42,17/38,15/35,13/33,0/0,,,,,,-,-,-,76.85%,12,-,23.15%,-,2836.4181,0.01%,13-May-21,2836.4181,13-May-21,2746.8036,17-May-20,1.63%,3.90%,7.12%,14.69%,-
PGIM India Insta Cash Fund - Direct Plan - GrowthLiquid Fund,1,785.68,0.06%,0.27%,0.82%,1.60%,0.40%,3.49%,4.78%,5.73%,6.24%,-,0.10%,0.25%,0.27%,0.24%,0.23%,0.23%,0.24%,0.26%,0.25%,0.27%,0.26%,0.29%,0.35%,0.76%,0.78%,0.80%,1.13%,1.39%,1.32%,1.50%,1.76%,1.78%,1.88%,1.76%,1.13%,4.18%,6.57%,7.32%,6.60%,7.67%,8.38%,9.13%,9.33%,-,-,-,19/39,19/38,12/38,13/38,14/38,12/38,14/38,12/35,10/32,17/29,,,,,,-,-,-,76.85%,12,-,23.15%,-,2816.3208,0.01%,13-May-21,2816.3208,13-May-21,2728.6743,17-May-20,1.63%,3.99%,7.21%,14.69%,-
Baroda Liquid Fund - Plan A - GrowthLiquid Fund,3,5003.24,0.06%,0.26%,0.80%,1.56%,0.39%,3.22%,4.58%,5.57%,6.13%,7.59%,0.11%,0.25%,0.29%,0.22%,0.25%,0.25%,0.21%,0.24%,0.25%,0.27%,0.25%,0.29%,0.36%,0.75%,0.76%,0.78%,1.14%,1.24%,1.35%,1.53%,1.75%,1.74%,1.87%,1.82%,1.15%,3.94%,6.52%,7.40%,6.70%,7.70%,8.41%,9.11%,9.28%,9.55%,8.95%,5.48%,32/44,23/43,21/43,28/43,15/43,13/42,9/38,10/35,10/33,0/0,,,,,,-,-,-,62.22%,5,-,37.78%,-,2633.1432,0.01%,13-May-21,2633.1432,13-May-21,2552.9817,17-May-20,1.63%,-,-,-,-
