Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
UTI Healthcare - GrowthSectoral/Thematic,-,800.02,3.67%,8.10%,11.58%,27.72%,11.76%,58.86%,37.93%,24.04%,12.55%,14.89%,5.58%,0.51%,-1.72%,8.89%,-1.30%,-,-,-,-,-,-,-,15.82%,16.19%,31.03%,4.76%,26.27%,-34.55%,6.33%,-5.05%,-1.70%,5.63%,-6.98%,4.96%,9.11%,79.23%,9.39%,1.33%,-,-,-,-,-,-,-,-,68/125,68/124,49/123,24/117,24/122,29/114,71/105,71/90,56/87,49/69,16.92,0.91,0.49,-0.27,0.09,-,98.35%,34,-,-,-,1.65%,-,33.247,1.67%,10-May-21,33.247,10-May-21,18.6831,18-May-20,33.51%,-,-,-,-
Quant ESG Equity Fund - Direct Plan - GrowthSectoral/Thematic,-,15.47,3.63%,5.43%,16.81%,47.76%,26.81%,-,-,-,-,-,3.37%,-0.28%,-1.86%,4.72%,-1.48%,-,-,-,-,-,-,-,1.82%,16.70%,26.61%,1.95%,21.78%,-34.09%,2.43%,-5.36%,3.74%,6.69%,4.23%,-4.61%,3.59%,25.71%,8.45%,-,-,-,-,-,-,-,-,-,85/125,43/124,23/123,29/117,23/122,30/114,25/105,61/90,32/87,52/69,25.7,0.87,0.33,-3.66,0.1,-,98.34%,35,-,-,-,1.66%,-,57.81,0.95%,10-May-21,59.15,04-Mar-21,33.85,18-May-20,33.34%,33.31%,32.93%,34.73%,-
Quant ESG Equity Fund - Regular Plan - GrowthSectoral/Thematic,-,15.47,3.62%,5.34%,16.48%,46.82%,26.21%,-,-,-,-,-,3.35%,-0.09%,-1.76%,4.82%,-2.94%,-,-,-,-,-,-,-,15.96%,16.53%,31.39%,5.03%,26.58%,-34.41%,6.56%,-4.82%,-1.47%,5.88%,-6.78%,5.12%,3.88%,26.59%,9.24%,-,-,-,-,-,-,-,-,-,25/112,29/111,83/110,58/104,50/109,30/101,88/92,47/77,20/74,0/0,21.74,0.85,0.9,-0.59,0.23,-,98.34%,35,-,-,-,1.66%,-,28.3008,1.92%,10-May-21,28.3008,10-May-21,13.5357,18-May-20,33.28%,-,-,-,-
ICICI Prudential MNC Fund - Regular Plan - GrowthSectoral/Thematic,-,585.55,3.60%,4.82%,10.20%,36.67%,18.82%,82.56%,-,-,-,-,6.53%,0.82%,-2.83%,12.35%,-,7.50%,15.71%,-1.44%,-8.95%,6.00%,3.27%,3.40%,9.04%,-1.40%,8.92%,29.19%,27.72%,-0.80%,11.25%,1.28%,-6.43%,2.86%,-,-,38.92%,29.60%,2.80%,-13.77%,52.23%,-6.73%,-3.32%,55.90%,-12.64%,12.57%,-47.63%,0.93%,73/125,88/124,98/123,69/117,84/122,31/114,44/105,37/90,44/87,29/69,23.13,0.94,-0.38,-16.67,-0.09,-,98.22%,35,-,-,-,1.78%,-,32.1763,1.67%,10-May-21,32.1763,10-May-21,18.1355,18-May-20,33.20%,36.31%,34.51%,36.08%,-
HDFC Housing Opportunities Fund - Series 1 - Direct Plan - GrowthSectoral/Thematic,-,2916.87,3.58%,2.31%,0.62%,24.30%,12.92%,66.60%,8.87%,4.62%,-,-,6.51%,0.94%,-2.73%,12.44%,0.17%,7.64%,15.79%,-1.29%,-8.81%,6.17%,3.30%,3.55%,9.22%,-1.04%,9.33%,29.67%,28.22%,-0.25%,11.73%,0.60%,-6.06%,3.37%,-,-,26.87%,47.90%,-2.90%,-10.06%,44.48%,6.77%,1.85%,68.27%,-9.05%,20.57%,-45.73%,2.79%,22/112,36/111,63/110,14/104,38/109,31/101,92/92,76/77,74/74,0/0,26.84,0.92,0.24,-6.27,0.07,-,98.22%,35,-,-,-,1.78%,-,67.7737,0.74%,10-May-21,70.6011,04-Mar-21,39.0637,18-May-20,33.08%,31.03%,26.96%,30.71%,-
HDFC Housing Opportunities Fund - Direct Plan - GrowthSectoral/Thematic,-,1917.91,3.58%,2.31%,0.62%,24.30%,12.92%,66.60%,8.87%,4.62%,-,-,1.68%,-1.24%,-0.83%,-0.83%,-0.34%,6.47%,9.07%,-1.49%,-3.86%,4.97%,1.05%,2.57%,0.12%,2.98%,20.77%,10.65%,20.85%,-21.50%,5.90%,4.36%,-,-,-,-,38.58%,34.13%,4.18%,-13.23%,52.67%,-6.72%,-3.32%,56.19%,-15.01%,-,-,-,18/112,21/111,9/110,18/104,10/109,32/101,45/92,29/77,69/74,0/0,24.37,-,0.43,-,0.11,-,98.20%,21,-,-,-,1.80%,-,25.8203,1.91%,10-May-21,25.8203,10-May-21,12.5412,18-May-20,32.75%,35.49%,33.34%,34.01%,73.49%
ICICI Prudential MNC Fund - Direct Plan - GrowthSectoral/Thematic,-,585.55,3.57%,4.88%,10.56%,37.60%,19.42%,85.01%,-,-,-,-,1.79%,-1.20%,-0.72%,-0.73%,-0.25%,6.67%,9.25%,-1.36%,-3.69%,5.07%,1.13%,2.74%,0.20%,3.17%,20.98%,10.85%,21.08%,-21.38%,6.13%,4.58%,-,-,-,-,25.24%,49.69%,-1.76%,-9.51%,46.74%,6.80%,1.86%,69.14%,-10.22%,-,-,-,84/125,104/124,62/123,18/117,31/122,32/114,57/105,58/90,60/87,55/69,21.91,0.98,0.14,-4.53,0.03,-,98.20%,21,-,-,-,1.80%,-,65.4502,0.74%,10-May-21,68.2157,04-Mar-21,37.8376,18-May-20,32.73%,27.36%,24.68%,18.66%,-
HDFC Housing Opportunities Fund - Series 1 - GrowthSectoral/Thematic,-,2916.87,3.56%,2.23%,0.36%,23.78%,12.54%,65.48%,8.20%,3.63%,-,-,0.17%,1.65%,-1.44%,8.92%,-1.29%,7.34%,11.82%,-0.27%,0.60%,6.84%,8.15%,7.14%,17.42%,15.86%,26.14%,26.48%,24.03%,-33.29%,2.39%,-5.08%,1.06%,4.46%,3.67%,-1.61%,25.10%,16.99%,-,-,-,-,-,-,-,-,-,-,94/112,102/111,57/110,17/104,19/109,33/101,65/92,62/77,57/74,0/0,20.17,0.86,0.56,3.33,0.13,-,98.07%,31,-,-,-,1.93%,-,56.5036,0.85%,10-May-21,61.4795,15-Feb-21,30.4871,22-May-20,32.38%,28.60%,28.06%,37.78%,-
HDFC Housing Opportunities Fund - GrowthSectoral/Thematic,-,1917.91,3.56%,2.23%,0.36%,23.78%,12.54%,65.48%,8.20%,3.63%,-,-,0.22%,1.79%,-1.29%,9.06%,-1.15%,7.50%,11.96%,-0.12%,0.74%,6.99%,8.29%,7.27%,15.76%,8.12%,19.06%,23.66%,31.52%,-23.28%,3.88%,-7.20%,-2.85%,2.83%,1.67%,-0.65%,25.69%,17.20%,-,-,-,-,-,-,-,-,-,-,30/125,32/124,93/123,64/117,53/122,33/114,99/105,59/90,26/87,16/69,20.86,0.87,0.16,-3.99,0.04,-,98.07%,31,-,-,-,1.93%,-,20.55,2.34%,10-May-21,20.55,10-May-21,12.2,19-May-20,32.37%,31.61%,30.45%,30.22%,89.25%
IDBI Healthcare Fund - Direct Plan - GrowthSectoral/Thematic,-,72.91,3.52%,8.45%,10.71%,24.71%,10.51%,47.75%,38.46%,-,-,-,2.85%,-0.51%,0.62%,1.28%,-2.07%,-,-,-,-,-,-,-,17.17%,15.82%,26.20%,26.68%,24.91%,-33.01%,2.84%,-4.96%,1.21%,4.59%,3.82%,-1.47%,2.36%,-,-,-,-,-,-,-,-,-,-,-,26/125,39/124,70/123,17/117,40/122,34/114,105/105,89/90,87/87,67/69,19.45,-,0.18,-,0.05,-,98.03%,34,-,-,-,1.97%,-,36.05,1.3%,10-May-21,36.05,10-May-21,20.77,18-May-20,32.21%,29.47%,24.84%,27.15%,93.00%
