Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Sundaram Banking & PSU Debt Fund - INSTITUTIONAL - GrowthBanking and PSU Fund,4,920.62,0.04%,0.33%,0.93%,1.61%,0.41%,5.54%,7.66%,7.93%,7.15%,8.14%,0.25%,0.67%,0.96%,-0.24%,-0.14%,0.23%,0.82%,0.99%,-0.21%,-0.30%,2.97%,-,0.92%,0.34%,2.02%,-,-,-,-,-,-,-,-,-,1.26%,2.13%,-,-,-,-,-,-,-,-,-,-,11/22,4/22,6/22,4/20,7/22,14/18,13/17,4/17,6/17,0/0,,,,,,-,-,-,97.16%,161,-,2.83%,-,19.9731,-0.02%,12-May-21,19.9775,11-May-21,18.6354,18-May-20,2.55%,7.84%,13.46%,23.58%,-
L&T Banking and PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,4,4775.82,0.04%,0.68%,1.63%,1.88%,0.96%,7.48%,9.81%,8.89%,8.42%,-,0.28%,0.66%,0.33%,-0.07%,0.08%,0.43%,0.83%,1.20%,-0.12%,-0.40%,1.18%,1.16%,0.94%,0.20%,2.45%,1.27%,3.45%,1.50%,2.40%,2.34%,2.41%,2.48%,2.00%,1.42%,1.09%,9.19%,10.10%,5.64%,5.62%,12.51%,8.56%,10.43%,8.86%,8.87%,9.12%,6.00%,10/22,21/22,2/22,19/20,5/22,15/18,14/17,14/17,15/17,0/0,,,,,,-,-,-,90.76%,23,-,9.24%,-,25.8706,-0.02%,12-May-21,25.8751,11-May-21,23.9927,18-May-20,2.65%,7.42%,12.44%,21.12%,-
L&T Banking and PSU Debt Fund - GrowthBanking and PSU Fund,4,4775.82,0.04%,0.65%,1.53%,1.68%,0.92%,7.05%,9.38%,8.45%,7.95%,-,0.30%,0.69%,0.37%,-0.04%,0.11%,0.46%,0.86%,1.23%,-0.08%,-0.36%,1.22%,1.19%,0.99%,0.31%,2.57%,1.39%,3.57%,1.61%,2.52%,2.46%,2.54%,2.57%,2.10%,1.52%,1.26%,9.68%,10.60%,6.05%,5.90%,12.80%,8.89%,10.65%,6.61%,-,-,-,10/22,20/22,2/22,19/20,4/22,15/18,14/17,15/17,15/17,0/0,,,,,,-,-,-,96.91%,27,-,3.09%,-,25.2162,-0.02%,12-May-21,25.221,11-May-21,23.4905,18-May-20,2.56%,7.24%,12.77%,22.63%,-
ITI Banking & PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,-,33.29,0.03%,0.53%,1.89%,2.14%,0.93%,-,-,-,-,-,0.21%,0.74%,0.99%,-0.36%,-0.13%,0.28%,0.77%,1.26%,0.01%,-0.22%,0.87%,1.71%,0.95%,0.14%,2.25%,1.13%,4.37%,2.53%,1.97%,3.22%,2.11%,2.74%,2.93%,1.39%,1.10%,10.83%,10.57%,6.33%,5.96%,10.13%,5.61%,-,-,-,-,-,20/22,18/22,19/22,20/20,20/22,16/18,15/17,15/17,14/17,6/6,,,,,,-,-,-,93.65%,22,-,6.35%,-,18.4302,-0.04%,12-May-21,18.4368,11-May-21,17.028,18-May-20,2.47%,7.58%,12.93%,22.31%,52.81%
DSP Banking & PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,5,3625.98,0.03%,0.62%,1.67%,1.82%,0.85%,7.04%,9.62%,9.24%,8.42%,-,0.23%,0.78%,1.03%,-0.32%,-0.10%,0.32%,0.80%,1.30%,0.05%,-0.18%,0.91%,1.75%,1.00%,0.26%,2.37%,1.25%,4.50%,2.65%,2.08%,3.32%,2.21%,2.84%,3.04%,1.49%,1.27%,11.37%,11.05%,6.69%,6.17%,10.35%,5.74%,-,-,-,-,-,19/22,18/22,18/22,18/20,20/22,16/18,15/17,14/17,14/17,0/0,,,,,,-,-,-,97.14%,166,-,2.86%,-,18.0048,-0.04%,12-May-21,18.0115,11-May-21,16.71,18-May-20,2.15%,6.37%,11.50%,19.89%,-
Mirae Asset Banking and PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,-,225.25,0.03%,0.59%,1.77%,1.95%,0.92%,-,-,-,-,-,0.16%,0.73%,0.39%,-0.39%,-0.15%,0.32%,0.93%,1.37%,-0.18%,-0.69%,1.11%,1.63%,0.88%,-0.48%,2.60%,0.78%,4.15%,2.26%,2.06%,2.68%,2.15%,2.45%,2.49%,1.47%,0.42%,10.34%,9.82%,7.28%,6.39%,8.30%,8.70%,9.96%,8.31%,9.08%,8.84%,5.55%,17/22,19/22,20/22,18/20,21/22,17/18,17/17,17/17,17/17,0/0,,,,,,-,-,-,90.18%,20,-,9.82%,-,292.7265,-0.01%,12-May-21,292.7451,11-May-21,271.5863,18-May-20,2.13%,6.31%,7.90%,13.47%,-
DSP Banking & PSU Debt Fund - Regular Plan - GrowthBanking and PSU Fund,5,3625.98,0.03%,0.60%,1.60%,1.68%,0.82%,6.76%,9.31%,8.92%,8.10%,-,0.17%,0.76%,0.42%,-0.36%,-0.12%,0.36%,0.97%,1.41%,-0.14%,-0.65%,1.15%,1.67%,0.94%,-0.37%,2.72%,0.90%,4.27%,2.38%,2.18%,2.80%,2.23%,2.61%,2.62%,1.60%,0.60%,10.86%,10.21%,7.83%,6.96%,9.01%,9.07%,10.37%,8.83%,-,-,-,14/22,21/22,22/22,16/20,22/22,17/18,16/17,16/17,16/17,0/0,,,,,,-,-,-,96.91%,27,-,3.09%,-,286.0736,-0.01%,12-May-21,286.0944,11-May-21,266.2971,18-May-20,2.26%,6.62%,11.80%,20.78%,46.85%
LIC MF Banking & PSU Debt - Direct Plan - GrowthBanking and PSU Fund,3,2233.54,0.03%,0.53%,1.39%,1.52%,0.74%,6.32%,8.46%,8.70%,8.15%,-,0.10%,0.30%,0.34%,0.25%,0.09%,0.28%,0.35%,0.57%,0.28%,0.29%,0.60%,0.96%,0.40%,0.72%,1.23%,1.22%,3.13%,1.77%,2.11%,2.79%,1.69%,2.97%,2.97%,1.46%,1.13%,7.57%,10.06%,5.97%,6.23%,7.86%,8.44%,9.32%,8.46%,9.93%,9.33%,4.91%,14/22,20/22,22/22,16/20,22/22,18/18,16/17,16/17,16/17,5/6,,,,,,-,-,-,94.22%,47,-,5.78%,-,50.7599,-0.04%,12-May-21,50.7816,11-May-21,47.3965,18-May-20,2.10%,6.25%,7.79%,13.26%,-
UTI-Banking & PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,1,266.31,0.03%,0.48%,1.17%,1.34%,0.66%,5.60%,7.51%,4.57%,5.93%,-,0.09%,0.31%,0.35%,0.27%,0.11%,0.29%,0.36%,0.58%,0.29%,0.30%,0.60%,0.97%,0.40%,0.78%,1.26%,1.25%,3.16%,1.80%,2.15%,2.82%,1.72%,3.00%,3.00%,1.49%,1.20%,7.72%,10.15%,6.11%,6.26%,7.89%,8.47%,9.26%,8.59%,-,-,-,20/22,19/22,21/22,20/20,21/22,18/18,17/17,17/17,17/17,0/0,,,,,,-,-,-,90.18%,20,-,9.82%,-,52.0035,-0.04%,12-May-21,52.0252,11-May-21,48.3607,18-May-20,2.23%,6.45%,11.55%,19.79%,48.23%
UTI-Banking & PSU Debt Fund - GrowthBanking and PSU Fund,1,266.31,0.02%,0.47%,1.15%,1.30%,0.65%,5.55%,7.45%,4.49%,5.85%,-,0.26%,0.95%,0.44%,-0.35%,-0.25%,0.39%,1.04%,1.34%,-0.24%,-0.34%,1.20%,1.89%,1.22%,-0.55%,2.75%,1.12%,4.12%,1.96%,-,-,-,-,-,-,0.68%,10.60%,1.55%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,89.76%,133,-,10.24%,-,1015.5221,-0.01%,12-May-21,1015.5758,11-May-21,992.5161,16-Mar-21,,,,,
ITI Banking & PSU Debt Fund - Regular Plan - GrowthBanking and PSU Fund,-,33.29,0.02%,0.49%,1.75%,1.86%,0.86%,-,-,-,-,-,0.27%,0.99%,0.49%,-0.31%,-0.22%,0.43%,1.09%,1.39%,-0.20%,-0.30%,1.24%,1.94%,1.27%,-0.42%,2.89%,1.24%,4.25%,2.12%,-,-,-,-,-,-,0.86%,11.19%,1.66%,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,96.51%,193,-,3.49%,-,1014.1158,-0.01%,12-May-21,1014.1833,11-May-21,991.916,16-Mar-21,,,,,
Mirae Asset Banking and PSU Debt Fund - Regular Plan - GrowthBanking and PSU Fund,-,225.25,0.02%,0.55%,1.66%,1.73%,0.86%,-,-,-,-,-,0.23%,0.77%,0.86%,-0.26%,-0.09%,0.27%,0.69%,1.25%,-0.12%,-0.59%,0.89%,1.43%,1.00%,0.22%,2.21%,0.67%,2.71%,2.99%,2.37%,2.82%,2.21%,3.29%,3.45%,1.42%,1.24%,9.00%,11.20%,6.80%,6.34%,9.57%,7.17%,7.55%,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,91.11%,249,-,8.88%,-,1919.3388,-0.01%,12-May-21,1919.6026,11-May-21,1798.4068,19-May-20,,,,,
PGIM India Banking & PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,2,95.59,0.02%,0.87%,1.71%,2.02%,1.29%,7.26%,9.74%,9.23%,8.34%,-,0.24%,0.79%,0.89%,-0.24%,-0.07%,0.30%,0.72%,1.28%,-0.10%,-0.57%,0.91%,1.46%,1.04%,0.30%,2.29%,0.75%,2.80%,3.07%,2.44%,2.91%,2.30%,3.38%,3.54%,1.52%,1.36%,9.35%,11.49%,7.22%,6.75%,10.06%,7.79%,7.99%,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,96.38%,100,-,3.57%,0.05%,1820.6112,-0.01%,12-May-21,1820.8824,11-May-21,1713.0274,19-May-20,,,,,
LIC MF Banking & PSU Debt - GrowthBanking and PSU Fund,3,2233.54,0.02%,0.48%,1.25%,1.24%,0.67%,5.75%,7.88%,8.11%,7.50%,7.60%,0.29%,1.03%,0.72%,-0.65%,-,-,-,-,-,-,-,-,1.32%,-,-,-,-,-,-,-,-,-,-,-,1.37%,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,85.40%,20,-,14.57%,-,2113.8901,-0.03%,12-May-21,2114.545,11-May-21,1974.0863,18-May-20,,,,,
PGIM India Banking & PSU Debt Fund - GrowthBanking and PSU Fund,2,95.59,0.01%,0.82%,1.59%,1.78%,1.23%,6.76%,9.23%,8.70%,7.81%,-,0.30%,1.07%,0.76%,-0.61%,-,-,-,-,-,-,-,-,1.38%,-,-,-,-,-,-,-,-,-,-,-,1.52%,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,90.76%,23,-,9.24%,-,2074.4679,-0.03%,12-May-21,2075.1282,11-May-21,1943.1823,18-May-20,,,,,
Edelweiss Banking and PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,3,468.94,0.00%,0.28%,2.31%,1.83%,1.13%,7.87%,11.82%,10.68%,8.96%,-,0.18%,0.49%,0.57%,-0.14%,-0.15%,0.20%,0.52%,0.96%,-,-0.15%,0.92%,1.23%,0.67%,0.13%,1.68%,1.04%,3.58%,2.12%,1.85%,1.11%,-4.25%,0.24%,2.55%,1.56%,0.78%,8.81%,-1.05%,6.72%,6.38%,11.52%,8.57%,8.49%,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,91.11%,249,-,8.88%,-,2472.5893,-0.04%,12-May-21,2473.4746,11-May-21,2322.7189,18-May-20,,,,,
Edelweiss Banking and PSU Debt Fund - Regular Plan - GrowthBanking and PSU Fund,3,468.94,-0.00%,0.26%,2.23%,1.67%,1.09%,7.50%,11.44%,10.35%,8.64%,-,0.18%,0.49%,0.58%,-0.14%,-0.14%,0.21%,0.52%,0.97%,-,-0.15%,0.92%,1.24%,0.67%,0.14%,1.69%,1.04%,3.60%,2.14%,1.86%,1.13%,-4.22%,0.26%,2.57%,1.59%,0.81%,8.86%,-0.97%,6.82%,6.46%,11.61%,8.70%,8.62%,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,95.91%,21,-,4.09%,-,2577.9563,-0.03%,12-May-21,2578.8461,11-May-21,2410.5173,18-May-20,,,,,
