Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
DSP 10Y G-Sec Fund - Direct Plan - GrowthGilt Fund with 10 year constant duration,-,45.37,0.20%,0.61%,1.40%,1.82%,1.86%,4.81%,11.26%,10.68%,8.72%,-,0.48%,0.98%,0.91%,-1.41%,-0.05%,0.43%,0.54%,1.65%,-0.04%,-1.30%,0.90%,0.71%,1.33%,-1.78%,2.86%,0.16%,5.15%,3.49%,1.37%,3.36%,5.86%,2.82%,7.29%,1.94%,0.22%,13.10%,13.12%,9.61%,2.39%,16.18%,6.97%,7.19%,-,-,-,-,2/4,1/4,2/4,2/4,2/4,1/4,1/4,2/4,2/4,0/0,4.48,0.88,1.69,2.57,0.09,-,-,-,97.68%,5,-,2.32%,-,18.0238,0.03%,12-May-21,18.0457,06-May-21,17.1522,24-Aug-20,2.54%,8.45%,15.56%,24.24%,-
DSP 10Y G-Sec Fund - Regular Plan - GrowthGilt Fund with 10 year constant duration,-,45.37,0.20%,0.59%,1.34%,1.71%,1.83%,4.59%,11.02%,10.43%,8.47%,-,0.48%,0.99%,0.92%,-1.40%,-0.03%,0.44%,0.56%,1.66%,-0.02%,-1.29%,0.92%,0.72%,1.35%,-1.75%,2.90%,0.19%,5.19%,3.52%,1.41%,3.39%,5.89%,2.85%,7.32%,1.97%,0.28%,13.28%,13.35%,9.83%,2.57%,16.54%,7.32%,7.29%,-,-,-,-,2/4,1/4,2/4,2/4,2/4,1/4,1/4,2/4,2/4,0/0,4.46,1.16,1.83,2.94,0.07,-,-,-,97.50%,1,-,2.50%,-,17.7442,0.02%,12-May-21,17.7663,06-May-21,16.9109,24-Aug-20,2.43%,8.21%,15.17%,23.51%,-
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - GrowthGilt Fund with 10 year constant duration,-,323.22,0.06%,0.87%,1.32%,1.05%,1.51%,5.89%,12.13%,11.92%,10.06%,-,0.28%,1.05%,0.85%,-1.60%,-0.30%,0.56%,0.59%,1.73%,-0.03%,-1.90%,0.98%,0.96%,1.68%,-0.66%,1.99%,0.05%,5.07%,3.36%,1.25%,3.10%,4.63%,1.36%,5.75%,1.08%,-0.47%,12.60%,14.80%,11.66%,6.24%,9.93%,9.06%,12.73%,10.39%,8.57%,1.89%,3.48%,3/4,4/4,3/4,4/4,4/4,2/4,2/4,1/4,1/4,2/2,4.45,1.18,1.47,1.24,0.06,-,-,-,97.67%,7,-,2.33%,-,36.182,0%,12-May-21,36.4828,05-Jan-21,34.5512,18-May-20,2.34%,8.93%,17.12%,28.56%,-
ICICI Prudential Constant Maturity Gilt Fund - GrowthGilt Fund with 10 year constant duration,-,323.22,0.06%,0.85%,1.28%,0.97%,1.49%,5.72%,11.93%,11.71%,9.85%,-,0.28%,1.06%,0.86%,-1.59%,-0.29%,0.57%,0.60%,1.74%,-0.02%,-1.89%,0.99%,0.97%,1.70%,-0.61%,2.04%,0.10%,5.12%,3.40%,1.32%,3.16%,4.70%,1.41%,5.82%,1.14%,-0.42%,12.75%,15.02%,11.74%,6.36%,10.10%,9.21%,12.82%,10.40%,-,-,-,3/4,4/4,4/4,4/4,4/4,2/4,2/4,1/4,1/4,0/0,4.73,0.94,1.36,1.05,0.07,-,-,-,97.68%,5,-,2.32%,-,35.8521,0%,12-May-21,36.1665,05-Jan-21,34.2804,18-May-20,2.42%,9.08%,17.22%,28.34%,-
IDFC G Sec Fund - Constant Maturity Plan - Direct Plan - GrowthGilt Fund with 10 year constant duration,-,303.33,0.05%,0.56%,1.04%,0.52%,1.36%,4.90%,11.78%,12.39%,10.33%,-,0.31%,1.09%,0.78%,-1.55%,-0.26%,0.56%,0.57%,1.48%,-0.21%,-1.47%,0.76%,0.67%,1.46%,-1.25%,2.65%,0.78%,5.33%,3.47%,1.33%,3.61%,5.40%,1.65%,6.35%,1.44%,-0.40%,11.13%,12.38%,9.86%,6.24%,12.66%,9.07%,12.66%,8.60%,9.19%,8.36%,4.99%,4/4,2/4,3/4,3/4,3/4,3/4,4/4,3/4,3/4,0/0,,,,,,-,-,-,97.50%,1,-,2.50%,-,51.0648,-0.01%,12-May-21,51.3822,05-Jan-21,48.7853,18-May-20,1.97%,7.77%,15.24%,27.38%,-
IDFC G Sec Fund - Constant Maturity Plan - Regular Plan - GrowthGilt Fund with 10 year constant duration,-,303.33,0.05%,0.55%,1.00%,0.45%,1.34%,4.76%,11.64%,12.25%,10.20%,9.57%,0.32%,1.12%,0.81%,-1.53%,-0.24%,0.58%,0.59%,1.51%,-0.19%,-1.44%,0.78%,0.70%,1.48%,-1.21%,2.69%,0.83%,5.37%,3.51%,1.38%,3.67%,5.46%,1.71%,6.41%,1.49%,-0.29%,11.47%,12.71%,10.26%,6.54%,13.14%,9.41%,12.97%,8.72%,-,-,-,1/4,3/4,1/4,1/4,1/4,3/4,3/4,4/4,4/4,0/0,,,,,,-,-,-,98.41%,5,-,1.59%,-,49.7621,-0.02%,12-May-21,50.1251,05-Jan-21,47.6845,18-May-20,1.93%,8.49%,17.40%,30.76%,-
SBI Magnum Constant Maturity Fund - Direct Plan - GrowthGilt Fund with 10 year constant duration,-,821.85,0.04%,0.63%,1.06%,0.71%,1.45%,4.84%,10.78%,10.80%,9.95%,-,0.36%,1.31%,0.79%,-0.73%,0.23%,0.67%,0.18%,1.19%,-0.08%,-1.61%,0.53%,0.66%,1.41%,-1.79%,2.56%,0.35%,4.21%,3.16%,1.06%,3.23%,5.42%,1.56%,5.95%,1.05%,1.16%,11.13%,11.15%,5.72%,2.33%,15.42%,6.82%,6.30%,-,-,-,-,1/4,3/4,1/4,1/4,1/4,4/4,3/4,4/4,4/4,0/0,,,,,,-,-,-,98.41%,5,-,1.59%,-,19.1901,-0.05%,12-May-21,19.2484,05-Jan-21,18.1924,18-May-20,1.86%,8.33%,17.15%,30.33%,70.20%
SBI Magnum Constant Maturity Fund - Regular Plan - GrowthGilt Fund with 10 year constant duration,-,821.85,0.03%,0.60%,0.98%,0.55%,1.41%,4.52%,10.44%,10.45%,9.59%,9.72%,0.37%,1.33%,0.80%,-0.71%,0.24%,0.69%,0.20%,1.20%,-0.06%,-1.60%,0.55%,0.67%,1.44%,-1.72%,2.64%,0.42%,4.29%,3.24%,1.13%,3.12%,5.50%,1.63%,6.05%,1.14%,1.24%,11.34%,11.42%,5.97%,2.59%,15.71%,7.09%,6.37%,-,-,-,-,4/4,2/4,4/4,3/4,3/4,4/4,4/4,3/4,3/4,1/2,,,,,,-,-,-,97.67%,7,-,2.33%,-,19.4904,-0.05%,12-May-21,19.5388,05-Jan-21,18.448,18-May-20,1.80%,7.42%,14.67%,26.28%,65.26%
