Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Invesco India Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,3,3173.86,0.06%,0.73%,1.77%,1.95%,0.97%,8.14%,9.58%,9.27%,8.25%,-,0.27%,0.94%,0.57%,0.06%,-0.08%,0.27%,0.84%,1.27%,0.23%,-0.06%,1.09%,1.42%,1.32%,-0.63%,1.98%,-,-,-,-,-,-,-,-,-,0.67%,2.02%,-,-,-,-,-,-,-,-,-,-,13/22,8/22,11/21,12/21,12/22,10/20,6/19,5/15,9/14,9/11,,,,,,-,-,-,95.33%,60,-,4.63%,0.04%,12.2517,0.01%,12-May-21,12.2517,12-May-21,11.3767,18-May-20,3.14%,8.43%,13.79%,22.84%,54.04%
UTI Corporate Bond Fund - Direct Plan - Growth OptionCorporate Bond Fund,2,3414.97,0.06%,0.68%,1.69%,1.85%,0.95%,8.04%,10.32%,-,-,-,0.19%,0.55%,0.56%,-0.55%,0.01%,0.31%,0.74%,1.25%,-0.01%,-0.10%,1.27%,1.48%,1.37%,-0.53%,2.08%,-,-,-,-,-,-,-,-,-,0.83%,2.12%,-,-,-,-,-,-,-,-,-,-,18/22,4/22,8/21,6/21,3/22,11/20,11/19,13/15,12/14,10/11,,,,,,-,-,-,95.33%,60,-,4.63%,0.04%,12.1368,0.01%,12-May-21,12.1368,12-May-21,11.2971,18-May-20,2.82%,7.96%,-,-,-
HSBC Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,-,344.99,0.06%,0.86%,1.93%,1.90%,1.36%,-,-,-,-,-,0.21%,0.61%,0.63%,-0.49%,0.05%,0.35%,0.77%,1.29%,0.02%,-0.07%,1.34%,1.52%,0.35%,0.73%,1.25%,-5.63%,3.59%,3.33%,1.46%,1.48%,-12.60%,4.31%,2.25%,0.78%,1.10%,2.10%,-5.95%,4.44%,7.10%,8.78%,8.27%,4.25%,-,-,-,-,9/22,10/22,3/21,9/21,11/22,11/20,3/19,2/15,3/14,0/0,,,,,,-,-,-,85.34%,18,-,14.66%,-,10.3079,0.01%,12-May-21,10.3079,12-May-21,10.0,29-Sep-20,3.01%,8.12%,13.67%,22.56%,-
BNP Paribas Corporate Bond Fund - GrowthCorporate Bond Fund,2,24.5,0.06%,0.53%,1.13%,1.02%,0.73%,6.84%,4.49%,5.06%,6.08%,7.39%,-,-,-,-,-,-,-,-,-,-0.52%,-14.71%,-,0.40%,0.83%,1.36%,-5.54%,3.70%,3.44%,1.56%,1.58%,-12.49%,4.47%,2.43%,0.94%,1.24%,2.55%,-5.51%,5.05%,7.63%,9.34%,8.74%,4.36%,-,-,-,-,2/22,16/22,12/21,10/21,16/22,12/20,13/19,8/15,6/14,5/11,,,,,,-,-,-,97.03%,181,-,2.97%,-,10.2814,0.01%,12-May-21,10.2814,12-May-21,10.0,29-Sep-20,2.80%,8.28%,-,-,-
Edelweiss Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,1,4.18,0.06%,0.28%,0.75%,1.76%,0.37%,-0.72%,-2.95%,0.25%,2.83%,-,-,-,-,-,-,-,-,-,-,-0.52%,-14.71%,-,0.83%,0.50%,2.67%,1.72%,2.46%,1.62%,2.56%,1.51%,1.99%,2.81%,3.59%,1.16%,1.33%,8.91%,9.25%,7.37%,7.67%,8.90%,8.38%,12.94%,7.24%,11.98%,9.86%,4.68%,2/22,16/22,13/21,10/21,16/22,12/20,14/19,11/15,6/14,0/0,,,,,,-,-,-,97.03%,181,-,2.97%,-,200.1834,-,12-May-21,235.9394,19-May-20,200.1834,26-Aug-20,2.99%,7.73%,12.86%,22.36%,54.03%
UTI Corporate Bond Fund - Regular Plan - Growth OptionCorporate Bond Fund,2,3414.97,0.05%,0.66%,1.62%,1.71%,0.92%,7.74%,10.01%,-,-,-,0.32%,1.04%,0.66%,-0.51%,-0.37%,0.45%,0.85%,0.80%,-,-,-,-,0.92%,0.11%,2.01%,1.64%,4.05%,1.86%,2.06%,3.33%,1.77%,3.38%,2.73%,0.82%,1.03%,10.03%,11.02%,3.96%,1.84%,14.00%,5.37%,9.96%,5.23%,10.46%,9.19%,6.12%,7/22,3/22,9/21,18/21,5/22,13/20,17/19,0/0,0/0,0/0,,,,,,-,-,-,86.85%,11,-,13.15%,-,192.0252,-,12-May-21,226.3239,19-May-20,192.0252,26-Aug-20,2.79%,7.79%,13.41%,20.44%,47.44%
Invesco India Corporate Bond Fund - GrowthCorporate Bond Fund,3,3173.86,0.05%,0.69%,1.67%,1.75%,0.92%,7.71%,9.14%,8.76%,7.65%,7.88%,0.31%,1.01%,0.62%,-0.54%,-0.40%,0.42%,0.82%,0.77%,-,-,-,-,0.97%,0.21%,2.11%,1.74%,4.16%,1.96%,2.16%,3.43%,1.87%,3.50%,2.90%,1.00%,1.18%,10.47%,11.51%,4.72%,2.53%,14.89%,6.58%,10.49%,5.77%,-,-,-,8/22,3/22,6/21,17/21,5/22,13/20,17/19,0/0,0/0,0/0,,,,,,-,-,-,90.61%,44,-,9.39%,-,18.2585,-0%,12-May-21,18.2591,11-May-21,17.0535,18-May-20,2.90%,8.39%,-,-,-
Canara Robeco Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,2,313.65,0.05%,0.59%,1.53%,1.54%,0.90%,6.54%,8.27%,8.03%,7.36%,-,0.29%,0.86%,0.79%,-0.45%,-0.41%,0.29%,0.96%,1.51%,-0.27%,-0.25%,1.33%,1.94%,0.90%,-,-,-,-,-,-,-,-,-,-,-,1.30%,-,-,-,-,-,-,-,-,-,-,-,16/22,19/22,18/21,14/21,20/22,14/20,9/19,0/0,0/0,0/0,,,,,,-,-,-,97.39%,170,-,2.61%,-,47.3649,-0%,12-May-21,47.3656,11-May-21,43.7567,18-May-20,2.70%,7.66%,-,-,-
PGIM India Premier Bond Fund - Direct Plan - GrowthCorporate Bond Fund,3,69.23,0.05%,0.83%,1.87%,2.40%,1.21%,8.40%,9.60%,8.71%,8.02%,-,0.28%,0.83%,0.78%,-0.46%,-0.42%,0.27%,0.93%,1.49%,-0.30%,-0.29%,1.32%,1.91%,0.96%,-,-,-,-,-,-,-,-,-,-,-,1.38%,-,-,-,-,-,-,-,-,-,-,-,10/22,17/22,18/21,19/21,18/22,14/20,18/19,14/15,13/14,0/0,,,,,,-,-,-,90.61%,44,-,9.39%,-,13.8274,-0.01%,12-May-21,14.3617,14-Jul-20,13.3121,21-Jul-20,2.64%,7.68%,-,-,-
HSBC Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,-,344.99,0.05%,0.83%,1.82%,1.68%,1.31%,-,-,-,-,-,0.08%,0.41%,0.46%,0.27%,-0.07%,0.18%,0.62%,0.70%,0.22%,0.31%,0.74%,1.59%,-,-,-,-,-,-,-,-,-,-,-,-,1.23%,10.36%,9.86%,-,-,-,-,-,-,-,-6.15%,5.31%,21/22,20/22,7/21,19/21,4/22,15/20,1/19,1/15,5/14,7/11,,,,,,-,-,-,93.62%,48,-,6.38%,-,17.4986,-0.01%,12-May-21,17.4995,11-May-21,16.4473,18-May-20,2.82%,9.29%,16.55%,25.91%,-
