Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
UTI Regular Saving Fund (Segregated - 17022020) - Regular Plan - GrowthConservative Hybrid Fund,-,42.97,0.22%,0.95%,2.78%,-20.44%,1.45%,-16.82%,-,-,-,-,0.31%,1.23%,0.41%,1.15%,-0.55%,1.76%,2.91%,1.17%,-0.16%,1.14%,2.10%,2.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.67%,-0.94%,17.01%,14.05%,6.19%,28.43%,5.99%,-,-,-,18/23,18/23,14/22,9/22,17/23,5/22,17/21,16/21,13/21,8/20,5.68,1.03,0.19,-5.68,0.01,-,24.03%,35,64.83%,27,-,11.14%,-,51.7138,0.38%,17-May-21,51.7138,17-May-21,43.8273,20-May-20,8.12%,15.29%,21.68%,31.64%,-
UTI Regular Saving Fund (Segregated - 17022020) - Direct Plan - GrowthConservative Hybrid Fund,-,42.97,0.22%,0.96%,2.78%,-20.24%,1.46%,-16.62%,-,-,-,-,0.26%,1.12%,0.30%,1.06%,-0.65%,1.66%,2.81%,1.08%,-0.25%,1.04%,2.01%,2.36%,-,-,-,-,-,-,-,-,-,-,-,2.04%,-,-,-,-,-,-,-,-,-,-,-,-,19/23,18/23,14/22,11/22,17/23,5/22,17/21,18/21,16/21,0/0,5.07,1.03,1.26,-0.46,0.06,-,24.03%,35,64.83%,27,-,11.14%,-,67.6457,0.29%,17-May-21,68.0026,13-Jan-21,60.4375,20-May-20,7.91%,11.71%,15.68%,22.75%,-
Nippon India Hybrid Bond Fund - Direct Plan - GrowthConservative Hybrid Fund,1,780.4,0.18%,1.26%,2.29%,5.94%,1.55%,14.07%,-0.74%,1.46%,4.33%,-,0.42%,0.65%,0.39%,0.48%,-0.77%,1.54%,2.18%,1.02%,-0.14%,0.32%,1.14%,2.10%,0.68%,-0.61%,4.94%,2.13%,4.64%,0.34%,1.69%,1.00%,5.54%,2.00%,4.69%,0.25%,0.07%,13.19%,10.88%,3.86%,7.07%,8.79%,5.83%,15.88%,5.91%,12.32%,-0.72%,7.45%,12/23,13/23,3/22,5/22,4/23,6/22,8/21,17/21,13/21,0/0,4.44,0.9,0.75,-2.58,0.04,-,23.99%,46,72.26%,26,-,3.09%,0.66%,38.019,0.5%,17-May-21,38.019,17-May-21,32.9832,20-May-20,7.53%,11.37%,15.25%,26.95%,-
Nippon India Hybrid Bond Fund - GrowthConservative Hybrid Fund,1,780.4,0.17%,1.21%,2.13%,5.61%,1.47%,13.37%,-1.40%,0.71%,3.50%,6.64%,0.44%,0.70%,0.44%,0.52%,-0.73%,1.59%,2.23%,1.06%,-0.10%,0.37%,1.19%,2.14%,0.79%,-0.39%,5.18%,2.36%,4.85%,0.52%,1.90%,1.24%,5.74%,2.19%,4.89%,0.43%,0.39%,14.13%,11.79%,4.87%,7.96%,9.58%,6.96%,16.87%,6.51%,-,-,-,21/23,12/23,11/22,10/22,11/23,6/22,14/21,13/21,15/21,13/20,6.08,1.1,0.34,-5.17,0.02,-,23.99%,46,72.26%,26,-,3.09%,0.66%,49.288,0.38%,17-May-21,49.3027,10-May-21,40.2492,20-May-20,7.53%,13.14%,15.28%,21.43%,51.18%
Navi Regular Savings Fund - Direct Plan - GrowthConservative Hybrid Fund,-,31.53,0.16%,0.55%,-0.87%,3.79%,-0.05%,12.97%,7.24%,7.10%,7.70%,-,0.49%,0.86%,1.20%,0.55%,-0.40%,0.79%,3.22%,1.09%,0.34%,0.29%,1.72%,2.71%,1.54%,1.81%,6.10%,3.62%,7.11%,-3.11%,3.35%,1.90%,2.43%,3.48%,2.98%,0.57%,3.38%,14.91%,11.77%,4.36%,10.21%,6.97%,7.02%,20.64%,6.75%,-,-,-,21/23,11/23,10/22,9/22,11/23,7/22,14/21,13/21,11/21,0/0,6.58,1.04,0.03,-6.72,0.0,-,23.41%,30,66.52%,9,-,10.07%,-,39.4685,0.47%,17-May-21,39.4685,17-May-21,32.0246,20-May-20,7.50%,13.10%,18.31%,29.23%,-
Franklin India Debt Hybrid Fund - Direct - GrowthConservative Hybrid Fund,3,188.82,0.13%,1.56%,1.44%,5.98%,1.53%,18.23%,9.40%,8.25%,8.06%,-,0.57%,1.00%,1.34%,0.67%,-0.27%,0.93%,3.36%,1.22%,0.47%,0.43%,1.85%,2.85%,1.38%,1.48%,5.79%,3.33%,6.87%,-3.37%,3.07%,1.64%,2.23%,3.21%,2.69%,0.35%,2.88%,13.68%,10.66%,3.30%,8.95%,5.78%,5.80%,19.54%,6.08%,12.24%,3.44%,8.89%,15/23,7/23,8/22,8/22,8/23,7/22,2/21,1/21,3/21,6/20,4.36,0.92,0.8,-2.63,0.04,-,23.41%,30,66.52%,9,-,10.07%,-,63.4234,0.28%,17-May-21,63.9265,13-Jan-21,57.1669,20-May-20,7.46%,10.78%,14.27%,20.30%,53.83%
Navi Regular Savings Fund - GrowthConservative Hybrid Fund,1,31.53,0.12%,0.39%,-1.33%,2.85%,-0.29%,10.91%,5.67%,5.38%,5.95%,7.35%,1.70%,0.65%,0.34%,1.38%,0.04%,2.64%,4.33%,1.51%,-1.57%,1.55%,2.38%,2.80%,1.07%,0.93%,5.02%,1.90%,5.88%,-4.78%,1.76%,1.43%,2.44%,2.50%,2.67%,0.70%,2.02%,8.49%,8.46%,2.48%,8.53%,7.92%,4.16%,18.58%,1.74%,11.81%,1.39%,5.53%,14/23,7/23,7/22,6/22,6/23,8/22,2/21,1/21,3/21,0/0,4.89,0.99,1.15,-0.87,0.06,-,23.38%,56,69.06%,39,-,7.56%,-,46.684,0.38%,17-May-21,46.7033,10-May-21,38.3627,20-May-20,7.41%,11.54%,13.70%,17.15%,45.66%
BNP Paribas Conservative Hybrid Fund - Direct Plan - GrowthConservative Hybrid Fund,4,320.14,0.12%,1.54%,0.52%,5.19%,1.20%,15.32%,10.14%,9.10%,9.64%,-,1.72%,0.68%,0.37%,1.40%,0.07%,2.68%,4.36%,1.54%,-1.53%,1.58%,2.41%,2.83%,1.15%,1.08%,5.15%,2.04%,6.01%,-4.66%,1.89%,1.59%,2.59%,2.71%,2.85%,0.88%,2.24%,9.05%,9.15%,3.22%,9.32%,8.66%,4.88%,19.38%,2.46%,-,-,-,12/23,14/23,4/22,7/22,9/23,8/22,9/21,18/21,17/21,14/20,4.24,0.77,0.42,-3.33,0.02,-,23.38%,56,69.06%,39,-,7.56%,-,49.972,0.34%,17-May-21,50.057,28-Apr-21,38.5427,20-May-20,7.37%,13.85%,19.50%,27.82%,60.87%
Franklin India Debt Hybrid Fund - GrowthConservative Hybrid Fund,3,188.82,0.12%,1.50%,1.27%,5.60%,1.45%,17.31%,8.54%,7.44%,7.26%,8.86%,0.66%,0.47%,0.18%,-0.48%,-0.79%,2.13%,2.92%,1.49%,-0.60%,-0.16%,1.62%,2.15%,1.36%,1.73%,5.41%,3.03%,7.55%,-6.95%,2.26%,0.66%,1.08%,2.71%,-0.42%,-2.92%,3.11%,9.16%,6.73%,-5.23%,10.97%,10.44%,4.72%,18.51%,4.73%,15.25%,2.48%,5.23%,4/23,11/23,13/22,11/22,12/23,9/22,6/21,4/21,1/21,1/20,,,,,,-,23.33%,31,37.71%,30,-,38.96%,-,33.2854,0.49%,17-May-21,33.3026,15-Feb-21,29.3172,20-May-20,7.03%,3.81%,2.67%,5.82%,-
BNP Paribas Conservative Hybrid Fund - GrowthConservative Hybrid Fund,4,320.14,0.09%,1.40%,0.11%,4.38%,0.98%,13.58%,8.45%,7.32%,7.57%,8.59%,0.74%,0.60%,0.31%,-0.37%,-0.66%,2.27%,3.06%,1.63%,-0.46%,-0.01%,1.77%,2.30%,1.58%,2.16%,5.86%,3.45%,7.98%,-6.58%,2.67%,1.06%,1.48%,3.22%,-0.03%,-2.51%,3.77%,10.95%,8.55%,-4.02%,11.81%,11.24%,5.39%,19.17%,5.16%,-,-,-,4/23,10/23,13/22,12/22,12/23,9/22,6/21,4/21,2/21,0/0,,,,,,-,23.33%,31,37.71%,30,-,38.96%,-,46.4543,0.34%,17-May-21,46.5526,28-Apr-21,36.1371,20-May-20,6.98%,12.16%,16.92%,26.65%,69.68%
