Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
ITI Multi Cap Fund - Direct Plan - GrowthMulti Cap Fund,-,217.86,2.59%,1.56%,5.26%,30.14%,16.97%,59.99%,-,-,-,-,1.05%,-2.59%,-0.13%,2.83%,-1.56%,4.26%,7.02%,-0.49%,0.04%,-0.37%,4.69%,1.63%,8.56%,12.50%,19.86%,6.58%,16.67%,-27.52%,3.16%,-5.85%,-3.31%,-2.78%,1.17%,-6.93%,24.42%,7.90%,-9.14%,-13.43%,-,-,-,-,-,-,-,-,2/27,2/27,2/27,2/27,2/27,6/27,17/25,17/18,0/0,0/0,Multi Cap Fund,18.36,0.61,0.08,-4.28,0.02,108.00%,99.22%,65.0,-,-,-,0.78%,-,72.61,0.81%,10-May-21,72.61,10-May-21,42.41,18-May-20,33.23%,30.81%,29.34%,36.34%,-
ITI Multi Cap Fund - Regular Plan - GrowthMulti Cap Fund,-,217.86,2.54%,1.38%,4.72%,28.77%,16.08%,56.61%,-,-,-,-,1.07%,-2.51%,-0.04%,2.90%,-1.48%,4.36%,7.11%,-0.41%,0.13%,-0.28%,4.78%,1.72%,8.52%,12.50%,19.89%,6.56%,16.99%,-27.31%,3.35%,-5.63%,-3.15%,-2.40%,1.63%,-6.59%,24.43%,8.60%,-8.35%,-12.42%,-,-,-,-,-,-,-,-,2/28,2/28,2/28,2/28,2/28,7/28,17/26,18/19,0/0,0/0,Multi Cap Fund,20.31,0.57,0.11,-3.03,0.04,108.00%,99.22%,65.0,-,-,-,0.78%,-,70.487,0.74%,10-May-21,70.487,10-May-21,41.907,18-May-20,32.72%,29.89%,28.02%,33.87%,89.44%
Nippon India Capital Builder Fund IV - Series B - Direct Plan - GrowthMulti Cap Fund,-,35.09,2.40%,2.65%,5.80%,26.45%,13.46%,71.08%,12.32%,4.17%,-,-,3.26%,1.30%,0.17%,7.28%,-1.41%,5.85%,10.89%,0.92%,-1.67%,3.74%,4.33%,4.86%,2.45%,8.23%,22.68%,9.49%,18.00%,-23.34%,5.34%,-3.50%,1.26%,6.43%,-0.37%,-3.74%,-,-,-,-,-,-,-,-,-,-,-,-,5/27,5/27,3/27,6/27,3/27,7/27,4/25,2/18,0/0,0/0,Multi Cap Fund,20.35,0.94,0.23,-3.18,0.05,-,98.96%,73.0,-,-,-,0.55%,0.49%,64.45,0.81%,10-May-21,64.47,16-Feb-21,38.14,18-May-20,30.84%,43.84%,-,-,-
Nippon India Capital Builder Fund IV - Series B - GrowthMulti Cap Fund,-,35.09,2.38%,2.58%,5.60%,26.07%,13.15%,70.32%,11.79%,3.36%,-,-,3.31%,1.44%,0.32%,7.41%,-1.29%,6.00%,11.04%,1.06%,-1.53%,3.90%,4.48%,5.01%,2.53%,8.47%,22.93%,9.69%,18.18%,-23.17%,5.57%,-3.32%,1.41%,6.66%,-0.06%,-3.49%,-,-,-,-,-,-,-,-,-,-,-,-,5/28,5/28,4/28,6/28,3/28,8/28,5/26,3/19,0/0,0/0,Multi Cap Fund,19.68,0.74,0.64,5.94,0.17,-,98.96%,73.0,-,-,-,0.55%,0.49%,62.488,0.73%,10-May-21,62.488,10-May-21,37.672,18-May-20,30.70%,43.53%,-,-,-
SBI Equity Opportunities Fund – Series IV - Direct Plan - GrowthMulti Cap Fund,-,22.46,2.14%,3.01%,4.94%,28.78%,16.38%,70.16%,19.52%,9.54%,15.88%,-,1.61%,0.52%,0.76%,7.82%,-1.89%,6.44%,8.21%,1.91%,0.12%,1.98%,4.37%,3.01%,2.63%,6.71%,16.17%,4.43%,-6.34%,5.89%,1.61%,5.48%,0.36%,3.39%,4.53%,-2.25%,12.56%,18.50%,9.24%,-11.53%,36.80%,1.94%,-1.68%,46.29%,2.65%,25.68%,-30.03%,14.19%,7/27,7/27,5/27,16/27,11/27,8/27,21/25,16/18,0/0,0/0,Multi Cap Fund,20.01,0.89,0.57,3.33,0.13,-,98.90%,55.0,-,-,-,1.10%,-,17.7504,1.19%,10-May-21,17.7504,10-May-21,9.7358,18-May-20,30.66%,35.60%,37.79%,49.39%,-
DSP A.C.E. Fund - Series 2 - Direct Plan - GrowthMulti Cap Fund,-,108.82,2.13%,2.44%,4.45%,23.07%,11.81%,34.83%,22.77%,14.38%,-,-,2.93%,-1.32%,0.19%,6.59%,-0.32%,6.40%,8.19%,1.86%,0.09%,1.95%,4.61%,2.97%,2.71%,6.88%,16.35%,4.59%,-6.20%,6.04%,1.79%,5.69%,0.56%,3.83%,4.83%,-2.01%,12.89%,19.65%,10.10%,-10.60%,38.24%,2.59%,-1.08%,47.46%,3.28%,-,-,-,28/28,28/28,12/28,8/28,10/28,9/28,2/26,4/19,0/0,0/0,Multi Cap Fund,20.31,0.66,0.38,0.8,0.12,-,98.90%,55.0,-,-,-,1.10%,-,10.65,1.97%,10-May-21,10.65,10-May-21,5.92,19-May-20,30.46%,46.76%,54.41%,-,-
SBI Equity Opportunities Fund – Series IV - Regular Plan - GrowthMulti Cap Fund,-,22.46,2.13%,2.97%,4.84%,28.43%,16.19%,69.05%,18.72%,8.72%,14.78%,-,1.86%,-0.69%,-0.34%,2.96%,-1.60%,6.45%,8.82%,1.82%,0.10%,2.24%,-0.11%,1.25%,0.34%,12.32%,20.55%,14.27%,12.70%,-15.99%,4.75%,4.96%,3.27%,1.18%,1.07%,-8.35%,11.04%,20.43%,11.24%,-3.86%,-,-,-,-,-,-,-,-,27/27,27/27,11/27,8/27,10/27,9/27,3/25,4/18,0/0,0/0,Multi Cap Fund,19.91,0.83,0.27,1.21,0.06,-,98.51%,39.0,-,-,-,1.49%,-,10.95,1.92%,10-May-21,10.95,10-May-21,6.06,19-May-20,30.35%,46.50%,53.81%,-,-
DSP A.C.E. Fund - Series 2 - GrowthMulti Cap Fund,-,108.82,2.11%,2.38%,4.29%,22.68%,11.55%,33.97%,21.95%,13.42%,-,-,1.84%,-0.77%,-0.41%,2.91%,-1.65%,6.40%,8.80%,1.80%,0.08%,2.23%,-0.16%,1.23%,0.36%,12.35%,20.60%,14.32%,12.75%,-15.97%,4.81%,5.03%,3.34%,1.33%,1.32%,-8.12%,10.75%,21.19%,12.36%,-3.03%,-,-,-,-,-,-,-,-,8/27,6/27,10/27,10/27,8/27,10/27,14/25,11/18,2/8,0/0,Multi Cap Fund,19.64,0.94,0.55,3.82,0.12,-,98.51%,39.0,-,-,-,1.49%,-,13.6204,1.52%,10-May-21,13.7215,03-Mar-21,7.1756,18-May-20,30.32%,28.16%,20.86%,-,-
HDFC Equity Opportunities Fund - Series II - 1126D May - Direct Plan - GrowthMulti Cap Fund,-,73.63,2.03%,0.59%,-0.69%,18.72%,7.62%,44.79%,6.89%,4.99%,-,-,2.21%,-1.32%,-0.12%,2.23%,-1.76%,-,-,-,-,-,-,-,14.61%,11.95%,18.88%,21.64%,34.75%,-25.66%,5.16%,-4.85%,0.42%,2.32%,1.32%,0.30%,13.45%,33.44%,14.84%,-13.53%,-,-,-,-,-,-,-,-,7/28,7/28,5/28,16/28,12/28,10/28,22/26,17/19,0/0,0/0,Multi Cap Fund,20.56,0.89,0.35,-1.04,0.08,-,98.22%,32.0,-,-,-,1.68%,-,13.2524,1.51%,10-May-21,13.3684,03-Mar-21,7.0305,18-May-20,30.20%,34.67%,36.31%,46.15%,-
HDFC Equity Opportunities Fund - Series II - 1126D May - Direct Plan - GrowthMulti Cap Fund,-,69.99,2.03%,0.59%,-0.69%,18.72%,7.62%,44.79%,6.89%,4.99%,-,-,2.19%,-1.33%,-0.14%,2.21%,-1.80%,-,-,-,-,-,-,-,14.81%,12.53%,19.48%,22.19%,34.78%,-25.68%,5.20%,-4.35%,0.57%,2.47%,1.47%,0.46%,13.50%,33.65%,15.25%,-12.78%,-,-,-,-,-,-,-,-,9/28,6/28,10/28,11/28,7/28,11/28,14/26,11/19,3/9,0/0,Multi Cap Fund,22.83,0.96,0.22,-3.85,0.05,-,98.22%,32.0,-,-,-,1.68%,-,16.3779,1.18%,10-May-21,16.3779,10-May-21,9.1368,18-May-20,30.06%,27.50%,19.74%,-,-
