Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan
Kotak India Growth Fund - Series V - Direct Plan,0,544.46,0.53,-0.32,2.95,27.46,11.93,83.93,26.17,0.0,0.0,0.0,1.94,-0.66,-0.68,6.15,-2.34,4.65,11.31,0.48,-0.75,3.28,6.1,5.17,1.75,5.69,19.23,7.38,23.24,-25.65,9.2,2.34,0.02,5.2,1.98,0.0,8.57,16.22,17.2,-3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/27,9/27,12/27,19/27,18/27,26/27,7/25,5/18,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,87.95,38.0,10.5,3,0.0,1.49,0.0,13.25,0.42,10-May-21,13.73,03-Mar-21,9.87,19-May-20,19.36,17.37,16.76,0.0,0.0,Direct
Kotak India Growth Fund - Series V,0,544.46,0.53,-0.33,2.91,27.36,11.85,83.59,25.93,0.0,0.0,0.0,1.99,-0.53,-0.59,6.25,-2.23,4.82,11.49,0.64,-0.59,3.45,6.28,5.34,1.81,5.83,19.4,7.54,23.41,-25.55,9.35,2.48,0.16,5.4,2.19,0.0,8.79,16.88,17.87,-3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/28,9/28,13/28,19/28,19/28,27/28,7/26,5/19,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,87.95,38.0,10.5,3,0.0,1.49,0.0,12.87,0.42,10-May-21,13.37,15-Feb-21,9.69,19-May-20,18.94,16.77,15.78,0.0,0.0,Regular
Kotak India Growth Fund - Series IV - Direct Plan,0,71.56,1.83,2.31,3.19,34.26,15.19,91.9,32.22,16.85,0.0,0.0,4.38,0.32,-0.44,5.02,-1.31,4.67,13.46,-2.68,-2.23,4.84,3.18,3.27,-0.06,10.5,18.77,20.7,29.65,-31.97,10.44,-1.01,-2.19,3.69,-0.32,-3.31,13.27,43.38,4.7,-8.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/28,3/28,3/28,4/28,4/28,17/28,24/26,19/19,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.89,40.0,0.0,-,0.0,5.11,0.0,9.66,0.93,10-May-21,9.66,10-May-21,5.39,19-May-20,26.19,30.32,33.21,40.2,108.12,Direct
Kotak India Growth Fund - Series IV,0,71.56,1.81,2.23,2.33,32.82,14.11,88.95,30.59,15.5,0.0,0.0,5.97,2.45,2.56,5.25,-1.05,4.03,18.02,-3.1,-0.14,5.26,1.68,1.4,-1.57,6.57,12.23,4.67,11.68,-14.67,4.91,-1.03,1.79,5.08,-0.18,0.0,11.39,25.26,11.59,-6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20/28,16/28,23/28,23/28,21/28,18/28,6/26,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.81,33.0,0.0,-,0.0,5.19,0.0,14.51,0.59,10-May-21,14.79,03-Mar-21,8.71,18-May-20,25.56,0.0,0.0,0.0,0.0,Regular
ITI Multi Cap Fund - Regular Plan,0,217.86,2.54,1.38,4.72,28.77,16.08,56.61,0.0,0.0,0.0,0.0,1.07,-2.51,-0.04,2.9,-1.48,4.36,7.11,-0.41,0.13,-0.28,4.78,1.72,8.52,12.5,19.89,6.56,16.99,-27.31,3.35,-5.63,-3.15,-2.4,1.63,-6.59,24.43,8.6,-8.35,-12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2/28,2/28,2/28,2/28,2/28,7/28,17/26,18/19,0/0,0/0,Multi Cap Fund,20.31,0.57,0.11,-3.03,0.04,108.0,99.22,65.0,0.0,-,0.0,0.78,0.0,70.49,0.74,10-May-21,70.49,10-May-21,41.91,18-May-20,32.72,29.89,28.02,33.87,89.44,Regular
ITI Multi Cap Fund - Direct Plan,0,217.86,2.59,1.56,5.26,30.14,16.97,59.99,0.0,0.0,0.0,0.0,1.05,-2.59,-0.13,2.83,-1.56,4.26,7.02,-0.49,0.04,-0.37,4.69,1.63,8.56,12.5,19.86,6.58,16.67,-27.52,3.16,-5.85,-3.31,-2.78,1.17,-6.93,24.42,7.9,-9.14,-13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2/27,2/27,2/27,2/27,2/27,6/27,17/25,17/18,0/0,0/0,Multi Cap Fund,18.36,0.61,0.08,-4.28,0.02,108.0,99.22,65.0,0.0,-,0.0,0.78,0.0,72.61,0.81,10-May-21,72.61,10-May-21,42.41,18-May-20,33.23,30.81,29.34,36.34,0.0,Direct
IDFC Equity Opportunity - Series 6 - Direct Plan,0,217.17,1.73,1.59,1.53,22.19,9.83,61.25,24.51,0.0,0.0,0.0,2.41,0.12,0.13,5.23,-1.95,5.58,10.75,1.4,-2.11,2.95,3.03,5.93,4.6,11.95,19.56,7.21,23.63,-25.58,8.12,-1.54,2.07,4.32,1.52,-2.87,11.27,18.63,4.87,-12.31,46.15,0.14,6.69,71.67,10.17,43.88,-19.24,34.69,14/27,13/27,24/27,20/27,22/27,20/27,9/25,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.61,41.0,0.0,-,0.0,5.39,0.0,12.04,0.68,10-May-21,12.26,15-Feb-21,8.19,26-May-20,23.9,32.18,0.0,0.0,0.0,Direct
IDFC Equity Opportunity - Series 6,0,217.17,1.71,1.57,1.36,21.79,9.58,60.0,23.4,0.0,0.0,0.0,2.24,0.38,-0.49,4.06,-1.84,4.35,10.3,0.61,-1.25,1.21,3.35,2.98,1.61,9.06,23.7,6.27,23.54,-31.23,7.47,-5.3,0.93,4.74,-0.47,4.28,18.89,16.17,13.79,-9.54,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/27,17/27,9/27,9/27,7/27,21/27,0/0,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.59,31.0,0.0,-,0.0,5.41,0.0,14.67,0.56,10-May-21,15.05,04-Mar-21,7.69,18-May-20,23.61,29.85,0.0,0.0,0.0,Regular
HDFC Equity Opportunities Fund - Series II - 1126D May - Direct Plan,0,73.63,2.03,0.59,-0.69,18.72,7.62,44.79,6.89,4.99,0.0,0.0,2.21,-1.32,-0.12,2.23,-1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.61,11.95,18.88,21.64,34.75,-25.66,5.16,-4.85,0.42,2.32,1.32,0.3,13.45,33.44,14.84,-13.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/28,7/28,5/28,16/28,12/28,10/28,22/26,17/19,0/0,0/0,Multi Cap Fund,20.56,0.89,0.35,-1.04,0.08,0.0,98.22,32.0,0.0,-,0.0,1.68,0.0,13.25,1.51,10-May-21,13.37,03-Mar-21,7.03,18-May-20,30.2,34.67,36.31,46.15,0.0,Direct
HDFC Equity Opportunities Fund - Series II - 1126D May - Direct Plan,0,69.99,2.03,0.59,-0.69,18.72,7.62,44.79,6.89,4.99,0.0,0.0,2.19,-1.33,-0.14,2.21,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,12.53,19.48,22.19,34.78,-25.68,5.2,-4.35,0.57,2.47,1.47,0.46,13.5,33.65,15.25,-12.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/28,6/28,10/28,11/28,7/28,11/28,14/26,11/19,3/9,0/0,Multi Cap Fund,22.83,0.96,0.22,-3.85,0.05,0.0,98.22,32.0,0.0,-,0.0,1.68,0.0,16.38,1.18,10-May-21,16.38,10-May-21,9.14,18-May-20,30.06,27.5,19.74,0.0,0.0,Direct
HDFC Equity Opportunities Fund - Series II - 1126D May,0,73.63,2.01,0.58,-0.76,18.51,7.49,44.61,6.53,4.33,0.0,0.0,2.27,0.2,-0.67,2.66,-1.85,5.93,7.53,1.6,1.29,3.87,7.24,4.04,0.83,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.68,45.22,4.1,-0.48,38.3,-2.24,12.04,67.32,-4.52,0.0,0.0,0.0,13/28,13/28,9/28,15/28,13/28,12/28,12/26,8/19,6/9,8/8,Multi Cap Fund,24.5,1.11,0.35,-0.83,0.08,0.0,98.06,79.0,0.0,-,0.0,1.94,0.0,20.95,0.85,10-May-21,20.95,10-May-21,11.91,18-May-20,29.57,30.94,27.41,0.0,0.0,Regular
HDFC Equity Opportunities Fund - Series II - 1126D May,0,69.99,2.01,0.58,-0.76,18.51,7.49,44.61,6.53,4.33,0.0,0.0,2.2,0.21,-0.76,2.59,-1.9,5.85,7.38,1.55,1.14,3.78,7.11,3.92,1.57,13.22,18.64,7.62,5.75,-21.13,3.88,-5.83,-0.12,5.35,0.27,4.23,30.76,43.85,3.73,-1.06,38.24,-2.24,12.03,66.59,-2.3,37.98,-35.06,17.37,12/27,14/27,8/27,15/27,12/27,11/27,11/25,7/18,6/8,0/0,Multi Cap Fund,25.98,1.04,0.03,-7.89,0.01,0.0,98.06,79.0,0.0,-,0.0,1.94,0.0,22.17,0.85,10-May-21,22.17,10-May-21,12.52,18-May-20,29.69,36.86,39.81,47.28,0.0,Regular
HDFC Equity Opportunities Fund - Series II - 1100D June - Direct Plan,0,202.42,1.72,0.92,-0.33,19.64,8.36,37.23,6.42,5.39,0.0,0.0,2.45,0.23,0.25,5.34,-1.84,5.71,10.87,1.51,-2.01,3.07,3.15,6.04,4.79,12.42,20.08,7.69,24.16,-25.27,8.55,-1.13,2.49,4.73,2.07,-2.31,11.81,20.19,6.34,-10.9,48.66,1.84,8.53,73.98,10.34,0.0,0.0,0.0,19/28,14/28,8/28,17/28,14/28,21/28,16/26,10/19,8/9,4/8,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.61,41.0,0.0,-,0.0,5.39,0.0,12.04,0.68,10-May-21,12.26,15-Feb-21,8.19,26-May-20,23.84,35.46,0.0,0.0,0.0,Direct
HDFC Equity Opportunities Fund - Series II - 1100D June,0,202.42,1.7,0.85,-0.54,19.23,8.06,36.53,5.98,4.58,0.0,0.0,2.27,0.43,-0.44,4.1,-1.8,4.42,10.36,0.65,-1.2,1.27,3.4,3.03,1.51,8.82,23.41,6.01,23.22,-31.38,7.21,-5.53,0.71,4.49,-0.7,4.03,19.6,18.2,15.69,-7.41,16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/28,19/28,17/28,25/28,26/28,22/28,13/26,6/19,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.59,31.0,0.0,-,0.0,5.41,0.0,14.77,0.56,10-May-21,15.15,04-Mar-21,7.73,18-May-20,23.5,31.42,0.0,0.0,0.0,Regular
Edelweiss Maiden Opportunities Fund - Series I - Direct Plan,0,513.58,-0.92,-1.69,4.45,31.8,14.64,71.02,32.06,15.05,0.0,0.0,1.95,0.49,-1.04,6.53,-2.52,5.72,13.13,1.3,-1.63,3.35,6.66,3.23,1.26,8.72,18.16,9.53,21.9,-28.76,5.32,0.0,0.0,0.0,0.0,0.0,8.57,16.2,17.72,-4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24/27,26/27,27/27,27/27,27/27,27/27,18/25,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,85.12,40.0,0.0,-,1.85,13.03,0.0,14.8,0.2,10-May-21,14.85,03-Mar-21,8.98,18-May-20,13.76,20.0,0.0,0.0,0.0,Direct
Edelweiss Maiden Opportunities Fund - Series I,0,513.58,-0.92,-1.71,4.42,31.71,14.59,70.75,31.81,14.58,0.0,0.0,1.97,0.55,-0.96,6.59,-2.45,5.8,13.21,1.36,-1.57,3.41,6.72,3.27,1.44,9.1,18.75,10.07,22.51,-28.43,5.92,0.0,0.0,0.0,0.0,0.0,8.79,16.85,18.45,-4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/28,27/28,28/28,28/28,28/28,28/28,19/26,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,85.12,40.0,0.0,-,1.85,13.03,0.0,14.48,0.21,10-May-21,14.55,03-Mar-21,8.86,18-May-20,13.07,18.61,0.0,0.0,0.0,Regular
DSP A.C.E. Fund - Series 2 - Direct Plan,0,108.82,2.13,2.44,4.45,23.07,11.81,34.83,22.77,14.38,0.0,0.0,2.93,-1.32,0.19,6.59,-0.32,6.4,8.19,1.86,0.09,1.95,4.61,2.97,2.71,6.88,16.35,4.59,-6.2,6.04,1.79,5.69,0.56,3.83,4.83,-2.01,12.89,19.65,10.1,-10.6,38.24,2.59,-1.08,47.46,3.28,0.0,0.0,0.0,28/28,28/28,12/28,8/28,10/28,9/28,2/26,4/19,0/0,0/0,Multi Cap Fund,20.31,0.66,0.38,0.8,0.12,0.0,98.9,55.0,0.0,-,0.0,1.1,0.0,10.65,1.97,10-May-21,10.65,10-May-21,5.92,19-May-20,30.46,46.76,54.41,0.0,0.0,Direct
DSP A.C.E. Fund - Series 2,0,108.82,2.11,2.38,4.29,22.68,11.55,33.97,21.95,13.42,0.0,0.0,1.84,-0.77,-0.41,2.91,-1.65,6.4,8.8,1.8,0.08,2.23,-0.16,1.23,0.36,12.35,20.6,14.32,12.75,-15.97,4.81,5.03,3.34,1.33,1.32,-8.12,10.75,21.19,12.36,-3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/27,6/27,10/27,10/27,8/27,10/27,14/25,11/18,2/8,0/0,Multi Cap Fund,19.64,0.94,0.55,3.82,0.12,0.0,98.51,39.0,0.0,-,0.0,1.49,0.0,13.62,1.52,10-May-21,13.72,03-Mar-21,7.18,18-May-20,30.32,28.16,20.86,0.0,0.0,Regular
Axis Capital Builder Fund - Series 4 - Direct Plan,0,1208.25,1.16,0.68,2.0,18.4,7.17,56.89,19.67,0.0,0.0,0.0,1.44,-0.55,0.97,2.16,-3.82,5.74,12.55,3.12,-1.08,3.27,4.08,4.83,4.01,9.46,25.35,5.01,20.91,-34.04,7.3,-10.03,3.47,4.91,4.39,0.0,12.59,5.11,-1.45,-19.31,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/27,24/27,26/27,25/27,25/27,24/27,24/25,15/18,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,92.18,41.0,0.0,-,0.0,7.82,0.0,11.65,0.67,10-May-21,11.87,15-Feb-21,7.93,26-May-20,21.89,31.45,38.4,0.0,0.0,Direct
Axis Capital Builder Fund - Series 4,0,1208.25,1.12,0.63,1.76,17.92,6.86,55.66,18.71,0.0,0.0,0.0,1.4,-0.56,0.92,2.13,-3.89,5.69,12.51,3.0,-1.19,3.22,4.15,4.79,4.09,9.65,25.57,5.2,21.2,-33.9,7.42,-9.81,3.8,5.43,4.86,0.0,12.9,5.56,-0.77,-18.13,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24/28,23/28,20/28,27/28,27/28,24/28,15/26,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,92.18,41.0,0.0,-,0.0,7.82,0.0,14.7,0.48,10-May-21,14.7,10-May-21,10.3,15-Jun-20,21.44,30.52,36.77,0.0,0.0,Regular
Axis Capital Builder Fund - Series 1 - Direct Plan,0,612.0,0.83,1.4,2.91,19.64,7.81,58.42,20.27,12.39,0.0,0.0,2.17,-0.41,-1.64,3.85,-2.12,5.95,12.12,-0.55,-0.89,4.96,2.41,5.28,1.76,5.67,19.22,7.42,23.24,-25.66,9.22,2.27,0.11,4.52,2.06,-5.76,15.71,12.12,11.11,-14.07,54.49,4.42,4.21,0.0,0.0,0.0,0.0,0.0,20/27,20/27,25/27,23/27,23/27,25/27,25/25,14/18,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,88.34,34.0,0.0,-,0.0,4.7,0.0,14.3,0.48,10-May-21,14.3,10-May-21,10.09,15-Jun-20,19.73,12.56,10.92,0.0,0.0,Direct
Axis Capital Builder Fund - Series 1,0,612.0,0.79,1.3,2.63,19.1,7.43,57.25,19.32,11.27,0.0,0.0,2.19,-0.37,-1.59,3.9,-2.08,6.0,12.17,-0.5,-0.84,5.01,2.46,5.32,1.82,5.82,19.39,7.58,23.41,-25.56,9.37,2.41,0.25,4.67,2.21,-5.61,15.9,12.89,11.98,-13.24,56.45,5.99,4.5,0.0,0.0,0.0,0.0,0.0,21/28,21/28,26/28,24/28,24/28,26/28,26/26,15/19,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,88.34,34.0,0.0,-,0.0,4.7,0.0,11.1,0.6,10-May-21,11.3,15-Feb-21,8.07,19-May-20,19.61,12.23,10.13,0.0,0.0,Regular
Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan,0,124.25,4.89,7.67,16.37,43.51,25.29,75.78,16.46,3.03,0.0,0.0,2.32,-0.79,-2.35,6.48,-0.77,6.08,13.26,1.12,-4.37,5.04,4.39,3.68,2.48,5.2,17.14,14.0,22.04,-21.21,6.38,3.26,0.2,3.09,-0.82,0.0,9.12,26.29,13.68,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16/27,10/27,14/27,5/27,9/27,2/27,2/25,3/18,0/0,0/0,Multi Cap Fund,20.65,0.89,-0.3,-13.01,-0.07,36.0,99.58,48.0,0.0,-,0.0,0.42,0.0,367.47,0.97,10-May-21,375.69,03-Mar-21,213.3,18-May-20,40.97,41.19,34.51,0.0,0.0,Direct
Aditya Birla Sun Life Resurgent India Fund - Series 7,0,124.25,4.93,7.68,16.39,43.34,25.15,75.2,15.79,2.15,0.0,0.0,2.34,-0.71,-2.28,6.54,-0.7,6.16,13.34,1.2,-4.3,5.13,4.48,3.76,2.41,4.98,16.88,13.72,21.62,-21.33,6.08,3.0,0.0,2.69,-1.22,0.0,8.86,25.21,12.42,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17/28,10/28,18/28,5/28,11/28,2/28,3/26,2/19,0/0,0/0,Multi Cap Fund,16.25,0.73,0.47,2.11,0.1,36.0,99.58,48.0,0.0,-,0.0,0.42,0.0,395.67,0.98,10-May-21,403.85,03-Mar-21,227.54,18-May-20,41.19,41.87,35.73,0.0,0.0,Regular
Aditya Birla Sun Life Resurgent India Fund - Series 6 - Direct Plan,0,590.26,3.81,4.24,8.16,35.17,17.78,60.96,8.07,-1.6,0.0,0.0,0.47,-0.51,-0.81,8.12,-1.37,6.51,12.22,-1.57,2.72,8.18,8.0,6.73,1.61,4.96,17.36,13.47,18.19,-23.23,5.67,1.04,2.54,1.59,4.15,-1.22,7.41,20.02,11.43,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15/27,19/27,6/27,7/27,4/27,5/27,22/25,13/18,8/8,0/0,Multi Cap Fund,21.09,0.55,0.52,6.28,0.2,36.0,99.48,48.0,0.0,-,0.0,0.52,0.0,115.03,0.84,10-May-21,119.46,03-Mar-21,61.8,18-May-20,34.69,45.08,51.47,0.0,0.0,Direct
Aditya Birla Sun Life Resurgent India Fund - Series 6,0,590.26,3.83,4.27,8.08,34.94,17.71,60.28,7.45,-2.49,0.0,0.0,0.47,-0.53,-0.83,8.12,-1.38,6.5,12.2,-1.58,2.72,8.15,7.99,6.72,1.45,4.73,17.13,13.2,17.91,-23.31,5.4,0.77,2.48,1.11,3.77,-1.53,7.02,19.2,10.36,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3/27,4/27,13/27,3/27,6/27,4/27,20/25,0/0,0/0,0/0,Multi Cap Fund,14.76,0.45,0.6,4.94,0.2,36.0,99.48,48.0,0.0,-,0.0,0.52,0.0,122.31,0.85,10-May-21,126.86,03-Mar-21,65.29,18-May-20,34.72,32.8,0.0,0.0,0.0,Regular
Aditya Birla Sun Life Multi Cap Fund - Regular Plan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,6.68,3.61,5.83,-1.6,9.35,6.66,0.15,3.56,4.13,11.99,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,11.25,8.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,10.12,0.0,10-May-21,10.12,10-May-21,10.12,10-May-21,0.0,0.0,0.0,0.0,0.0,Regular
Aditya Birla Sun Life Multi Cap Fund - Direct Plan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,6.83,3.8,5.97,-1.45,9.56,6.82,0.29,3.72,4.37,12.07,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.99,13.47,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,10.12,0.0,10-May-21,10.12,10-May-21,10.12,10-May-21,0.0,0.0,0.0,0.0,0.0,Direct
