Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan
ICICI Prudential Multicap Fund - Direct Plan,2,5736.8,2.01,1.56,1.58,27.97,12.75,67.91,14.28,11.2,14.16,0.0,2.38,1.24,-0.21,8.69,-2.73,5.53,11.14,2.39,-2.11,4.38,5.55,4.03,2.13,11.54,18.77,7.43,5.88,-21.02,4.03,-5.7,0.02,5.64,0.6,4.58,-0.4,2.9,2.31,-2.79,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/27,16/27,21/27,12/27,14/27,12/27,19/25,9/18,7/8,0/0,Multi Cap Fund,19.38,0.89,0.28,-1.46,0.06,0.0,97.48,58.0,0.0,-,0.0,2.52,0.0,9.77,1.64,10-May-21,9.77,10-May-21,5.95,19-May-20,29.18,30.26,26.3,0.0,0.0,Direct
ICICI Prudential Multicap Fund,2,5736.8,2.0,1.48,1.37,27.39,12.4,66.32,13.2,10.14,12.99,12.62,2.36,1.21,-0.25,8.65,-2.78,5.46,11.08,2.33,-2.17,4.31,5.48,3.97,0.85,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/28,17/28,22/28,13/28,15/28,13/28,20/26,9/19,7/9,6/8,Multi Cap Fund,20.01,0.94,0.52,3.11,0.11,0.0,97.48,58.0,0.0,-,0.0,2.52,0.0,10.07,1.59,10-May-21,10.07,10-May-21,6.11,18-May-20,29.07,35.69,38.04,43.94,94.95,Regular
BNP Paribas Multi Cap Fund - Direct Plan,2,517.68,1.77,2.12,5.68,26.91,13.08,61.08,19.08,11.69,14.61,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,7.56,19.9,10.78,21.51,-25.37,5.69,-0.57,-1.47,2.18,0.56,-3.74,5.98,11.36,11.03,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13/27,11/27,23/27,21/27,21/27,19/27,8/25,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.76,39.0,0.0,-,0.0,5.24,0.0,14.27,0.58,10-May-21,14.56,03-Mar-21,8.61,18-May-20,24.38,36.71,0.0,0.0,0.0,Direct
BNP Paribas Multi Cap Fund,2,517.68,1.74,2.0,5.31,25.99,12.5,58.81,17.46,10.1,12.89,13.46,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.92,20.33,11.13,21.92,-25.14,5.98,-0.79,-1.08,2.55,0.96,-3.38,6.38,12.57,12.32,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15/28,12/28,25/28,21/28,23/28,20/28,9/26,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.76,39.0,0.0,-,0.0,5.24,0.0,14.24,0.58,10-May-21,14.53,03-Mar-21,8.6,18-May-20,23.91,32.23,0.0,0.0,0.0,Regular
Nippon India Multicap Fund - Direct Plan,1,8970.58,1.91,1.17,5.71,32.66,17.86,77.38,10.67,7.89,12.17,0.0,2.03,0.33,-0.98,4.95,-0.64,5.99,12.1,0.04,0.89,4.76,3.92,3.3,2.53,9.32,22.22,16.52,26.64,-19.98,4.03,-1.42,-1.69,5.03,1.28,-5.38,14.57,1.57,13.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18/28,8/28,16/28,12/28,18/28,16/28,11/26,12/19,5/9,2/8,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,95.0,50.0,0.0,-,0.0,5.0,0.0,13.98,0.68,10-May-21,14.11,03-Mar-21,8.06,18-May-20,27.06,0.0,0.0,0.0,0.0,Direct
Nippon India Multicap Fund,1,8970.58,1.9,1.12,5.54,32.24,17.59,76.21,9.94,7.16,11.36,12.45,2.05,0.44,-0.89,5.04,-0.52,6.11,12.23,0.15,1.0,4.87,4.04,3.42,2.63,10.24,22.51,16.8,26.94,-19.8,4.27,-2.1,-1.47,5.33,1.58,-5.16,15.44,3.79,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18/27,12/27,7/27,14/27,13/27,17/27,15/25,8/18,5/8,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,95.0,50.0,0.0,-,0.0,5.0,0.0,13.54,0.67,10-May-21,13.7,03-Mar-21,7.94,18-May-20,26.83,0.0,0.0,0.0,0.0,Regular
Sundaram Multi Cap Fund Series II - Direct Plan,0,70.03,1.96,2.12,0.9,22.87,9.18,60.07,21.6,0.0,0.0,0.0,5.29,-1.21,-3.67,7.13,-0.94,8.89,15.88,-2.31,-6.11,10.27,0.32,7.86,0.88,8.33,20.06,8.88,21.56,-26.41,7.2,-4.68,-0.89,3.15,0.43,-1.13,7.11,0.04,3.92,-3.14,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17/27,8/27,15/27,11/27,16/27,14/27,10/25,10/18,4/8,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,96.55,25.0,0.0,-,0.0,3.45,0.0,13.36,0.93,10-May-21,13.39,04-Mar-21,8.17,18-May-20,28.52,31.3,32.18,41.78,0.0,Direct
Sundaram Multi Cap Fund Series II,0,70.03,1.95,2.07,0.76,22.53,8.97,59.18,20.92,0.0,0.0,0.0,3.35,-0.98,3.68,3.89,-3.7,4.98,13.83,-0.81,-3.54,8.38,4.39,5.07,3.17,10.23,20.47,5.3,21.39,-30.66,7.19,1.9,0.0,0.0,0.0,0.0,10.68,15.52,5.17,-7.42,49.83,6.43,3.19,49.77,7.04,0.0,0.0,0.0,19/27,15/27,22/27,22/27,20/27,16/27,6/25,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,95.27,37.0,1.2,1,0.0,3.53,0.0,15.66,0.65,10-May-21,15.66,10-May-21,8.02,18-May-20,27.24,32.27,36.18,45.81,0.0,Regular
Sundaram Multi Cap Fund Series I - Direct Plan,0,118.8,1.96,2.13,0.91,22.84,9.19,60.13,21.62,0.0,0.0,0.0,2.22,-1.49,-1.97,12.06,-1.68,6.39,13.9,-0.61,-5.02,10.51,2.12,5.39,1.16,5.9,19.16,3.05,3.55,-18.65,3.15,-4.43,1.21,6.14,0.7,4.77,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22/28,24/28,19/28,18/28,16/28,14/28,0/0,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,95.0,97.33,42.0,0.0,-,0.0,2.67,0.0,15.31,0.85,10-May-21,15.33,15-Feb-21,9.18,18-May-20,28.64,0.0,0.0,0.0,0.0,Direct
Sundaram Multi Cap Fund Series I,0,118.8,1.95,2.08,0.77,22.49,8.97,59.23,20.94,0.0,0.0,0.0,3.33,-1.05,3.61,3.84,-3.75,4.96,13.81,-0.82,-3.56,8.36,4.37,5.04,2.93,9.65,19.83,4.74,20.71,-31.03,6.62,1.36,0.0,0.0,0.0,0.0,10.41,14.6,4.08,-8.36,48.73,5.7,2.49,48.93,7.23,46.01,-30.91,14.12,22/27,22/27,20/27,18/27,19/27,15/27,16/25,12/18,3/8,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,95.27,37.0,1.2,1,0.0,3.53,0.0,16.23,0.65,10-May-21,16.23,10-May-21,8.19,18-May-20,27.81,34.4,35.17,41.61,134.04,Regular
