Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
LIC MF Government Securities Fund - GrowthGilt Fund,5,47.98,-0.04%,0.85%,1.53%,1.14%,1.02%,4.97%,10.04%,9.94%,8.11%,7.77%,0.32%,1.06%,0.70%,-1.27%,-0.26%,0.54%,0.54%,1.28%,-0.36%,-1.63%,0.62%,0.96%,0.97%,-0.70%,2.07%,-0.48%,5.15%,2.63%,0.93%,2.93%,5.04%,2.33%,3.58%,1.26%,0.15%,9.96%,12.08%,6.23%,4.29%,15.34%,6.22%,19.95%,3.23%,10.29%,7.79%,4.59%,19/22,2/22,7/22,7/22,2/22,18/22,21/22,20/22,22/22,0/0,,,,,,-,-,-,82.05%,6,-,17.95%,-,27.867,0.03%,12-May-21,28.0826,05-Jan-21,26.5019,18-May-20,1.58%,6.76%,13.35%,22.64%,59.49%
IDBI Gilt Plan - Direct Plan - GrowthGilt Fund,-,15.22,-0.04%,0.99%,1.41%,1.52%,1.70%,4.03%,7.74%,8.60%,6.89%,-,0.32%,1.06%,0.70%,-1.27%,-0.26%,0.54%,0.54%,1.28%,-0.36%,-1.63%,0.62%,0.97%,1.01%,-0.62%,2.15%,-0.40%,5.22%,2.70%,1.00%,3.02%,5.10%,2.39%,3.65%,1.33%,0.26%,10.27%,12.44%,6.53%,4.54%,15.68%,6.50%,20.20%,3.33%,-,-,-,20/22,19/22,15/22,13/22,20/22,18/22,13/22,13/22,7/22,6/19,,,,,,-,-,-,92.34%,2,-,7.66%,-,50.7919,0.02%,12-May-21,50.7919,12-May-21,48.3062,18-May-20,1.42%,5.44%,11.15%,17.41%,-
L&T Gilt - GrowthGilt Fund,3,258.5,-0.05%,0.50%,0.64%,-0.09%,0.98%,4.44%,8.46%,8.17%,7.30%,9.15%,0.35%,1.14%,0.78%,-1.21%,-0.18%,0.62%,0.61%,1.36%,-0.29%,-1.55%,0.70%,1.04%,2.57%,-0.42%,3.51%,1.17%,4.26%,3.83%,0.36%,2.29%,5.83%,2.17%,4.92%,0.90%,1.91%,13.62%,11.63%,7.19%,4.76%,12.95%,6.48%,14.59%,-,-,-,-,20/22,19/22,19/22,17/22,20/22,19/22,13/22,13/22,9/22,0/0,,,,,,-,-,-,90.77%,13,-,9.23%,-,18.2875,0.04%,12-May-21,18.2875,12-May-21,17.399,24-Aug-20,1.41%,5.79%,11.40%,18.53%,48.04%
UTI Gilt Fund - Direct Plan - GrowthGilt Fund,2,834.51,-0.05%,0.50%,0.95%,0.85%,0.89%,3.90%,9.96%,9.54%,9.41%,-,0.35%,1.14%,0.78%,-1.21%,-0.18%,0.62%,0.61%,1.36%,-0.29%,-1.55%,0.70%,1.04%,2.48%,-0.57%,3.39%,1.04%,4.15%,3.75%,0.24%,2.17%,5.63%,2.10%,4.84%,0.78%,1.67%,13.13%,11.06%,6.72%,4.24%,12.39%,5.95%,14.24%,-,-,-,-,19/22,2/22,7/22,11/22,2/22,19/22,22/22,22/22,22/22,0/0,,,,,,-,-,-,94.67%,11,-,5.33%,-,17.2808,0.04%,12-May-21,17.2808,12-May-21,16.5335,24-Aug-20,1.38%,6.08%,11.79%,19.53%,53.56%
IDBI Gilt Fund - GrowthGilt Fund,-,15.22,-0.05%,0.92%,1.22%,1.14%,1.61%,3.19%,6.85%,7.75%,5.93%,-,0.19%,0.68%,0.81%,-0.41%,-0.24%,0.41%,0.53%,1.86%,-0.68%,-1.71%,0.70%,0.44%,1.12%,-0.63%,2.97%,0.98%,4.33%,3.39%,1.12%,3.75%,4.65%,1.87%,3.84%,1.88%,0.34%,12.59%,12.20%,5.14%,1.43%,13.57%,6.47%,15.11%,-1.02%,6.41%,-,-,16/22,3/22,22/22,21/22,18/22,20/22,19/22,15/22,19/22,16/19,,,,,,-,-,-,84.85%,7,-,15.15%,-,32.9338,0.02%,12-May-21,32.972,05-Jan-21,31.3383,18-May-20,1.31%,5.96%,12.38%,20.65%,-
UTI Gilt Fund - GrowthGilt Fund,3,834.51,-0.06%,0.48%,0.88%,0.69%,0.85%,3.60%,9.63%,9.22%,9.11%,9.28%,0.21%,0.73%,0.85%,-0.38%,-0.20%,0.45%,0.57%,1.89%,-0.64%,-1.68%,0.74%,0.48%,1.19%,-0.48%,3.12%,1.10%,4.45%,3.51%,1.23%,4.01%,4.77%,1.98%,3.96%,2.02%,0.56%,13.16%,12.88%,5.69%,1.95%,14.16%,7.00%,15.67%,-0.48%,-,-,-,16/22,3/22,22/22,21/22,18/22,20/22,18/22,16/22,18/22,0/0,,,,,,-,-,-,76.46%,8,-,23.54%,-,33.0195,0.02%,12-May-21,33.0578,05-Jan-21,31.4197,18-May-20,1.34%,5.18%,10.56%,15.73%,43.07%
Axis Gilt Fund - Direct Plan - GrowthGilt Fund,4,159.21,-0.07%,0.73%,0.95%,1.49%,1.04%,6.14%,11.90%,11.11%,8.78%,-,0.49%,0.56%,0.79%,-1.35%,-0.17%,0.38%,0.57%,1.61%,-0.55%,-1.85%,1.05%,0.62%,1.06%,-2.00%,2.79%,0.31%,3.94%,3.28%,0.88%,1.71%,4.40%,1.10%,4.28%,1.22%,-1.04%,11.17%,8.79%,6.21%,0.46%,16.64%,7.68%,16.45%,8.61%,13.92%,4.48%,2.53%,14/22,22/22,18/22,22/22,22/22,21/22,20/22,19/22,17/22,0/0,,,,,,-,-,-,83.61%,37,-,16.39%,-,30.3478,0.01%,12-May-21,30.4857,05-Jan-21,29.1543,18-May-20,1.24%,6.10%,11.55%,18.64%,53.73%
Axis Gilt Fund - GrowthGilt Fund,4,159.21,-0.08%,0.68%,0.80%,1.19%,0.97%,5.55%,11.34%,10.55%,8.22%,-,0.47%,0.50%,0.69%,-1.42%,-0.23%,0.31%,0.51%,1.56%,-0.61%,-1.91%,0.99%,0.56%,1.20%,-1.70%,3.08%,0.60%,4.25%,3.60%,1.20%,2.03%,4.70%,1.40%,4.61%,1.57%,-0.60%,12.18%,10.11%,7.67%,1.94%,18.32%,8.31%,17.00%,9.15%,-,-,-,14/22,22/22,20/22,22/22,22/22,21/22,20/22,18/22,16/22,19/19,,,,,,-,-,-,87.02%,6,-,12.98%,-,30.3478,0.01%,12-May-21,30.4857,05-Jan-21,29.1543,18-May-20,1.05%,5.27%,11.38%,19.45%,-
Edelweiss Government Securities Fund - Direct Plan - GrowthGilt Fund,5,92.12,-0.13%,0.90%,2.74%,3.29%,2.35%,8.91%,12.27%,11.14%,9.42%,-,0.23%,1.25%,0.55%,-0.99%,-0.33%,0.60%,0.50%,0.57%,-0.17%,-1.28%,0.43%,0.44%,1.12%,-1.53%,2.51%,0.01%,3.71%,2.80%,0.82%,1.84%,4.53%,1.39%,5.23%,0.97%,-0.41%,9.66%,9.25%,5.95%,1.72%,13.22%,6.60%,15.23%,3.70%,10.92%,12.07%,18.12%,15/22,5/22,10/22,12/22,4/22,22/22,21/22,21/22,21/22,18/19,,,,,,-,-,-,94.44%,17,-,5.56%,-,35.8867,-0%,12-May-21,36.0703,05-Jan-21,34.3132,18-May-20,0.87%,5.11%,10.99%,17.90%,48.35%
Edelweiss Government Securities Fund - Regular Plan - GrowthGilt Fund,5,92.12,-0.15%,0.83%,2.54%,2.97%,2.25%,8.30%,11.70%,10.61%,8.88%,-,0.27%,0.74%,0.57%,-0.53%,-0.17%,0.40%,0.32%,1.44%,-0.62%,-1.96%,0.63%,0.69%,1.22%,-1.34%,2.71%,0.20%,3.91%,3.01%,1.03%,2.02%,4.71%,1.57%,5.43%,1.19%,-0.12%,10.53%,10.06%,6.83%,2.60%,13.94%,7.44%,16.90%,4.51%,-,-,-,15/22,9/22,12/22,15/22,7/22,22/22,22/22,22/22,21/22,0/0,,,,,,-,-,-,92.03%,7,-,7.97%,-,33.3932,-0%,12-May-21,33.6548,05-Jan-21,32.1739,18-May-20,0.66%,4.40%,10.00%,17.00%,44.85%
