Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
IDFC Low Duration Fund - Direct Plan - GrowthLow Duration Fund,3,8588.05,0.06%,0.45%,1.27%,1.91%,0.58%,5.63%,6.98%,7.40%,7.44%,-,0.13%,0.43%,0.42%,0.28%,0.11%,0.26%,0.41%,0.45%,0.25%,0.21%,5.94%,0.67%,0.56%,0.84%,1.15%,6.49%,-3.92%,2.62%,0.59%,1.83%,-15.10%,1.75%,2.24%,0.77%,1.41%,6.25%,-11.42%,6.75%,7.74%,9.15%,9.15%,9.34%,9.37%,-,-,-,15/26,13/26,9/26,9/26,10/26,13/26,3/25,2/25,3/24,5/23,,,,,,-,-,-,86.76%,13.0,-,13.24%,-,24.6804,0.01%,12-May-21,24.6804,12-May-21,23.5916,06-Jul-20,2.49%,6.08%,8.44%,15.39%,-
L&T Low Duration Fund - Direct Plan - GrowthLow Duration Fund,3,909.24,0.05%,0.46%,1.35%,2.14%,0.60%,8.83%,5.76%,6.55%,7.41%,-,0.10%,0.35%,0.33%,0.19%,0.04%,0.23%,0.39%,0.46%,0.22%,0.23%,20.40%,0.89%,0.45%,0.57%,1.10%,21.03%,2.16%,1.32%,-2.87%,-2.09%,-9.46%,2.04%,2.13%,1.59%,1.03%,26.75%,-12.08%,6.91%,6.72%,8.54%,8.31%,9.02%,9.12%,10.08%,9.23%,5.47%,17/26,15/26,10/26,12/26,12/26,13/26,5/25,5/25,5/24,0/0,,,,,,-,-,-,91.14%,102.0,-,8.86%,-,30.8287,0.01%,12-May-21,30.8287,12-May-21,29.2244,18-May-20,2.47%,6.42%,11.08%,20.06%,-
Axis Treasury Advantage Fund - Direct Plan - GrowthLow Duration Fund,3,8255.0,0.05%,0.45%,1.28%,2.07%,0.61%,6.36%,7.45%,7.84%,7.71%,-,0.11%,0.37%,0.35%,0.21%,0.07%,0.24%,0.39%,0.47%,0.23%,0.24%,20.41%,0.90%,0.49%,0.64%,1.13%,21.07%,2.18%,1.35%,-2.85%,-2.06%,-9.44%,2.06%,2.15%,1.62%,1.14%,26.87%,-11.99%,7.02%,6.85%,8.68%,8.42%,9.13%,9.20%,-,-,-,4/26,5/26,4/26,6/26,4/26,14/26,8/25,7/25,6/24,0/0,,,,,,-,-,-,90.09%,176.0,-,9.91%,-,30.4058,0.01%,12-May-21,30.4058,12-May-21,28.885,18-May-20,2.47%,5.98%,9.69%,17.61%,-
Tata Treasury Advantage Fund - Direct Plan - GrowthLow Duration Fund,2,2195.17,0.05%,0.48%,1.28%,1.95%,0.63%,6.18%,4.23%,5.51%,6.30%,-,0.11%,0.38%,0.36%,0.15%,0.69%,0.20%,0.49%,0.46%,0.19%,0.25%,1.50%,0.87%,0.48%,1.20%,1.18%,1.99%,2.31%,1.17%,1.72%,2.08%,-2.48%,2.07%,2.15%,1.60%,1.70%,6.92%,3.45%,7.12%,6.49%,8.26%,7.69%,8.43%,8.29%,8.66%,7.82%,5.55%,14/26,4/26,7/26,11/26,6/26,14/26,19/25,19/25,17/24,15/23,,,,,,-,-,-,94.76%,124.0,-,5.24%,-,23.4464,0.01%,12-May-21,23.4464,12-May-21,22.5437,06-Jul-20,2.46%,6.24%,10.70%,-,-
IDFC Low Duration Fund - Regular Plan - GrowthLow Duration Fund,4,8588.05,0.05%,0.43%,1.22%,1.80%,0.55%,5.41%,6.76%,7.17%,7.23%,8.32%,0.12%,0.42%,0.41%,0.18%,0.74%,0.25%,0.53%,0.50%,0.23%,0.30%,1.54%,0.92%,0.55%,1.33%,1.31%,2.14%,2.45%,1.30%,1.82%,2.21%,-2.35%,2.21%,2.26%,1.73%,1.90%,7.51%,3.97%,7.65%,7.24%,9.22%,8.51%,9.36%,8.90%,-,-,-,12/26,6/26,6/26,13/26,9/26,15/26,6/25,4/25,5/24,6/23,,,,,,-,-,-,90.22%,61.0,-,9.78%,-,29.6105,0%,12-May-21,29.6105,12-May-21,23.5703,18-May-20,2.63%,6.59%,10.95%,19.34%,47.65%
Invesco India Treasury Advantage Fund - GrowthLow Duration Fund,4,3459.26,0.05%,0.46%,1.23%,1.82%,0.58%,5.76%,7.04%,7.41%,7.21%,8.11%,0.11%,0.45%,0.46%,0.26%,0.02%,0.20%,0.47%,0.55%,0.22%,0.32%,0.64%,0.91%,0.56%,0.76%,1.23%,1.25%,2.80%,1.50%,1.88%,2.19%,1.97%,2.33%,2.29%,1.51%,1.34%,7.05%,8.87%,6.97%,6.29%,8.48%,8.35%,9.00%,8.79%,9.80%,9.26%,5.72%,13/26,17/26,16/26,17/26,14/26,15/26,14/25,14/25,16/24,0/0,,,,,,-,-,-,90.35%,78.0,-,9.66%,-0.01%,29.3275,0%,12-May-21,29.3275,12-May-21,23.385,18-May-20,2.57%,6.47%,10.97%,19.63%,48.63%
UTI Treasury Advantage Fund - Direct Plan - GrowthLow Duration Fund,2,3684.79,0.05%,0.41%,1.21%,1.89%,0.56%,5.75%,0.92%,3.11%,4.89%,-,0.12%,0.48%,0.48%,0.28%,0.05%,0.22%,0.50%,0.57%,0.25%,0.35%,0.66%,0.93%,0.60%,0.84%,1.32%,1.33%,2.87%,1.58%,1.95%,2.35%,2.04%,2.40%,2.36%,1.58%,1.46%,7.38%,9.15%,7.29%,6.81%,8.90%,8.62%,9.45%,9.12%,-,-,-,13/26,15/26,10/26,10/26,12/26,16/26,21/25,21/25,19/24,17/23,,,,,,-,-,-,94.76%,124.0,-,5.24%,-,33.7762,0%,12-May-21,33.7762,12-May-21,32.1802,18-May-20,2.39%,6.43%,10.79%,19.56%,49.56%
LIC MF Savings Fund - Direct Plan - GrowthLow Duration Fund,5,1005.44,0.05%,0.43%,1.12%,2.47%,0.56%,7.18%,5.66%,6.21%,6.86%,-,0.13%,0.38%,0.38%,0.18%,0.03%,0.22%,0.39%,0.53%,0.28%,0.30%,0.51%,0.86%,0.51%,0.60%,1.16%,1.15%,2.13%,1.64%,1.66%,2.00%,1.79%,2.13%,2.01%,1.42%,1.13%,6.29%,7.86%,6.45%,5.23%,-,-,-,-,-,-,-,13/26,15/26,10/26,10/26,12/26,16/26,21/25,21/25,19/24,17/23,,,,,,-,-,-,80.06%,144.0,-,19.91%,-,33.243,0%,12-May-21,33.243,12-May-21,31.7519,18-May-20,2.39%,5.88%,8.13%,14.82%,41.56%
HSBC Low Duration Fund - Direct Plan - GrowthLow Duration Fund,3,190.0,0.05%,0.50%,1.38%,2.00%,0.65%,14.44%,0.34%,2.87%,4.68%,-,0.16%,0.45%,0.45%,0.24%,0.09%,0.29%,0.46%,0.59%,0.35%,0.36%,0.58%,0.92%,0.61%,0.80%,1.37%,1.36%,2.34%,1.85%,1.86%,2.20%,1.99%,2.33%,2.23%,1.67%,1.43%,7.16%,8.76%,7.48%,6.12%,-,-,-,-,-,-,-,18/26,9/26,11/26,16/26,9/26,16/26,19/25,19/25,18/24,0/0,,,,,,-,-,-,91.82%,32.0,-,8.18%,-,31.1216,-,12-May-21,33.472,11-Jun-20,31.1216,17-Aug-20,2.34%,5.68%,5.77%,10.46%,-
Principal Low Duration Fund - Direct Plan - GrowthLow Duration Fund,2,74.57,0.05%,0.42%,1.18%,1.90%,0.56%,10.43%,-3.04%,-0.19%,3.02%,-,0.11%,0.40%,0.39%,0.16%,0.04%,0.20%,0.50%,0.50%,0.26%,0.29%,1.05%,0.76%,0.52%,0.57%,1.22%,1.69%,2.03%,1.45%,1.08%,1.84%,0.39%,2.11%,2.08%,1.34%,1.10%,6.64%,5.73%,6.53%,5.77%,6.87%,6.93%,7.96%,7.98%,4.45%,-,-,11/26,8/26,8/26,15/26,11/26,17/26,6/25,6/25,7/24,0/0,,,,,,-,-,-,86.39%,44.0,-,13.61%,-,31.467,-,12-May-21,33.8435,11-Jun-20,31.467,17-Aug-20,2.50%,6.32%,10.76%,19.58%,-
