Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Nippon India Nivesh Lakshya Fund - Direct Plan - GrowthLong Duration Fund,-,1803.56,0.20%,0.28%,1.09%,1.78%,0.69%,6.34%,11.82%,-,-,-,0.47%,1.12%,1.22%,-1.76%,-0.37%,0.18%,0.83%,1.71%,-0.59%,-1.64%,1.28%,0.15%,1.53%,-2.03%,2.58%,0.34%,3.46%,3.39%,1.94%,1.85%,5.06%,2.42%,5.38%,1.06%,-0.31%,11.12%,13.16%,7.41%,5.03%,16.66%,6.16%,18.30%,1.36%,-,-,-,1/2,2/2,2/2,1/2,2/2,1/2,1/2,0/0,0/0,0/0,4.8,1.38,1.24,-2.2,0.04,-,-,-,96.97%,13,-,3.03%,-,76.6736,0.06%,12-May-21,77.1441,05-Jan-21,73.4151,18-May-20,1.97%,8.17%,-,-,-
Nippon India Nivesh Lakshya Fund - GrowthLong Duration Fund,-,1803.56,0.19%,0.25%,1.02%,1.62%,0.66%,6.00%,11.46%,-,-,-,0.45%,1.07%,1.17%,-1.80%,-0.41%,0.13%,0.78%,1.67%,-0.64%,-1.69%,1.23%,0.11%,1.60%,-1.89%,2.74%,0.48%,3.55%,3.51%,2.08%,2.33%,5.20%,2.55%,5.52%,1.23%,-0.56%,10.57%,12.47%,6.71%,4.12%,15.61%,5.12%,17.01%,0.39%,10.21%,6.97%,2.88%,1/2,2/2,2/2,1/2,2/2,1/2,1/2,1/2,1/2,1/2,5.44,1.0,1.52,1.68,0.08,-,-,-,95.01%,3,-,4.99%,-,71.6743,0.06%,12-May-21,72.2647,05-Jan-21,69.0232,18-May-20,1.70%,7.25%,14.58%,24.86%,-
ICICI Prudential Long Term Bond Fund - Direct Plan - GrowthLong Duration Fund,4,798.82,0.06%,0.68%,1.51%,0.35%,1.57%,4.63%,10.57%,10.51%,9.48%,-,0.15%,0.51%,1.80%,-2.35%,0.72%,1.46%,0.92%,1.71%,-1.47%,-2.97%,1.72%,1.49%,0.70%,-1.20%,4.28%,-0.87%,3.91%,5.51%,2.04%,0.36%,7.98%,1.62%,9.45%,-,-0.63%,13.07%,12.81%,9.20%,-,-,-,-,-,-,-,-,2/2,1/2,1/2,2/2,1/2,2/2,2/2,1/1,1/1,1/1,,,,,,-,-,-,95.01%,3,-,4.99%,-,13.9982,0.15%,12-May-21,14.1755,29-Jan-21,13.179,18-May-20,1.66%,7.48%,-,-,-
ICICI Prudential Long Term Bond Fund - GrowthLong Duration Fund,3,798.82,0.05%,0.63%,1.36%,0.05%,1.50%,4.02%,9.98%,9.90%,8.75%,8.68%,0.17%,0.53%,1.82%,-2.33%,0.75%,1.49%,0.95%,1.74%,-1.44%,-2.94%,1.75%,1.52%,0.66%,-1.28%,4.19%,-0.95%,3.82%,5.43%,1.96%,0.28%,7.89%,1.54%,9.36%,-,-0.52%,13.43%,13.17%,9.39%,-,-,-,-,-,-,-,-,2/2,1/2,1/2,2/2,1/2,2/2,2/2,1/1,1/1,0/0,,,,,,-,-,-,96.97%,13,-,3.03%,-,13.8682,0.15%,12-May-21,14.0554,29-Jan-21,13.0979,18-May-20,1.55%,6.96%,14.01%,23.30%,56.77%
