Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Mirae Asset Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,-,290.3,0.09%,0.25%,1.06%,1.96%,0.56%,-,-,-,-,-,0.09%,0.41%,0.43%,0.27%,0.12%,0.30%,-0.02%,0.34%,0.35%,0.18%,-0.01%,0.20%,0.50%,0.70%,0.69%,0.41%,0.46%,1.50%,0.87%,0.94%,1.32%,1.04%,1.20%,-4.28%,1.13%,2.67%,4.24%,-0.19%,5.54%,4.88%,-,-,-,-,-,-,19/28,18/28,18/28,16/28,20/28,12/26,14/24,9/19,9/17,0/0,,,,,,-,67.63%,118,0.69%,2,25.14%,6.53%,-,27.5237,-0.01%,17-May-21,27.5306,12-May-21,26.622,20-May-20,1.97%,4.31%,7.37%,14.00%,36.50%
L&T Arbitrage Opportunities Fund - GrowthArbitrage Fund,5,3923.66,0.09%,0.22%,0.99%,1.79%,0.47%,3.61%,4.87%,5.32%,5.64%,-,0.07%,0.31%,0.38%,0.30%,0.05%,0.17%,-0.11%,0.30%,0.35%,0.19%,0.06%,0.21%,0.38%,0.63%,0.42%,0.51%,0.74%,1.44%,1.22%,1.50%,1.81%,1.26%,1.32%,1.21%,0.94%,2.79%,5.92%,5.66%,5.79%,7.11%,7.96%,0.33%,-,-,-,-,5/27,5/27,8/27,8/27,4/27,12/25,15/23,13/18,13/16,9/10,,,,,,1289.00%,67.45%,128,27.30%,53,-,5.25%,-,14.7138,-0.01%,17-May-21,14.7205,12-May-21,14.2969,03-Jun-20,1.96%,4.22%,7.24%,13.74%,36.35%
BNP Paribas Arbitrage Fund - GrowthArbitrage Fund,-,700.48,0.09%,0.24%,0.94%,1.83%,0.47%,3.29%,4.74%,5.34%,-,-,0.10%,0.36%,0.44%,0.34%,0.11%,0.22%,-0.05%,0.35%,0.41%,0.25%,0.12%,0.27%,0.47%,0.80%,0.59%,0.68%,0.91%,1.59%,1.35%,1.63%,1.93%,1.38%,1.45%,1.34%,1.20%,3.48%,6.41%,6.18%,6.35%,7.82%,8.71%,0.34%,-,-,-,-,21/28,12/28,9/28,13/28,10/28,13/26,11/24,10/19,7/17,0/0,,,,,,1289.00%,67.45%,128,27.30%,53,-,5.25%,-,10.6836,-0.02%,17-May-21,10.6896,12-May-21,10.3708,20-May-20,1.94%,4.36%,7.44%,-,-
Kotak Equity Arbitrage Fund - GrowthArbitrage Fund,4,18952.44,0.09%,0.23%,0.98%,1.86%,0.50%,3.47%,4.64%,5.29%,5.64%,7.01%,0.09%,0.37%,0.28%,0.18%,0.06%,0.28%,-0.07%,0.30%,0.37%,0.17%,0.16%,0.28%,0.46%,0.46%,0.57%,0.62%,0.98%,0.93%,1.17%,-,-,-,-,-,0.88%,2.89%,1.50%,-,-,-,-,-,-,-,-,-,11/27,13/27,13/27,9/27,16/27,13/25,4/23,3/18,3/16,0/0,,,,,,-,67.12%,17,-,-,27.89%,4.99%,-,20.9243,-0.01%,17-May-21,20.9277,12-May-21,20.27,20-May-20,1.94%,4.10%,7.24%,14.34%,-
Edelweiss Arbitrage Fund - GrowthArbitrage Fund,4,5169.88,0.09%,0.23%,0.92%,1.75%,0.46%,3.17%,4.70%,5.31%,5.64%,-,0.12%,0.43%,0.35%,0.23%,0.11%,0.34%,-0.02%,0.35%,0.43%,0.24%,0.22%,0.34%,0.55%,0.64%,0.76%,0.81%,1.17%,1.11%,1.36%,-,-,-,-,-,1.16%,3.66%,1.74%,-,-,-,-,-,-,-,-,-,1/27,21/27,1/27,7/27,1/27,14/25,0/0,0/0,0/0,0/0,,,,,,-,67.12%,17,-,-,27.89%,4.99%,-,10.5494,-0.03%,17-May-21,10.5563,12-May-21,10.3167,05-Jun-20,1.91%,4.19%,7.17%,13.70%,37.39%
Indiabulls Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,2,15.1,0.08%,0.17%,0.85%,1.39%,0.40%,2.59%,4.30%,5.06%,5.76%,-,0.13%,0.32%,0.26%,0.18%,0.03%,0.23%,0.02%,0.36%,0.30%,0.19%,0.06%,0.13%,0.45%,0.42%,0.61%,0.46%,0.53%,1.10%,1.02%,1.20%,2.12%,0.78%,1.37%,1.47%,0.82%,2.39%,5.36%,5.38%,5.12%,6.86%,7.18%,8.45%,9.17%,9.46%,7.76%,5.55%,2/27,3/27,12/27,18/27,5/27,15/25,12/23,9/18,0/0,0/0,,,,,,2144.00%,67.06%,82,-,-,23.00%,77.31%,-,11.2476,-0.03%,17-May-21,11.2513,12-May-21,10.8535,20-May-20,1.90%,3.93%,6.76%,12.88%,34.97%
IDFC Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,3,6825.29,0.08%,0.25%,1.04%,1.98%,0.53%,3.82%,5.04%,5.82%,6.12%,-,0.14%,0.35%,0.30%,0.20%,0.06%,0.26%,0.05%,0.39%,0.34%,0.22%,0.10%,0.16%,0.50%,0.52%,0.71%,0.56%,0.63%,1.20%,1.12%,1.31%,2.22%,0.88%,1.47%,1.57%,0.97%,2.80%,5.78%,5.79%,5.54%,7.42%,7.78%,8.99%,9.59%,-,-,-,5/28,7/28,8/28,11/28,7/28,15/26,17/24,15/19,14/17,0/0,,,,,,2144.00%,67.06%,82,-,-,23.00%,77.31%,-,27.4209,-0.01%,17-May-21,27.4281,12-May-21,26.5845,03-Jun-20,1.89%,4.19%,7.25%,14.07%,37.97%
LIC MF Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,2,31.11,0.08%,0.29%,0.99%,1.73%,0.53%,3.10%,4.64%,-,-,-,0.08%,0.48%,0.48%,0.39%,0.23%,0.34%,0.07%,0.46%,0.44%,0.33%,0.09%,0.19%,0.56%,0.98%,0.92%,0.77%,1.10%,1.57%,1.28%,1.45%,1.75%,1.45%,1.65%,1.61%,1.48%,4.16%,6.11%,6.30%,5.84%,6.70%,7.46%,9.04%,9.23%,9.58%,7.51%,6.31%,5/28,7/28,8/28,11/28,7/28,15/26,17/24,15/19,14/17,0/0,,,,,,-,67.04%,24,-,-,-,100.33%,-,10.191,-0.03%,17-May-21,10.1945,14-May-21,9.9935,01-Sep-20,1.86%,4.27%,7.35%,14.03%,-
ICICI Prudential Equity - Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,3,10787.78,0.08%,0.29%,1.12%,2.02%,0.59%,3.79%,5.11%,5.79%,6.15%,-,0.11%,0.53%,0.53%,0.43%,0.28%,0.38%,0.12%,0.50%,0.48%,0.38%,0.14%,0.23%,0.64%,1.12%,1.06%,0.91%,1.24%,1.71%,1.42%,1.57%,1.87%,1.57%,1.77%,1.73%,1.70%,4.74%,6.63%,6.80%,6.34%,7.22%,8.02%,9.69%,9.81%,-,-,-,18/27,17/27,18/27,16/27,18/27,16/25,16/23,10/18,10/16,4/10,,,,,,-,67.04%,24,-,-,-,100.33%,-,11.1232,-0.03%,17-May-21,11.1276,12-May-21,10.7845,20-May-20,1.85%,4.15%,-,-,-
Nippon India Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,4,11037.88,0.08%,0.30%,1.10%,2.08%,0.58%,4.04%,5.30%,6.02%,6.36%,-,0.14%,0.40%,0.38%,0.25%,0.04%,0.29%,0.01%,0.37%,0.36%,0.27%,0.03%,0.18%,0.54%,0.66%,0.70%,0.56%,0.77%,1.48%,1.22%,1.39%,1.51%,-,-,-,1.12%,3.41%,5.27%,-,-,-,-,-,-,-,-,-,2/28,4/28,17/28,18/28,8/28,16/26,12/24,11/19,0/0,0/0,,,,,,1061.00%,66.96%,115,27.79%,13,-,5.25%,-,28.2173,-0.01%,17-May-21,28.2257,12-May-21,27.2048,20-May-20,1.82%,3.91%,6.71%,12.93%,-
PGIM India Arbitrage Fund - GrowthArbitrage Fund,3,95.51,0.08%,0.16%,0.80%,1.69%,0.42%,3.20%,4.33%,4.84%,5.27%,-,0.17%,0.44%,0.43%,0.28%,0.08%,0.33%,0.05%,0.42%,0.40%,0.32%,0.08%,0.23%,0.61%,0.80%,0.84%,0.70%,0.93%,1.64%,1.38%,1.56%,1.67%,-,-,-,1.33%,4.03%,5.90%,-,-,-,-,-,-,-,-,-,25/28,16/28,14/28,12/28,17/28,17/26,10/24,8/19,3/17,0/0,,,,,,1061.00%,66.96%,115,27.79%,13,-,5.25%,-,13.06,-0.03%,17-May-21,13.065,12-May-21,12.566,20-May-20,1.82%,4.12%,7.03%,13.41%,35.78%
Union Arbitrage Fund - GrowthArbitrage Fund,2,66.44,0.08%,0.28%,1.01%,1.65%,0.56%,3.18%,4.56%,-,-,-,0.12%,0.42%,0.37%,0.39%,0.16%,0.34%,0.03%,0.38%,0.42%,0.28%,0.14%,0.41%,0.55%,0.81%,0.82%,0.74%,1.20%,1.61%,1.36%,1.48%,1.65%,1.33%,1.40%,1.58%,1.31%,4.11%,5.94%,5.88%,5.54%,6.54%,7.55%,8.33%,7.94%,9.12%,7.47%,5.70%,25/27,18/27,15/27,14/27,19/27,17/25,13/23,11/18,8/16,0/0,,,,,,-,66.90%,103,5.31%,7,-,94.99%,-,26.3224,-0.02%,17-May-21,26.331,12-May-21,25.6291,03-Jun-20,1.80%,4.15%,-,-,-
