Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
Principal Arbitrage Fund - Direct Plan,0,9.06,0.06,0.2,0.83,1.39,0.42,2.08,3.03,1.85,3.51,0,0.08,0.49,0.49,0.34,0.19,0.34,0.06,0.4,0.45,0.26,0.12,0.16,0.58,0.94,0.88,0.71,0.79,1.7,1.27,1.6,1.99,1.46,1.69,1.55,1.48,3.8,6.5,6.87,5.78,7.04,7.86,9.14,9.13,0,0,0,8/28,22/28,27/28,27/28,25/28,24/26,22/24,18/19,16/17,0/0,0,0,0,0,0,0,65.83,39,0,-,0,100.3,0,10.36,-0.06,17-May-21,10.37,14-May-21,10,19-Jun-20,1.2,2.4,3.47,6.03,0,Direct,Arbitrage Fund
Navi Arbitrage Fund - Direct Plan,0,0.15,0.03,0.12,0.41,0.8,0.22,0.43,1.94,0,0,0,0.1,0.57,0.48,0.26,0.21,0.3,0.15,0.47,0.41,0.33,0.21,0.32,0.68,0.81,0.96,0.87,1.38,1.89,1.39,1.56,1.96,0,0,0,1.44,4.82,5.67,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,65.01,39,0,-,0,100.32,0,14.66,-0.06,17-May-21,14.67,14-May-21,14.21,05-Jun-20,0,0,0,0,0,Direct,Arbitrage Fund
Navi Arbitrage Fund,0,0.15,0.02,0.06,0.22,0.42,0.13,-0.25,1.37,0,0,0,0.1,0.5,0.47,0.34,0.17,0.34,0.05,0.45,0.44,0.31,0.16,0.33,0.6,0.88,0.9,0.79,1.22,1.54,1.33,1.46,1.75,1.5,1.62,1.45,1.45,4.19,6.2,6.11,5.67,6.46,7.57,8.14,7.66,8.65,8.36,4.83,,,,,,,,,,,0,0,0,0,0,0,0,-,0,-,0,100,0,29.2,-0.03,17-May-21,29.21,12-May-21,28.24,20-May-20,0,0,0,0,0,Regular,Arbitrage Fund
Mirae Asset Arbitrage Fund - Direct Plan,0,290.3,0.09,0.25,1.06,1.96,0.56,0,0,0,0,0,0.09,0.41,0.43,0.27,0.12,0.3,-0.02,0.34,0.35,0.18,-0.01,0.2,0.5,0.7,0.69,0.41,0.46,1.5,0.87,0.94,1.32,1.04,1.2,-4.28,1.13,2.67,4.24,-0.19,5.54,4.88,0,0,0,0,0,0,19/28,18/28,18/28,16/28,20/28,12/26,14/24,9/19,9/17,0/0,0,0,0,0,0,0,67.63,118,0.69,2,25.14,6.53,0,27.52,-0.01,17-May-21,27.53,12-May-21,26.62,20-May-20,1.97,4.31,7.37,14,36.5,Direct,Arbitrage Fund
Mirae Asset Arbitrage Fund,0,290.3,0.07,0.18,0.89,1.61,0.48,0,0,0,0,0,0.08,0.46,0.44,0.38,0.16,0.33,0.07,0.44,0.44,0.28,0.12,0.36,0.54,0.88,0.89,0.75,1.28,1.48,1.3,1.47,1.8,1.52,1.66,1.5,1.38,4.13,6.18,6.72,5.46,6.64,7.98,7.96,9.77,9.89,8.32,2.03,19/27,26/27,23/27,25/27,26/27,22/25,19/23,16/18,14/16,0/0,0,0,0,0,0,1368,66.03,16,0,-,3.56,30.42,0,10.56,-0.05,17-May-21,10.57,14-May-21,10.11,03-Jun-20,1.4,3.07,5.71,11.77,0,Regular,Arbitrage Fund
Mahindra Manulife Arbitrage Yojana,0,29.53,0.07,0.12,0.7,1.26,0.38,0,0,0,0,0,0.11,0.39,0.42,0.34,0.27,0.31,0.02,0.38,0.44,2.62,0,0,0.5,0.86,0.82,0,0,0,0,0,0,0,0,0,1.36,1.11,0,0,0,0,0,0,0,0,0,0,23/28,17/28,19/28,20/28,18/28,19/26,19/24,16/19,12/17,0/0,0,0,0,0,0,1067,66.87,48,4.49,3,19.55,76.3,0,11.5,-0.04,17-May-21,11.5,14-May-21,11.17,20-May-20,1.74,3.97,6.9,13.35,0,Regular,Arbitrage Fund
ITI Arbitrage Fund - Direct Plan,0,19.23,0.07,0.25,0.82,1.51,0.52,3.04,0,0,0,0,0.06,0.47,0.4,0.3,0.19,0.33,0.08,0.47,0.43,0.26,0.13,3.99,0.53,0.79,0.91,0.71,0,0,0,0,0,0,0,0,1.27,1.62,0,0,0,0,0,0,0,0,0,0,16/27,9/27,19/27,20/27,17/27,19/25,18/23,0/0,0/0,0/0,0,0,0,0,0,0,66.72,16,0,-,16.14,84.17,0,11.27,-0.04,17-May-21,11.27,14-May-21,11.03,20-May-20,1.69,3.61,6.46,12.85,35.38,Direct,Arbitrage Fund
ITI Arbitrage Fund,0,19.23,0.06,0.19,0.64,1.13,0.42,2.27,0,0,0,0,0.05,0.6,0.33,0.41,0.08,0.34,0.05,0.49,0.54,0.5,0.17,0.53,0.65,0.72,0.93,1.09,0.47,0,0,0,0,0,0,0,1.39,3.12,0,0,0,0,0,0,0,0,0,0,24/27,22/27,21/27,22/27,25/27,24/25,22/23,18/18,16/16,0/0,0,0,0,0,0,1052,65.46,84,26.63,4,0,7.91,0,10.47,-0.06,17-May-21,10.48,14-May-21,10.09,03-Jun-20,1.18,2.64,5.05,10.6,32.16,Regular,Arbitrage Fund
HDFC Arbitrage Fund - Wholesale - Direct Plan,0,6088.67,0.1,0.3,1.12,2.05,0.61,3.75,4.85,5.45,5.81,0,0.08,0.48,0.53,0.37,0.22,0.38,0.12,0.46,0.47,0.3,0.18,0.4,0.56,1.05,1.02,0.85,1.27,1.84,1.51,1.62,1.68,1.64,1.91,1.56,1.59,4.69,6.63,6.93,6.09,7.86,8.13,3.22,0,0,0,0,3/27,10/27,3/27,5/27,2/27,3/25,5/23,5/18,5/16,5/10,1.2,1.17,1.14,-1.35,0.01,0,70.04,116,8.54,8,0,21.42,0,12.05,0.02,17-May-21,12.05,12-May-21,11.63,20-May-20,2.29,5.04,8.47,0,0,Direct,Arbitrage Fund
BNP Paribas Arbitrage Fund - Direct Plan,0,700.48,0.1,0.3,1.1,2.16,0.55,3.93,5.37,5.97,0,0,0.08,0.45,0.5,0.38,0.18,0.34,0.08,0.42,0.47,0.4,0.24,0.34,0.53,0.96,0.88,1.01,1.28,1.71,1.34,1.43,1.82,1.32,1.44,1.52,1.44,4.6,5.98,5.91,5.77,6.56,7.61,3.9,0,0,0,0,7/28,5/28,16/28,15/28,9/28,6/26,6/24,12/19,10/17,0/0,1.24,0.57,1.51,1.26,0.03,0,68.42,130,12.53,17,10.87,8.18,0,11.02,0.01,17-May-21,11.02,12-May-21,10.75,20-May-20,2.21,4.53,7.66,14.46,0,Direct,Arbitrage Fund
BNP Paribas Arbitrage Fund,0,700.48,0.09,0.24,0.94,1.83,0.47,3.29,4.74,5.34,0,0,0.1,0.36,0.44,0.34,0.11,0.22,-0.05,0.35,0.41,0.25,0.12,0.27,0.47,0.8,0.59,0.68,0.91,1.59,1.35,1.63,1.93,1.38,1.45,1.34,1.2,3.48,6.41,6.18,6.35,7.82,8.71,0.34,0,0,0,0,21/28,12/28,9/28,13/28,10/28,13/26,11/24,10/19,7/17,0/0,0,0,0,0,0,1289,67.45,128,27.3,53,0,5.25,0,10.68,-0.02,17-May-21,10.69,12-May-21,10.37,20-May-20,1.94,4.36,7.44,0,0,Regular,Arbitrage Fund
Axis Arbitrage Fund - Direct Plan,0,3426.7,0.07,0.26,1.09,2.03,0.53,3.69,5.2,5.83,6.28,0,0.09,0.49,0.46,0.32,0.15,0.34,0.08,0.45,0.43,0.23,0.11,0.29,0.58,0.85,0.91,0.72,1.16,1.57,1.26,1.39,1.79,1.36,1.61,1.53,1.38,4.12,5.97,6.21,5.49,6.87,7.48,8.62,9.87,10.11,7.63,6.52,26/27,24/27,26/27,26/27,24/27,21/25,20/23,0/0,0/0,0/0,0,0,0,0,0,0,66.37,14,9.22,1,0,24.4,0,11.54,-0.04,17-May-21,11.55,14-May-21,11.06,20-May-20,1.52,3.62,6.64,13.5,0,Direct,Arbitrage Fund
Axis Arbitrage Fund,0,3426.7,0.05,0.19,0.9,1.65,0.43,2.92,4.44,5.05,5.46,0,0.08,0.5,0.5,0.37,0.14,0.35,0.12,0.5,0.43,0.32,0.15,0.33,0.58,0.89,1.02,0.82,1.39,1.87,1.33,1.43,1.91,1.51,0,0,1.42,4.8,6.43,0.08,0,0,0,0,0,0,0,0,27/27,27/27,27/27,27/27,27/27,25/25,23/23,0/0,0/0,0/0,0,0,0,0,0,0,65.44,13,0,-,0,34.56,0,10.3,-0.08,17-May-21,10.3,14-May-21,10,19-Jun-20,0.62,1.29,0,0,0,Regular,Arbitrage Fund
,0,,0,0,0,0,0,0,0,0,0,0,0.13,0.55,0.52,0.38,0.22,0.38,0.09,0.49,0.49,0.35,0.2,0.38,0.68,1.02,1.03,0.94,1.37,1.67,1.46,1.51,1.86,1.62,1.75,1.58,1.66,4.76,6.71,6.63,6.19,6.99,8.12,8.51,7.35,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,-,0,-,0,100,0,,0,,,,,,0,0,0,0,0,Regular,[]
