Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
IDFC Arbitrage Fund - Direct Plan,3,6825.29,0.08,0.25,1.04,1.98,0.53,3.82,5.04,5.82,6.12,0,0.14,0.35,0.3,0.2,0.06,0.26,0.05,0.39,0.34,0.22,0.1,0.16,0.5,0.52,0.71,0.56,0.63,1.2,1.12,1.31,2.22,0.88,1.47,1.57,0.97,2.8,5.78,5.79,5.54,7.42,7.78,8.99,9.59,0,0,0,5/28,7/28,8/28,11/28,7/28,15/26,17/24,15/19,14/17,0/0,0,0,0,0,0,2144,67.06,82,0,-,23,77.31,0,27.42,-0.01,17-May-21,27.43,12-May-21,26.58,03-Jun-20,1.89,4.19,7.25,14.07,37.97,Direct,Arbitrage Fund
ICICI Prudential Equity - Arbitrage Fund - Direct Plan,3,10787.78,0.08,0.29,1.12,2.02,0.59,3.79,5.11,5.79,6.15,0,0.11,0.53,0.53,0.43,0.28,0.38,0.12,0.5,0.48,0.38,0.14,0.23,0.64,1.12,1.06,0.91,1.24,1.71,1.42,1.57,1.87,1.57,1.77,1.73,1.7,4.74,6.63,6.8,6.34,7.22,8.02,9.69,9.81,0,0,0,18/27,17/27,18/27,16/27,18/27,16/25,16/23,10/18,10/16,4/10,0,0,0,0,0,0,67.04,24,0,-,0,100.33,0,11.12,-0.03,17-May-21,11.13,12-May-21,10.78,20-May-20,1.85,4.15,0,0,0,Direct,Arbitrage Fund
ICICI Prudential Equity - Arbitrage Fund,3,10787.78,0.07,0.25,0.99,1.75,0.52,3.24,4.54,5.2,5.53,6.97,0.03,0.09,0.05,0.21,0.05,0.2,-0.12,0.11,0.01,0,-0.25,-0.1,0.12,0.21,0.22,-0.35,-0.07,0.97,0.43,0.9,1.47,1.3,1.39,0,0.34,0.4,4.25,1.85,0,0,0,0,0,0,0,0,23/27,19/27,25/27,23/27,20/27,20/25,0/0,0/0,0/0,0/0,0,0,0,0,0,0,66.66,66,12.18,5,9.3,11.86,0,12.72,-0.04,17-May-21,12.73,12-May-21,12.32,20-May-20,1.63,3.72,0,0,0,Regular,Arbitrage Fund
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,3,6031.76,0.1,0.32,1.2,2.2,0.61,3.95,5.25,5.85,6.16,0,0.09,0.42,0.34,0.28,0.15,0.28,0.02,0.42,0.44,0.39,0.26,0.31,0.51,0.68,0.71,1,1.05,1.28,1.17,1.46,1.82,1.54,1.43,1.57,1.14,3.76,6.03,3.22,0,0,0,0,0,0,0,0,11/28,14/28,6/28,4/28,12/28,4/26,9/24,7/19,5/17,0/0,1.1,1.18,1.39,-1.22,0.01,0,70,14,0.11,1,0,29.89,0,14.84,0.01,17-May-21,14.84,17-May-21,14.48,20-May-20,2.26,4.95,8.42,16.13,0,Direct,Arbitrage Fund
Union Arbitrage Fund - Direct Plan,2,66.44,0.09,0.32,1.09,1.86,0.62,3.68,5.09,0,0,0,0.13,0.51,0.47,0.35,0.22,0.4,0.09,0.47,0.49,0.34,0.15,0.32,0.64,0.98,1.04,0.86,1.05,1.46,1.46,1.57,1.83,1.48,1.58,1.47,1.59,4.12,6.52,6.18,5.89,7.24,7.89,8.11,8.43,0,0,0,1/28,21/28,1/28,5/28,1/28,10/26,0/0,0/0,0/0,0/0,0,0,0,0,0,0,67.87,116,21.06,47,0,11.07,0,28.64,0,17-May-21,28.64,12-May-21,27.54,20-May-20,2.04,0,0,0,0,Direct,Arbitrage Fund
Union Arbitrage Fund,2,66.44,0.08,0.28,1.01,1.65,0.56,3.18,4.56,0,0,0,0.12,0.42,0.37,0.39,0.16,0.34,0.03,0.38,0.42,0.28,0.14,0.41,0.55,0.81,0.82,0.74,1.2,1.61,1.36,1.48,1.65,1.33,1.4,1.58,1.31,4.11,5.94,5.88,5.54,6.54,7.55,8.33,7.94,9.12,7.47,5.7,25/27,18/27,15/27,14/27,19/27,17/25,13/23,11/18,8/16,0/0,0,0,0,0,0,0,66.9,103,5.31,7,0,94.99,0,26.32,-0.02,17-May-21,26.33,12-May-21,25.63,03-Jun-20,1.8,4.15,0,0,0,Regular,Arbitrage Fund
LIC MF Arbitrage Fund - Direct Plan,2,31.11,0.08,0.29,0.99,1.73,0.53,3.1,4.64,0,0,0,0.08,0.48,0.48,0.39,0.23,0.34,0.07,0.46,0.44,0.33,0.09,0.19,0.56,0.98,0.92,0.77,1.1,1.57,1.28,1.45,1.75,1.45,1.65,1.61,1.48,4.16,6.11,6.3,5.84,6.7,7.46,9.04,9.23,9.58,7.51,6.31,5/28,7/28,8/28,11/28,7/28,15/26,17/24,15/19,14/17,0/0,0,0,0,0,0,0,67.04,24,0,-,0,100.33,0,10.19,-0.03,17-May-21,10.19,14-May-21,9.99,01-Sep-20,1.86,4.27,7.35,14.03,0,Direct,Arbitrage Fund
LIC MF Arbitrage Fund,2,31.11,0.07,0.24,0.85,1.45,0.46,2.52,4.01,0,0,0,0.1,0.52,0.47,0.33,0.25,0.38,0.13,0.52,0.48,0.31,0.19,1.44,0.62,0.96,1.09,0.88,0,0,0,0,0,0,0,0,1.53,1.99,0,0,0,0,0,0,0,0,0,0,20/28,11/28,20/28,21/28,19/28,20/26,18/24,0/0,0/0,0/0,0,0,0,0,0,0,66.72,16,0,-,16.14,84.17,0,15.19,-0.03,17-May-21,15.2,14-May-21,14.73,20-May-20,1.69,0,0,0,0,Regular,Arbitrage Fund
Indiabulls Arbitrage Fund - Regular Plan,2,15.1,0.07,0.11,0.68,1.04,0.31,1.88,3.65,4.44,5.15,0,0.11,0.53,0.5,0.36,0.19,0.38,0.12,0.49,0.47,0.27,0.15,0.33,0.64,0.98,1.04,0.85,1.28,1.7,1.4,1.54,1.94,1.51,1.76,1.68,1.58,4.62,6.55,6.85,6.17,7.52,8.02,9.1,10.31,0,0,0,27/28,26/28,26/28,26/28,24/28,22/26,21/24,0/0,0/0,0/0,0,0,0,0,0,0,66.37,14,9.22,1,0,24.4,0,20.93,-0.03,17-May-21,20.94,12-May-21,20.27,20-May-20,1.43,2.87,4.18,7.39,0,Regular,Arbitrage Fund
Indiabulls Arbitrage Fund - Direct Plan,2,15.1,0.08,0.17,0.85,1.39,0.4,2.59,4.3,5.06,5.76,0,0.13,0.32,0.26,0.18,0.03,0.23,0.02,0.36,0.3,0.19,0.06,0.13,0.45,0.42,0.61,0.46,0.53,1.1,1.02,1.2,2.12,0.78,1.37,1.47,0.82,2.39,5.36,5.38,5.12,6.86,7.18,8.45,9.17,9.46,7.76,5.55,2/27,3/27,12/27,18/27,5/27,15/25,12/23,9/18,0/0,0/0,0,0,0,0,0,2144,67.06,82,0,-,23,77.31,0,11.25,-0.03,17-May-21,11.25,12-May-21,10.85,20-May-20,1.9,3.93,6.76,12.88,34.97,Direct,Arbitrage Fund
