Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
UTI-Dynamic Bond Fund - GrowthDynamic Bond Fund,1,223.19,-0.02%,0.37%,0.60%,0.60%,0.63%,4.14%,2.69%,1.90%,4.45%,7.11%,0.36%,0.81%,0.71%,-0.11%,-0.10%,0.36%,0.56%,1.64%,-0.39%,-1.25%,1.01%,1.52%,1.17%,0.35%,2.59%,0.54%,3.45%,2.94%,1.56%,2.02%,1.39%,2.92%,2.62%,1.78%,1.03%,10.58%,12.65%,6.23%,3.95%,-,-,-,-,-,-,-,25/30,24/30,27/30,22/30,26/30,24/30,27/27,25/25,24/24,18/18,,,,,,-,-,-,84.67%,29,13.71%,1.62%,-,25.1542,-0.01%,12-May-21,25.1557,11-May-21,23.3636,18-May-20,1.66%,7.05%,13.71%,22.57%,54.82%
Quantum Dynamic Bond Fund - GrowthDynamic Bond Fund,4,77.45,-0.02%,0.65%,1.22%,1.75%,1.08%,5.10%,9.25%,8.74%,8.42%,-,0.28%,1.92%,1.58%,1.20%,0.90%,1.46%,1.83%,1.37%,1.09%,-1.91%,-0.78%,0.67%,2.21%,3.74%,4.81%,-1.56%,-0.94%,-3.25%,1.49%,1.83%,1.13%,2.54%,3.89%,1.95%,0.13%,5.73%,-3.73%,5.19%,4.16%,14.64%,6.89%,14.72%,7.16%,11.21%,8.37%,3.52%,19/30,27/30,28/30,26/30,28/30,25/30,14/27,14/25,11/24,9/18,,,,,,-,-,-,95.56%,43,-,3.76%,0.68%,23.2411,-0.01%,12-May-21,23.2428,11-May-21,21.6743,18-May-20,1.59%,5.82%,10.50%,17.32%,47.35%
L&T Flexi Bond Fund - Direct Plan - GrowthDynamic Bond Fund,5,65.29,-0.02%,0.55%,0.79%,0.49%,0.93%,4.99%,9.03%,8.96%,8.51%,-,0.28%,1.92%,1.56%,1.15%,0.84%,1.39%,1.76%,1.31%,1.03%,-1.98%,-0.84%,0.60%,2.21%,3.58%,4.60%,-1.75%,-1.15%,-3.45%,1.26%,1.61%,0.91%,2.31%,3.65%,1.71%,0.33%,6.35%,-3.09%,5.97%,4.96%,15.49%,7.50%,15.26%,7.65%,-,-,-,15/28,24/28,27/28,24/28,27/28,25/28,14/26,15/24,10/22,0/0,,,,,,-,-,-,76.00%,6,-,24.00%,-,18.6432,-0.03%,12-May-21,18.6503,10-May-21,17.1774,18-May-20,1.26%,4.00%,4.02%,6.89%,32.60%
DSP Strategic Bond Fund - Direct Plan - GrowthDynamic Bond Fund,4,791.71,-0.04%,0.66%,1.67%,1.12%,1.41%,5.46%,11.44%,10.31%,8.48%,-,0.36%,0.87%,0.95%,-1.22%,-0.36%,0.41%,0.53%,1.67%,-0.42%,-1.29%,1.08%,1.24%,1.23%,-1.34%,2.52%,0.32%,3.88%,3.10%,1.67%,2.29%,3.56%,2.13%,3.50%,0.68%,-21.34%,7.70%,-,-,-,-,-,-,-,-,-,-,14/30,10/30,15/30,15/30,20/30,26/30,7/27,7/25,0/0,0/0,,,,,,-,-,-,98.00%,10,-,2.00%,-,17.423,-0.03%,12-May-21,17.4303,10-May-21,16.1721,18-May-20,1.24%,5.98%,11.46%,19.47%,51.65%
L&T Flexi Bond Fund - GrowthDynamic Bond Fund,5,65.29,-0.04%,0.48%,0.61%,0.14%,0.85%,4.27%,8.28%,8.17%,7.67%,8.56%,0.37%,0.90%,0.96%,-1.22%,-0.35%,0.42%,0.55%,1.69%,-0.39%,-1.26%,1.10%,1.26%,1.27%,-1.32%,2.57%,0.41%,3.97%,3.14%,1.78%,2.56%,3.65%,2.14%,3.53%,0.78%,-21.19%,7.71%,-,-,-,-,-,-,-,-,-,-,28/28,6/28,16/28,20/28,14/28,26/28,16/26,17/24,12/22,0/0,,,,,,-,-,-,91.62%,8,-,8.38%,-,17.0838,-0.03%,12-May-21,17.0889,11-May-21,15.8435,10-Jun-20,1.08%,5.45%,10.44%,17.34%,47.76%
HSBC Flexi Debt Fund - Direct Plan - GrowthDynamic Bond Fund,2,60.08,-0.04%,0.70%,1.44%,1.15%,1.24%,5.45%,8.94%,8.92%,7.54%,-,0.18%,0.54%,0.31%,-0.34%,-0.17%,0.28%,0.33%,1.03%,-0.35%,-1.41%,1.02%,1.52%,0.71%,-0.50%,1.58%,0.22%,5.16%,-1.49%,1.02%,1.55%,-6.12%,-0.13%,2.31%,1.09%,0.86%,12.25%,11.13%,6.16%,3.38%,13.32%,6.81%,14.10%,4.63%,10.81%,4.88%,-,30/30,7/30,20/30,25/30,19/30,27/30,18/27,18/25,12/24,11/18,,,,,,-,-,-,84.00%,28,-,16.00%,-,17.8379,-0.03%,12-May-21,17.8431,11-May-21,16.4666,18-May-20,-,-,-,-,-
BNP Paribas Flexi Debt Fund - Direct Plan - GrowthDynamic Bond Fund,4,116.69,-0.05%,0.88%,1.46%,1.05%,1.14%,4.50%,8.26%,8.22%,7.97%,-,0.19%,0.58%,0.35%,-0.30%,-0.12%,0.32%,0.38%,1.07%,-0.31%,-1.36%,1.07%,1.57%,0.78%,-0.37%,1.73%,0.36%,5.32%,-1.34%,1.16%,1.71%,-5.96%,0.04%,2.50%,1.28%,1.01%,12.72%,11.96%,7.09%,4.28%,14.40%,8.20%,15.81%,5.58%,-,-,-,22/28,28/28,28/28,27/28,28/28,27/28,0/0,0/0,0/0,0/0,,,,,,-,-,-,79.65%,9,-,20.35%,-,18.4464,-0.05%,12-May-21,18.5249,05-Jan-21,17.1368,19-May-20,-,-,-,-,-
HSBC Flexi Debt Fund - GrowthDynamic Bond Fund,2,60.08,-0.05%,0.63%,1.24%,0.75%,1.15%,4.62%,8.09%,8.09%,6.73%,7.78%,0.36%,0.94%,0.91%,0.78%,-23.86%,0.68%,0.66%,0.64%,0.67%,0.73%,0.70%,0.71%,1.31%,-22.41%,2.10%,2.14%,2.22%,-,-,-,-,-,-,-,-0.64%,11.15%,10.52%,6.93%,3.76%,15.63%,8.13%,14.52%,5.60%,-,-,-,4/28,5/28,2/28,28/28,8/28,28/28,0/0,0/0,0/0,0/0,,,,,,-,-,-,91.96%,7,-,8.04%,-,19.4956,-0.05%,12-May-21,19.5564,05-Jan-21,18.0535,19-May-20,-,-,-,-,-
BNP Paribas Flexi Debt Fund - GrowthDynamic Bond Fund,3,116.69,-0.08%,0.76%,1.13%,0.42%,0.98%,3.30%,7.17%,7.14%,6.96%,8.06%,0.38%,0.93%,0.93%,0.78%,-23.70%,0.68%,0.65%,0.66%,0.66%,0.72%,0.73%,0.68%,1.31%,-22.23%,2.11%,2.15%,2.20%,-,-,-,-,-,-,-,-0.13%,10.49%,-3.77%,7.09%,5.03%,12.84%,7.40%,15.01%,4.87%,4.97%,-,-,23/30,30/30,30/30,29/30,30/30,29/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,90.03%,14,-,9.97%,-,29.0986,-0.06%,12-May-21,29.1156,11-May-21,27.7326,18-May-20,-12.80%,-,-,-,-
DSP Strategic Bond Fund - Regular Plan - GrowthDynamic Bond Fund,-,791.71,-,-,-,-,-,-,-,-,-,-,0.33%,0.48%,0.15%,-0.45%,-0.13%,0.71%,0.68%,0.98%,0.13%,-0.33%,1.09%,1.16%,0.81%,-0.73%,2.36%,1.40%,2.97%,1.58%,2.04%,1.89%,-0.39%,-0.42%,3.10%,0.92%,-0.01%,11.10%,-3.34%,7.65%,5.68%,13.60%,7.99%,16.42%,5.90%,-,-,-,23/30,30/30,30/30,29/30,30/30,29/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,84.02%,4,-,15.98%,-,30.703,-0.06%,12-May-21,30.7206,11-May-21,29.1372,18-May-20,-12.90%,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/30,3/30,2/30,30/30,3/30,30/30,3/28,3/26,5/25,4/19,,,,,,,,,,,,,,,,,,,,,,,,,
